"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017151","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","P. H. Labiak E.","P. H. Labiak E.","4430","2008","01","10","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida para o Planalto do Itatiaia.","-44.5631","-22.4961","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017151","NY01017151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","806834","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","P. H. Labiak E.","A. C. Brade","14030","1934",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaia - Rio das Flôres.",NA,NA,"2200","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806834","NY00806834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","806837","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","P. H. Labiak E.","P. von Luetzelburg","6014A","1915","08",NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgãos, M. Assú.","-43.064656","-22.487494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806837","NY00806837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","806835","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","P. H. Labiak E.","A. C. Brade","17006","1941","09","24","South America","Brazil","Minas Gerais",NA,"Serra do Caparaó - M. Gerais - Pico do Cristal.","-41.8122306","-20.4441481","2600","2600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806835","NY00806835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","806836","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","P. H. Labiak E.","A. C. Brade","9634","1929","10",NA,"South America","Brazil","Rio de Janeiro",NA,"Theresop., Pica de Eino.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806836","NY00806836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","148620","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,"F. Tamandaré","6466","1913","06",NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaya","-44.617038","-22.371537","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=366564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148620","NY00148620_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:43-03","UFRJ","RFA","23099","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,"F. Segadas-Vianna",NA,"1944","02","22",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Morro Açu. Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA57816",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:45:12-03","NBC","NL-BOTANY","U.1027963","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Polypodium","tamandarei","Polypodium tamandarei","Rosenst.",NA,"Brade AC",NA,"1941","09","24","Southern America","Brazil",NA,NA,"Serra do Caparaó. M.Gerais. Pico do cristal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1027963 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1027963","NL-U1027963",NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-05-29 18:15:23-03","UFJF","CESJ","24171A","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","V.A.O. Dittrich","L. Krieger; et al.","FPNC1060A","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, próximo ao Terreirão",NA,NA,"2350","2350",NA,"Epífita, subarbusto, junto com cactáceas, líquens e musgos.","CESJ24171A",NA,NA,NA,NA,NA,"2019","11",NA,NA,NA,NA,NA,NA
"10","2020-05-29 18:15:23-03","UFJF","CESJ","22899","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Lellingeria","tamandarei","Lellingeria tamandarei","(Rosenst.) A.R.Sm. & R.C.Moran","V.A.O. Dittrich","M.C. Brügger; et al.","FPNC325","1988","10","15","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, CAchoeira Bonita",NA,NA,NA,NA,NA,"Na mata, fundo de vale, à margem de rio, sobre o solo.","CESJ022899","CESJ022899",NA,NA,NA,NA,"2019","11",NA,NA,NA,NA,NA,NA
