"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","568","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren","Elton. C. M. Leme","2009","05","Elton M. C. Leme; J. A. Siqueira; Gregory K. Brown","2000","11","17","Brasil","Pernambuco","Jaqueira","Serra do Quengo, Usina Frei Caneca (Colônia)","-35.7933006286621","-8.72667026519775","11830","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","679","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren","Elton. C. M. Leme","2009","05","Elton M. C. Leme; J. A. Siqueira; Marcelo","2005","03","18","Brasil","Alagoas","Murici","Serra do Ouro, Reserva da Universidade Federal de Alagoas","-35.9432983398438","-9.30667018890381","22851","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","571","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren","Elton. C. M. Leme","2009","05","Elton M. C. Leme; J. A. Siqueira; Gregory K. Brown","2000","11","17","Brasil","Pernambuco","Jaqueira","Serrado Quengo, Usina Frei Caneca (Colônia)","-35.7933006286621","-8.72667026519775","11830","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","41","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren","Elton. C. M. Leme","2011","08","Roberto Burle Marx;",NA,NA,NA,"Brasil","Pernambuco",NA,NA,NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01873897","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren",NA,NA,NA,"L. Nusbaumer","2014",NA,NA,"Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.4710998535156","-9.31888961791992","16583",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2512300' target='other'> <mi>dwc_moreinfo</mi></a>","auto","4112","South America","sheet","NY01873897","NY01873897_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376519","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E.Morren","L. B. Smith",NA,NA,"L. S. Carneiro","1955","05","15","Brazil","Pernambuco","Igarassu","Igaraçu, Campina dos Marcos","-34.9064","-7.8344",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290377' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet","NY00376519","NY00376519_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:46-03","MN","R","128469","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren",NA,NA,NA,"Santos, N.","1965","11","18","Brasil","Pernambuco","Recife","Dois Irmãos.","-34.8810997009277","-8.05389022827148","18865",NA,NA,"auto","5977",NA,NA,"R010005432","R010005432 R010005432_1",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:46-03","MN","R","112177","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren",NA,NA,NA,"Sobrinho, V.","1962","01","16","Brasil","Pernambuco","Recife","Dois Irmãos.","-34.8810997009277","-8.05389022827148","18865",NA,NA,"auto",NA,NA,NA,"R010005433","R010005433",NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:35:36-02","IPA","IPA","7939","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Smith, L.B.","1955","08","Andrade-Lima","1955","05","19","Brasil","Pernambuco","Recife","Dois irmãos. Sombra da mata de Dois Irmãos. No solo.","-34.8810997009277","-8.05389022827148","18865",NA,"Infl. verm. Em colônias densas.","auto","552060","Southern America",NA,"IPA0007939",NA,"02",NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:35:36-02","IPA","IPA","45554","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1972","02","28","Brasil","Pernambuco","Taquaritinga do Norte","Sítio cafundó.","-36.0442008972168","-7.90305995941162","25558",NA,NA,"auto","728274","Southern America",NA,"IPA0045554",NA,"05",NA,NA,NA,NA,NA,NA
"11","2019-02-15 11:35:36-02","IPA","IPA","81604","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Martinelli, G.","1999","02","Martinelli, G.; T.Barbará, M.Oliveira; Azoury, R.; T.Barbará, M.Oliveira; Azoury, R.","1998","08","31","Brasil","Pernambuco","Recife","Reserva Ecológica Mata Dois Irmãos, Mata secundária 0-50 m.s.m.","-34.945833","-8.015833",NA,NA,"Erva terrestre, ciófila. Folhas discolores com bainha castanho-clara, infl. com escapo verde, brácteas escapais verdes, as do ápice do escapo roseo-avermelhadas, brácteas primárias róseas-avermelhadas, brácteas florais amarelo-pálido,",NA,"15117","Southern America",NA,"IPA0081604",NA,NA,"-34.945833","-8.015833",NA,NA,NA,NA
"12","2019-07-26 11:39:38-03","IPA","IPA","7938","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Smith, L.B.","1955","08","Carneiro, L.S.","1955","05","15","Brasil","Pernambuco","Igarassu","Campina dos Marcos. Solo arenoso.","-34.9063987731934","-7.83416986465454","24709",NA,"Brácteas vermelhas.","auto","7938","Southern America",NA,"IPA0007938",NA,"02",NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:35:36-02","IPA","IPA","29537","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1973","05","01","Brasil","Pernambuco","Igarassu","Granja São Luiz.","-34.9063987731934","-7.83416986465454","24709",NA,NA,"auto","737363","Southern America",NA,"IPA0029537",NA,"05",NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:35:36-02","IPA","IPA","29538","S","Plantae","Plantae",NA,"Bromeliaceae","Canistrum","aurantiacum","Canistrum aurantiacum","E. Morren","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1973","05","01","Brasil","Pernambuco","Igarassu","Granja São Luiz.","-34.9063987731934","-7.83416986465454","24709",NA,NA,"auto","737363","Southern America",NA,"IPA0029538",NA,"05",NA,NA,NA,NA,NA,NA
