"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:04-03","E","E","281711","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","Hatschbach, G.; Silva, J.M.; Deodato, F.","65638","1996","11","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:292966","<a href=http://data.rbge.org.uk/herb/E00281711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","131317","PreservedSpecimen","Plantae","Rubiaceae","Faramea","amazonica","Faramea amazonica","E. F. Poeppig","2067B","1836","12",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=462823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131317","Magnoliophyta","Gentianales","Müll.Arg.","isotype","Loreto","Maguas, silvae.","NY00131317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","131318","PreservedSpecimen","Plantae","Rubiaceae","Faramea","angustifolia","Faramea angustifolia","R. Spruce","3075","1853",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131318","Magnoliophyta","Gentianales","Spruce ex Benth. & Hook.f.","isotype",NA,"Prope San Carlos, ad rio Negro. Brasilia.","NY00131318_01","-67.0579264","1.9218151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","131323","PreservedSpecimen","Plantae","Rubiaceae","Faramea","benensis","Faramea benensis","M. Cárdenas","1773","1921","11","24","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131323","Magnoliophyta","Gentianales","Rusby","holotype",NA,"Rurrenabaque.","NY00131323_01",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","131322","PreservedSpecimen","Plantae","Rubiaceae","Faramea","benensis","Faramea benensis","M. Cárdenas","1773","1921","11","24","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131322","Magnoliophyta","Gentianales","Rusby","isotype",NA,"Rurrenabaque.","NY00131322_01 NY00131322_02",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","950146","PreservedSpecimen","Plantae","Rubiaceae","Faramea","egensis","Faramea egensis","N. A. Rosa","2534","1978","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950146","Magnoliophyta","Gentianales","Müll.Arg.",NA,"Maranhão","morro do Finca, arredores dos campos de Pinheiro.","NY00950146_01","-45.0825","-2.5217",NA,NA,"N. A. Rosa","Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","950145","PreservedSpecimen","Plantae","Rubiaceae","Faramea","egensis","Faramea egensis","N. A. Rosa","2534","1978","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950145","Magnoliophyta","Gentianales","Müll.Arg.",NA,"Maranhão","morro do Finca, arredores dos campos de Pinheiro.","NY00950145_01","-45.0825","-2.5217",NA,NA,"N. A. Rosa","Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","950144","PreservedSpecimen","Plantae","Rubiaceae","Faramea","egensis","Faramea egensis","N. A. Rosa","2534","1978","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950144","Magnoliophyta","Gentianales","Müll.Arg.",NA,"Maranhão","morro do Finca, arredores dos campos de Pinheiro.","NY00950144_01","-45.0825","-2.5217",NA,NA,"N. A. Rosa","Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","131361","PreservedSpecimen","Plantae","Rubiaceae","Faramea","maynensis","Faramea maynensis","M. Bang","2016",NA,NA,NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131361","Magnoliophyta","Gentianales","Spruce ex Benth. & Hook.f.","isotype","La Paz","Apolo","NY00131361_01","-68.4172","-14.72",NA,NA,NA,"Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","131360","PreservedSpecimen","Plantae","Rubiaceae","Faramea","maynensis","Faramea maynensis","M. Bang","2016",NA,NA,NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131360","Magnoliophyta","Gentianales","Spruce ex Benth. & Hook.f.","holotype","La Paz","Apolo","NY00131360_01","-68.4172","-14.72",NA,NA,NA,"Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01061345","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","W. A. Egler","46477",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1269147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061345","Magnoliophyta","Gentianales","A.Rich. ex DC.",NA,"Amapá",NA,"NY01061345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","709871","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","D. C. Daly","8168","1994","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709871","Magnoliophyta","Gentianales","A.Rich. ex DC.",NA,"Acre","Basin of Rio Purus, Rio Macaua. Colocação Apuí. River descending, 3m below high water mark","NY00709871_01","-68.9","-9.48",NA,NA,"C. M. Taylor","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","709877","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","P. J. M. Maas","P12741","1971","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709877","Magnoliophyta","Gentianales","A.Rich. ex DC.",NA,"Acre","Estr. Alhemanha","NY00709877_01","-72.6697","-7.6311",NA,NA,"B. M. Boom","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01067469","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","J. A. Rizzo","5834","1970","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067469","Magnoliophyta","Gentianales","A.Rich. ex DC.",NA,"Goiás","A 2 km da margem esquerda do Rio Meia Ponte, na faz. Louzandira","NY01067469_01","-49.4264","-16.4961",NA,NA,"P. G. Delprete","Goianira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01061344","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","G. T. Prance","4569","1967","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1269146' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061344","Magnoliophyta","Gentianales","A.Rich. ex DC.",NA,"Roraima","Upper west facing slopes of Serra Tepequem.","NY01061344_01","-61.755459","3.760455","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
