"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01155424","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","(Mart.) Nees","J. G. Rohwer","G. T. Prance","P25845","1977","11","29","South America","Brazil","Pará","BR 230; Transamazon Highway, 90 km NE of Itaituba.","-55.3169","-4.1578","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344176' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155424","NY01155424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 01:48:00-03","NY","NYBG","01155426","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum",NA,"W. A. Ducke","W. A. Ducke","24915","1933","02",NA,"South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155426","NY01155426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 01:48:00-03","NY","NYBG","01155425","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum",NA,"W. A. Ducke","W. A. Ducke","212","1933","02",NA,"South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155425","NY01155425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:48:00-03","NY","NYBG","01155427","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum",NA,"A. S.","B. A. Krukoff","1193",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155427","NY01155427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:20-02","BGBM","B","B 10 0185010","S","Plantae",NA,NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","Nees",NA,"C. F. P. Martius ?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,"ex hortis Paraënsitus.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185010 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185010","B100185010","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:20-02","BGBM","B","B 10 0185013","S","Plantae",NA,NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","Nees","J. R. de Moraes","Pöppig","4","1832",NA,NA,"Middle and South America","Brazil",NA,"Ad flumen Amazonum.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100185013 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185013","B100185013",NA,"2005","07","06",NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:20-02","BGBM","B","B 10 0185011","S","Plantae",NA,NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","Nees",NA,"C. F. P. Martius",NA,NA,NA,NA,"Middle and South America","Brazil",NA,"ex hortis Paraënsitus.",NA,NA,NA,"Persea caryophyllata; Dicypellium caryophyllatus <a href=http://herbarium.bgbm.org/object/B100185011 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185011","B100185011 B100185011_1","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-21 19:36:22-03","UFC","EAC","4091","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","(Mart.) Nees","Fernandes, A.","Fernandes, A.; Matos, F.J.A.","EAC4091","1978","08","09","Southern America","Brasil","Maranhão","Fazenda Januária, Assaisal","-46.4011001586914","-4.34582996368408",NA,"Arvoreta aromática.","EAC0004091","EAC0004091",NA,"1979","08","08","Buriticupu","73814","auto",NA,NA,NA
"9","2015-09-03 18:56:32-03","MNHN","RECOLNAT_MNHN_P","P00128629","PreservedSpecimen",NA,NA,NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","(Mart.) Nees","van der Werff","Ducke, A.",NA,"1933","2",NA,NA,"Brésil",NA,"Itaituba Rio Tapoyoz (Para)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128629' target='other'> <mi>dwc_moreinfo</mi></a>","P00128629","P00128629_01",NA,NA,NA,NA,NA,NA,NA,"24915",NA,NA
"10","2018-01-29 11:29:36-02","MNHN","RECOLNAT_MNHN_P","P00128630","PreservedSpecimen",NA,NA,NA,"Lauraceae","Dicypellium","caryophyllaceum","Dicypellium caryophyllaceum","(Mart.) Nees","van der Werff","Ducke, A.",NA,"1917","2","9",NA,"Brésil",NA,"Moyen Tapajoz près des rapides du Mangabal",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128630' target='other'> <mi>dwc_moreinfo</mi></a>","P00128630","P00128630_01",NA,NA,NA,NA,NA,NA,NA,"16748",NA,NA
