"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","601427","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli","A. E. Burkart","B. Rambo","35067","1947","01","01","South America","Brazil","Rio Grande do Sul","Fazenda B. Velho, Bom Jesus","-50.388347","-28.558459","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601427","NY00601427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:39-03","EAO","IAN","19036","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Galactia","benthamiana","Galactia benthamiana","Michx.",NA,"Narming","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN019036","IAN019036_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:41:39-03","EAO","IAN","19036","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Galactia","benthamiana","Galactia benthamiana","Michx.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN019036","IAN019036_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:25:12-03","PUCPR","HUCP","20935","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli.","Selusniaki, M","Selusniaki, M","2439","2008","11","14",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00007586","HUCP00007586","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:12-03","PUCPR","HUCP","19782","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli.","Selusniaki, M","Selusniaki, M","1859","2007","12","09",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00011785","HUCP00011785","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:25:12-03","PUCPR","HUCP","20769","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli.","Selusniaki, M","Selusniaki, M","1739",NA,NA,NA,NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00011606","HUCP00011606","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:25:12-03","PUCPR","HUCP","21065","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli.","Selusniaki, M","Selusniaki, M; Beltrami, L","1964","2007","12","09",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00011543","HUCP00011543","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:12-03","PUCPR","HUCP","21914","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Galactia","benthamiana","Galactia benthamiana","Micheli.","Selusniaki, M","Selusniaki, M","2768","2009","03","15",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00011658","HUCP00011658","Balsa Nova","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:13:00-03","NBC","NL-BOTANY","L.1946905","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Galactia","benthamiana","Galactia benthamiana","Micheli",NA,"Hatschbach GG",NA,"1966","12","10","Southern America","Brazil",NA,"Rio Capivara (mun. Palmeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1946905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1946905","NL-L1946905",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U 0019366","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Galactia","benthamiana","Galactia benthamiana","Micheli","Miotto STS","Lindeman JC; Irgang BE; Valls JFM",NA,"1971","11","02","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200019366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0019366",NA,NA,NA,NA,"Magnoliopsidae","2003","01","01",NA,NA,NA,NA,NA,NA,NA
