"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","locality","decimalLongitude","decimalLatitude","stateProvince","county","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:35:42-03","E","E","104471","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","Christison, David","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:113692","<a href=http://data.rbge.org.uk/herb/E00104471 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","492145","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","G. Cremers","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492145","Magnoliophyta","Lamiales","(Nees) Lindau","D. C. Wasshausen","9590","1987","03","15","Savane et Plaine de Kaw - Montagne de Kaw. Rivière de Kaw. amont du village de Kaw. Marais.","-52.38","-4.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","930187","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","L. M. M. Carreira","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00930187","Magnoliophyta","Lamiales","(Nees) Lindau","D. C. Wasshausen","890","1983","05","07","estrada para a Fazenda Arrozal km 5 da estrada Vila Bela-Pontes e Lacerda.",NA,NA,"Mato Grosso","Vila Bela de Santíssima Trindade","NY00930187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01060031","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","C. A. Cid Ferreira","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060031","Magnoliophyta","Lamiales","(Nees) Lindau","D. C. Wasshausen","2415","1980","09","12","Rio Trombetas, margem esquerda, lago Iripixi. Mata de igapó mal drenado.","-55.8319992","-1.7682579","Pará","Oriximiná","NY01060031_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","492142","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","A. L. Woolston","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492142","Magnoliophyta","Lamiales","(Nees) Lindau","C. Ezcurra","1599","1957","01","03","Alto Paraguay: Primavera",NA,NA,"San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492144","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","S. G. Beck","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492144","Magnoliophyta","Lamiales","(Nees) Lindau","D. C. Wasshausen","3265","1980","04","09","Espiritu en la zona de influencia del rio Yacuma. Tajibal de Lucumos. Sabana húmeda.",NA,NA,"El Beni","José Ballivián",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","492141","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492141","Magnoliophyta","Lamiales","(Nees) Lindau","D. C. Wasshausen","20532","1968","12","07","Rio Iguaçu, Salto Osório.","-53.008927","-25.537385","Paraná","Sao Jorge d'Oeste","NY00492141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01060034","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","S. Tsugaru","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215447' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060034","Magnoliophyta","Lamiales","(Nees) Lindau",NA,"B-379",NA,NA,NA,NA,NA,NA,"Pará",NA,"NY01060034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01060032","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","G. Davidse","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060032","Magnoliophyta","Lamiales","(Nees) Lindau",NA,"18131","1980","04","09","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 km by road west of Braganca","-46.98","-1.07","Pará","Capanema","NY01060032_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1144779","PreservedSpecimen","Plantae","Acanthaceae","Justicia","laevilinguis","Justicia laevilinguis","M. A. G. Magenta","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144779","Magnoliophyta","Lamiales","(Nees) Lindau","A. Cortês","525","2003","01","24","Itaqui. Rod. BR 472, km 449, entre Itaqui e São Borja.","-56.18531","-29.00772","Rio Grande do Sul",NA,"NY01144779_01","73","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
