"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","year","month","day","scientificNameAuthorship","infraspecificEpithet"
"1","2016-09-30 20:51:00-03","NY","NYBG","02386857","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Astrocaryum","minus","Astrocaryum minus","J.-J. de Granville","17659","South America","French Guiana","Cayenne","Mont Grand Matoury - 2; R.N. de la Mirande; piste du relais hertzien, à env. 30 m à gauche de las piste en montant, après le second portail","-52.35","4.87","70","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2613220' target='other'> <mi>dwc_moreinfo</mi></a>","NY02386857","NY02386857_01 NY02386857_02 NY02386857_03 NY02386857_04 NY02386857_05 NY02386857_06 NY02386857_07",NA,NA,NA,NA,NA,NA,NA
"2","2019-09-04 18:35:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Arecaceae","Astrocaryum","minus","Astrocaryum minus","J. W. H. Trail","1075","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Monocotyledoneae","Type [status unknown]","1875","2","2",NA,NA
"3","2017-09-11 17:07:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Arecaceae","Astrocaryum","minus","Astrocaryum minus","Trail, JWH","s.n.",NA,"?",NA,NA,NA,NA,NA,NA,"Crescit in Brasilia aequatoriali rarior, in silvis primaevis ad flum. Jutahi pr. Barreiras de Mutum!; floret Jan. et Febr.",NA,"P03P2N0081",NA,NA,NA,NA,NA,"Trail",NA
"4","2017-09-11 17:07:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Arecaceae","Astrocaryum","minus","Astrocaryum minus","Trail, JWH","s.n.","Southern America","Brazil",NA,"Crescit em Brasilia aequatoriali occidentali rarior.",NA,NA,NA,NA,"in silvis primaevis ad flum. Jutahi pr. Barreiras de Mutum.; HABITAT: in silvis primaevis ad flum. Jutahi pr. Barreiras de Mutum.",NA,"P03P2N0081",NA,NA,NA,NA,NA,"Trail",NA
"5","2017-09-11 17:07:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Arecaceae","Astrocaryum","minus","Astrocaryum minus terrafirme","Wallis, G","s.n.",NA,"?",NA,NA,NA,NA,NA,NA,"Crescit in Brasilia aequatoriali occidentali pr. Villa Mauhé ad flum. Amazonum",NA,NA,NA,NA,"1861",NA,NA,"Drude","terrafirme"
