"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","454027","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","L. B. Smith","R. Reitz","12190","1962","02","01","South America","Brazil","Santa Catarina","Irani","Rio Irani","-51.9017","-27.0247","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454027","NY00454027_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","118640","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","L. B. Smith; B. G. Schubert","P. K. H. Dusén","11922","1911","06","08","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"sheet","Collection date on label as 8.6.1911 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118640","NY00118640_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454029","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","A. C. Brade","L. B. Smith","11728","1957","02","24","South America","Brazil","Santa Catarina","Itapiranga","Popí, on the road to Sant'António","-53.7119","-27.1694","200","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454029","NY00454029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","454028","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","L. B. Smith","R. Reitz","12190","1962","02","01","South America","Brazil","Santa Catarina","Irani","Rio Irani","-51.9017","-27.0247","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454028","NY00454028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","454026","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","S. M. Silva","R. X. Lima",NA,"1993","02","22","South America","Brazil","Paraná","Três Barras do Paraná","Margem do Rio Guarani","-53.1806","-25.4192",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454026","NY00454026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:07:15-03","CPAN-UFMS","COR","8400","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","perdusenii","Begonia perdusenii","Brade",NA,"Damasceno-Júnior, G. A.; Nogueira, L. B. & Netto, J. R.","1128","1998","06","19",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro Santa Cruz; Mineração Corumbaense; paiol de explosivos","-57.581111","-19.204167","850","850",NA,"Subarbusto epífita/rupícola; flor branca Habito: Subarbusto epífita/rupícola",NA,NA,NA,"57º34'52''W","19º12'15''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2480810","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade",NA,"Reitz R",NA,"1962","02","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2480810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2480810","NL-L2480810",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2480811","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade",NA,"Reitz R",NA,"1962","02","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2480811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2480811","NL-L2480811",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:59:06-03","NBC","NL-BOTANY","L.2480812","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade",NA,"Smith LB; Klein RM; Schnorrenberger J",NA,"1957","02","24","Southern America","Brazil",NA,NA,"Santa Catarina. Mun. Itapiranga: Forest popi, on the road to Sant Antonio.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2480812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2480812","NL-L2480812",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:01:05-03","JBP","HPL","2478","S","Plantae",NA,NA,"Begoniaceae","Begonia","per-dusenii","Begonia per-dusenii","Brade","H. Lorenzi","H. Lorenzi","3185","2002","02","27",NA,"Brasil","PR","Morretes","Nativa da localidade de São Judas Tadeu, município de Cantagalo-PR, cultivada na cidade de Morretes e no Instituto Plantarum (Nova Odessa-SP).","-48.8344","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002","02","27","30514","auto",NA,NA,NA
