"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","typeStatus","individualCount","class"
"1","2021-04-08 17:37:00-03","EAO","IAN","73562","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip.","Sellow, F","s.n.","Southern America","Brasil","IAN073562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:15:53-03","UFV","VIC","41139","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch. Bip. ex Baker","Silva, T.C.","21",NA,"Brasil","VIC041139","Messias, M.C.T.B.","2011","09","30","2011","09","30","Minas Gerais","Ouro Preto","Serra da Brigida","-43.5080986022949","-20.2875003814697","44599","Arbusto, 1,5 m, flores brancas, campo rupestre, ferruginoso,couraçado de alta incidência de luz.","VIC041139","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:44:49-03","UFOP","OUPR","14019","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip. ex Baker","Badini, J.","s.n.",NA,"Brasil",NA,"Lisboa, M.A.","1976","10","05",NA,NA,NA,"Minas Gerais","Ouro Preto","Rodrigo Silva","-43.5080986022949","-20.2875003814697","44599",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:15:53-03","MBM","MBM","414661","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch. Bip. ex Baker","Barboza, E.; Brotto, M.L.; Vaz, J.; Brotto, M.L.; Vaz, J.","4695","Southern America","Brazil","MBM414661","Cordeiro, J.","2018","09","20","2018","09","08","Minas Gerais","Piumhi","Serra da Pimenta","-45.899444","-20.440556",NA,"Erva xilopodífera; capítulos lilases.; Campo rupestre.","MBM414661",NA,"-45.899444","-20.440556","1245","1245",NA,NA,NA,NA,NA
"5","2015-09-04 06:06:51-03","MNHN","RECOLNAT_MNHN_P","P02477328","PreservedSpecimen",NA,NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip. ex Baker","Glaziou, A.",NA,NA,"Brasil","P02477328","Nakajima",NA,NA,NA,"1884","11","11","Minas Gerais",NA,"Brésil. Serra d´Ouro Branco. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02477328' target='other'> <mi>dwc_moreinfo</mi></a>","P02477328_01",NA,NA,NA,NA,NA,"15082","hb",NA,NA,NA
"6","2015-09-04 06:06:51-03","MNHN","RECOLNAT_MNHN_P","P02477329","PreservedSpecimen",NA,NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip. ex Baker","Glaziou, A.",NA,NA,"Brasil","P02477329","Nakajima",NA,NA,NA,"1884","11","11","Minas Gerais",NA,"Brésil (Minas) Serra D´ Ouro Branco. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02477329' target='other'> <mi>dwc_moreinfo</mi></a>","P02477329_01",NA,NA,NA,NA,NA,"15082","hb",NA,NA,NA
"7","2015-09-04 09:42:38-03","MNHN","RECOLNAT_MNHN_P","P04267479","PreservedSpecimen",NA,NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip. ex Baker","Sellow",NA,NA,"Brésil","P04267479","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,"Capivary",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04267479' target='other'> <mi>dwc_moreinfo</mi></a>","P04267479_01 P04267479_02",NA,NA,NA,NA,NA,"940","hb","isotype",NA,NA
"8","2009-07-02 09:57:00-03","MO","MOBOT","100197445","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch. Bip. ex Baker","R. Romero|J.N. Nakajima|M.A. Farinaccio","Romero 4933","South America","Brazil",NA,NA,NA,NA,NA,"1998","1","10","Minas Gerais",NA,"Morro após o córrego dos Passageiros, Parque Nacional da Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"9","2019-09-04 18:46:46-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Eupatorium","lineatum","Eupatorium lineatum",NA,"F. Sellow","940","South America","Brazil",NA,NA,NA,NA,NA,"1819",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae"
"10","2019-11-01 14:53:53-03","UnB","UB","207269","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Eupatorium","lineatum","Eupatorium lineatum","Sch.Bip. ex Baker","Chaves, DA; Gonçalves, MF; Silva, MG","323","Southern America","Brasil",NA,"Bringel, JBA","2015","11",NA,"2014","05","01","Minas Gerais",NA,"Cadeia do Espinhaço: Subida para a Chapada dos Coutos passando pela mata dos crioulos","-43.340083","-18.251",NA,"Complexo Rupestre",NA,NA,"-43.340083","-18.251","1690","1690",NA,NA,NA,NA,NA
