"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","720596","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","10335","2005","04","01","South America","Brazil","São Paulo","Parque Estadual do Jacupiranga. Núcleo Caverna do Diabo. Trilha do Evaristo.","-48.4078","-24.6347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2518084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720596","NY00720596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1010208","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","M. Aulestia","1957","1994","03","20","South America","Ecuador","Napo","Aguarico, Reserva Etnica Huaorani, carretera y oleoducto de Maxus en construcción km 92-96, al N del Río Yasuní","-76.15","-0.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102713' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010208","NY01010208_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720567","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","A. Salino","7701","2001","10","29","South America","Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Santa Virginia, Trilha da Pirapitinga.","-45.15","-23.33772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720567","NY00720567_01","900","950","F. B. Matos","Sao Luís do Paraitinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1010183","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","O. Buchtien","8","1909","06","01","South America","Bolivia","Cochabamba","Prov. Chapare, Antahuanacana, Río Espiritu Santo, 160 km N from Cochabamba","-65.38","-16.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010183","NY01010183_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03824518","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","W. J. Hahn","4259","1988","04","06","South America","Guyana","Potaro-Siparuni","Mt. Kopinang; slopes of mountain.","-59.88","4.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4106050' target='other'> <mi>dwc_moreinfo</mi></a>","NY03824518",NA,"700","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1010168","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","J. A. Steyermark","144","1960","04","14","South America","Venezuela","Bolívar","NW slopes of Cerro Venamo","-61.2331","5.6331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010168","NY01010168_01","1100","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1487587","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","W. Rodriguez","8074","2013","11","21","South America","Colombia","Putumayo","Municipio de Orito, resguardo indígena Cañaveral Miraflores, finca Alto Bonito La Esperanza.","-76.80769","0.74511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2438184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487587","NY01487587_01","408",NA,"W. Rodriguez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","698560","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","I. Jiménez","2293","2004","05","19","South America","Bolivia","Cochabamba","Puente sobre el Rio Avispas, cruzando el rio, al inicio del camino abandonado","-65.65","-17.02","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1731973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00698560","NY00698560_02","550",NA,"R. C. Moran","Chapare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1010211","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","S. R. King","452","1982","05","09","South America","Peru","Loreto","Prov. Maynas, Distr. Napo, Río Sta. María","-74.73","-1.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104797' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010211","NY01010211_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1010206","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels","P. J. M. Maas","6858","1987","10","25","South America","Brazil","Amazonas","Rio Negro, 1 hour upstream by motorboat from mouth of Rio Xié, Indian village of Campina","-67.18","0.95","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01010206","NY01010206_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
