"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","83543","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","Silva, J.M. & Cruz, J.M.","1616","1995","12","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92512","<a href=http://data.rbge.org.uk/herb/E00083543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558383","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","G. G. Hatschbach","18575","1968","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558383","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299","1300","1300","NY00558383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685828","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","O. Handro","s.n.","1962","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685828","Magnoliophyta","Myrtales","Brade","P. J. F. Guimarães","São Paulo",NA,"Reserva Florestal da Boraceia, Serra do Mar.",NA,NA,NA,NA,"NY00685828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777167","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","M. F. R. Paula","38","1998","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777167","Magnoliophyta","Myrtales","Brade","S. M. Silva","Paraná","Morretes","Estrada da Graciosa, Recanto Engenheiro Lacerda","-48.85","-25.37",NA,NA,"NY00777167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558384","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","G. G. Hatschbach","26309","1971","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558384","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553","-25.3058","1500","1500","NY00558384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558380","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","G. G. Hatschbach","7646","1960","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558380","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Sao José dos Pinhais","Serra do Mar","-49.2064","-25.5347",NA,NA,"NY00558380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558377","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","R. Reitz","5705","1957","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558377","Magnoliophyta","Myrtales","Brade","A. C. Brade","Santa Catarina","Joinville","Estrada Dona Francisca","-48.8456","-26.3044","600","600","NY00558377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","169343","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii alpestris","R. Reitz","6484","1958","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169343","Magnoliophyta","Myrtales","Brade",NA,"Santa Catarina",NA,"Morro de Iquererim, Campo Alegre",NA,NA,"1300","1300","NY00169343_01","alpestris","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","558378","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","G. G. Hatschbach","6813","1960","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558378","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Paraná","Campina Grande do Sul","Ribeirao do Mundéo","-49.0553","-25.3058",NA,NA,"NY00558378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","685823","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","reitzii","Tibouchina reitzii","L. B. Smith","14174","1964","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685823","Magnoliophyta","Myrtales","Brade","J. J. Wurdack","Santa Catarina","Ilhota","Morro do Bau, northwest of Ilhota","-48.88","-26.87","250","920","NY00685823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
