"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00885141","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","R. M. Harley","J. Cordeiro","608","1989","01","20","South America","Brazil","Paraná","Curitiba","Parque Náutico.","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885141","NY00885141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00885142","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","S. F. Smith","G. Grazziotin","7468","1991","01","09","South America","Brazil","Rio Grande do Sul","Capao da Canoa",NA,"-50.0094","-29.7458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885142","NY00885142_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:56-03","UFRJ","RFA","2080","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","sylvestris","Mentha sylvestris","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europa",NA,NA,NA,NA,NA,"RFA42653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-24 17:10:45-03","UTFPR","DVPR","841","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Antunes, JG","Antunes, JG","s.n.","2014","02","24",NA,"Brasil","Paraná","Dois Vizinhos","Propriedade do agricultor José R. Antunes","-53.057201385498","-25.7336006164551",NA,"Planta herbácea, semi-perene, cor da flor creme.","DVPR000841","DVPR000841","2014","19637","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:10:45-03","UTFPR","DVPR","2501","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Estevan, DA","Castanha, AG","s.n.","2015","01","06",NA,"Brasil","Paraná","Francisco Beltrão","Jardin da casa localizada na rua Antonio Marcelo,3","-53.0550003051758","-26.0811004638672",NA,"Hábito do tipo erva 0,40 m, flor na cor branca.","DVPR002501",NA,"2016","32165","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:18:01-03","UFBA","ALCB","30583","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Harley, RM","Saar, E","24","1996",NA,NA,"Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador","-38.5","-12.966667",NA,"folhas simples, membranáceas.",NA,NA,"2009",NA,NA,"05","-38.5","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:18:01-03","UFBA","ALCB","95888","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Guedes, ML","Guedes, ML; Gomes, FS; Lisboa, MS","17412","2010","07","20","Southern America","Brasil","Bahia","Presidente Tancredo Neves","Litoral Sul, Ouro Preto. Casa de Laurinda Fagundes Venceslaus","-39.344167","-13.378611",NA,"ca. 30 cm alt. Folhas crassas, discolores. Estéril.; área antropizada.",NA,NA,"2010",NA,NA,"08","-39.344167","-13.378611","204","204",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:32:48-03","NBC","NL-BOTANY","U.1356797","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Mentha","sylvestris","Mentha sylvestris","L.",NA,"Herter WG",NA,"1925","01","30","Southern America","Uruguay",NA,NA,"De Montevideo. Miguelete.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1356797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1356797","NL-U1356797",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"9","2020-02-08 09:32:48-03","NBC","NL-BOTANY","AMD.81765","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Mentha","sylvestris","Mentha sylvestris graveolens",NA,NA,"Herter",NA,"1930","01","25","Southern America","Uruguay",NA,NA,"Dep. de Monevideo, Miguelete.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.81765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD81765","NL-AMD81765",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","graveolens",NA,NA,NA,NA
"10","2020-11-04 11:11:41-03","ESALQ","ESA","16114","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Harley, R.M.","Cordeiro, J.","608.0","1989","01","20",NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,"ESA016114","ESA016114",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:01-03","UFV","VIC","15650","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","L.",NA,"Almeida, M.A.Z.","21","1990","01","24",NA,"Brasil","Minas Gerais","Viçosa","Fundão- Campus da UFV Horta Velha","-42.8819007873535","-20.7539005279541",NA,"Planta rasteira de porte herbáceo que emite ramificações para cima que atingem até 0,5 m, flores liláses medicinal.","VIC015650",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:01-03","UFV","VIC","8693","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","L.",NA,"Ferreira, E.A.","s.n.","1984","05","16",NA,"Brasil","Minas Gerais","Viçosa","Paraíso, casa do Sr° raimundo e D Raimunda","-42.8819007873535","-20.7539005279541",NA,"Erva rasteira, inflorescência terminal, flores brancas.","VIC008693",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:18:01-03","UFV","VIC","18852","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","L.",NA,"Carvalho A.F.;","521","1998","02","25",NA,"Brasil","Minas Gerais","Viçosa","Campus da UFV Vila Gianetti entre folhas","-42.8819007873535","-20.7539005279541",NA,"Erva prostrada aromática de até 40 cm, flores roxas medicinal.","VIC018852",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:18:01-03","UFV","VIC","3486","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens","L.",NA,NA,"s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,"VIC003486",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-27 16:44:02-03","UFSC","CTBS","4328","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","suaveolens","Mentha suaveolens",NA,NA,"Arcain, B.M.S.","37","2016","12","13",NA,"Brasil","Paraná","Foz do Iguaçu","Ervanário de plantas medicinais.","-54.5881004333496","-25.5478000640869",NA,"Herbáceo. Flor com espiga terminal - branca. Terrestre, 100cm.",NA,NA,NA,"39570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015150","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Mentha","suaveolens","Mentha suaveolens","Ehrh.","Stephen F. Smith","G. Grazziotin","7468","1991",NA,"9",NA,"Brazil","Rio Grande do Sul",NA,"Capao da Canoa.","-50.042204","-29.755588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
