"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","615653","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","L. R. Landrum","L. R. Landrum","2820","1977","12","05","South America","Brazil","São Paulo","Campos do Jordao","Reserva florestal de Campos de Jordao. ALong road and stream about 1-2 km past administration and nursery into the Reserva","-45.5","-22.75","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615653","NY00615653_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615654","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","L. R. Landrum","L. R. Landrum","2830","1977","12","05","South America","Brazil","São Paulo","Campos do Jordao","Reserva florestal de Campos de Jordao. Along road and stream about 1-2 km past administration and nursery into the Reserva","-45.5","-22.75","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615654","NY00615654_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:42-03","ESALQ","ESA","41669","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) Legr. & Kaus.","Landrum, L.R.","Mattos, J.","14736.0","1966","12","17",NA,"Brasil","São Paulo","Campos de Jordão",NA,NA,NA,NA,NA,NA,NA,"ESA041669",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:46:20-02","IPA","IPA","50549","S","Plantae","Plantae",NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D. Legrand & Kausel","Lima, M.P.M. de","Barreto, R.A.A.","158","1980","08","18","Southern America","Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363","1570","1570",NA,"Árvore ca. 8m; frutos de maturação verde. Frequência mediana.; Floresta Ombrófila Mista.","IPA0050549",NA,"1981","10","21048","auto",NA,NA,NA,NA
"5","2020-12-20 21:18:38-03","UFV","VIC","19552","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,"Santos, M.F.; et al.","76","2006","01","09",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arvoreta de 2 m, folhas discolores, botão floral de pilosidade ocrácea","VIC019552","VIC019552",NA,NA,"13809","auto",NA,NA,NA,NA
"6","2020-12-20 21:18:38-03","UFV","VIC","19551","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,"Santos, M.F.; et al.","73","2006","01","09",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arvoreta de 2 m, folhas discolores, botão floral de pilosidade ocrácea","VIC019551","VIC019551",NA,NA,"13809","auto",NA,NA,NA,NA
"7","2020-12-20 21:18:38-03","UFV","VIC","19553","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata",NA,NA,"Santos, M.F.; et al.","74","2006","01","09",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arvoreta de 2 m, folhas discolores, botão floral de pilosidade ocrácea","VIC019553","VIC019553",NA,NA,"13809","auto",NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060691","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","L.R. Landrum, 2002.","J.R. Stehmann","2988","2001","9","20",NA,"Brazil","Minas Gerais",NA,"Camanducaia: Mata do Sr. Altair Rezende de Souza.","-46.145022","-22.754898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019693","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel",NA,"L. R. Landrum","2830","1977","12","5",NA,"Brazil","Sao Paulo",NA,"Campos de Jordao. Along road and stream about 1-2km past administration and nursery into the Reserva.","-45.5","-22.75",NA,NA,NA,"Shrub 2m tall; growing on the edge of wet campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:36:57-03","MBM","MBM","119964","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","brevipedicellata","Myrceugenia brevipedicellata","(Burret) D.Legrand & Kausel","Fonseca Vaz, A.M.S. da","Fonseca Vaz, A.M.S. da","318","1979","11","23","Southern America","Brazil","São Paulo","Campos do Jordão","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"MBM119964","MBM119964",NA,NA,"21048","auto",NA,NA,NA,NA
