"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","occurrenceRemarks","barcode","imagecode","identifiedBy"
"1","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","12633","Plantae","Begoniaceae","Begonia","ruschii","Begonia ruschii","L. Kollmann","HOLOTIPO","L. Kollmann; et al","2919","2000","05","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","2","Folhas verdes escuras pôr cima, vermelhas pôr baixo.","MBML012633","MBML012633_1 MBML012633_2 MBML012633_3 MBML012633_4",NA
"2","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","15671","Plantae","Begoniaceae","Begonia","ruschii","Begonia ruschii","L. Kollmann","PARATIPO","L. Kollmann","5160","2001","12","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","1","Folhas verdes escuras na face adaxial, vermelhas na face abaxial. Flores brancas. Floração em cultivo.","MBML015671","MBML015671_1 MBML015671_2",NA
"3","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","34768","Plantae","Begoniaceae","Begonia","ruschii","Begonia ruschii","L.Kollmann",NA,"L. Kollmann; A.P. Fontana & K. Brahim","10863","2008","04","15","Brasil","Espírito Santo","Santa Leopoldina","Alto Rio das Farinhas","-40.616111","-20.101944","40W36'58","20S6'7",NA,"Planta rupestre no sol. Folhas vináceas face abaxial. Frutos secos","MBML034768","MBML034768","L. Kollmann/15-04-2008"
"4","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","36483","Plantae","Begoniaceae","Begonia","ruschii","Begonia ruschii","L.kollmann",NA,"L. Kollmann; A.P.Fontana & K.Brahim","11326","2008","11","19","Brasil","Espírito Santo","Santa Leopoldina","Alto Rio das Farinhas.","-40.616111","-20.101944","40W36'58","20S6'7",NA,"Erva rupícola no sol, flores amareladas, caule marrom, folha verde com tricomas acinzentados, inflorescencia amaronzada. Floração em cultivo","MBML036483","MBML036483","L. Kollmann/20-11-2008"
