"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:24:50-03","UNESC","CRI","6505","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Ademir Reis","1999","10","29","V. Citadini-Zanette; Ademir Reis","1999","10","20","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","500","500","CRI000573","CRI000573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","395","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","L. R. M. Batista","1989","11","12","V. Citadini-Zanette; F. M. Bastos","1987","12","21","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI000576","CRI000576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","7996","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Vanilde Citadini- Zanette","2008","07","01","Beatriz Wessler; Bruna Alberton","2008","06","30","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","49","49","CRI000578","CRI000578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","15063","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.",NA,NA,NA,NA,"P.Occhioni","1965","10","24","Brasil","Santa Catarina","Monte Castelo",NA,"-50.230833","-26.459444","50º13'51''W","26º27'34''S",NA,NA,"CRI014493","CRI014493","2249","Arbusto, flor creme esverdeada Habitat: Capoeira Habito: Arbusto flor creme esverdeada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:50-03","UNESC","CRI","11540","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","M. Verdi","2008","12","15","M. Verdi; B. Grosch & G. Klemz","2008","12","15","Brasil",NA,"Brasil","Canoas / fazenda Gateados.","-50.849722","-28.035","50º50'59''W","28º2'6''S","854","854","CRI000575","CRI000575","1258","Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:50-03","UNESC","CRI","14370","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Schwirkowski, P.","2017","10","23","Schwirkowski, P.","2017","10","23","Brasil","Santa Catarina","São Bento do Sul","Bairro Colonial. Bairro Colonial. Terreno baldio ao lado da Rua Engelberto Pscheidt.","-49.4075","-26.2275","49º24'27''W","26º13'39''S","850","850","CRI013473","CRI013473","2508","Flores brancas Habitat: Área degradada, heliófita Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:50-03","UNESC","CRI","1156","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1992","04","30","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI000551","CRI000551","1406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:50-03","UNESC","CRI","8750","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","A. Stival-Santos","2008","11","18","A. Stival-Santos; A.L. de Gasper & S. Silveira","2008","11","18","Brasil","Santa Catarina","Luzerna","Linha Nogueira.","-51.480833","-27.134722","51º28'51''W","27º8'5''S","704","704","CRI000571","CRI000571","158","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:50-03","UNESC","CRI","12073","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Stival-Santos, A","2010","03","30","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","CRI010251",NA,"2179","Florística IFFSC 467 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arvoreta; Fruto rosa;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:50-03","UNESC","CRI","13572","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","paraguariensis","Ilex paraguariensis","A.St.-Hil.","Renato Colares & Aline Votri Guislon","2018","08","03","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2018","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","CRI012179",NA,NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
