"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","infraspecificEpithet","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:35:52-03","E","E","84735","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","Harley, Raymond M.","19737","1977","03","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93890","<a href=http://data.rbge.org.uk/herb/E00084735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","545623","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","A. C. Brade","16326","1940","07","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545623","Magnoliophyta","Liliales","Herb.","A. C. Brade","Rio de Janeiro","Serra dos Orgaos, Pedra Santo Antonio","1200","1200","NY00545623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910716","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","H. S. Irwin","2703","1959","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910716","Magnoliophyta","Liliales","Herb.","L. B. Smith","Minas Gerais","State Agricultural School, Viçosa.",NA,NA,"NY00910716_01","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910717","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","H. S. Irwin","2703","1959","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910717","Magnoliophyta","Liliales","Herb.","L. B. Smith","Minas Gerais","State Agricultural School, Viçosa.",NA,NA,"NY00910717_01","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910719","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","Y. E. J. Mexia","4188","1929","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910719","Magnoliophyta","Liliales","Herb.","P. C. Standley","Minas Gerais","Vicosa. Agricultural College grounds. Hill south of College","680","680","NY00910719_01","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","545626","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","E. Hassler","5919",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545626","Magnoliophyta","Liliales","Herb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","545625","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","D. R. Hunt","6489","1966","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545625","Magnoliophyta","Liliales","Herb.",NA,"Rio de Janeiro","Serra dos Orgaos, Parque Nacional. Above Abrigo II","1200","1500","NY00545625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","545624","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","Y. E. J. Mexia","4082","1929","11","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545624","Magnoliophyta","Liliales","Herb.","E. P. Killip","Espírito Santo","SE slope of Serra do Caparaó","2460","2460","NY00545624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910718","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","Y. E. J. Mexia","4185","1929","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910718","Magnoliophyta","Liliales","Herb.","E. P. Killip","Minas Gerais","Vicosa. Agricultural College grounds. Hill south of College",NA,NA,"NY00910718_01","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","545621","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","inodora","Alstroemeria inodora","R. M. Harley","19737","1977","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545621","Magnoliophyta","Liliales","Herb.",NA,"Bahia","Lower NE slopes of the Pico das Almas, ca. 25 km. WNW of the Vila do Rio de Contas.","1400","1400","NY00545621_01","Rio de Contas","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
