"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-09-23 10:39:25-03","E","E","62404","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa","isotype","Gardner, George","73","1905","01","10","E. Tropical South America","BR","Rio de Janeiro","Corcovado.","herbarium specimen of unspecif","BGBASE:110379","<a href=http://data.rbge.org.uk/herb/E00062404 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:25-03","E","E","162571","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"Blecher, A.","77",NA,NA,NA,"E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:170487","<a href=http://data.rbge.org.uk/herb/E00162571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:25-03","E","E","62403","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa","isotype","Gardner, George","73","1905","01","10","E. Tropical South America","BR","Rio de Janeiro","[Corcovado].","herbarium specimen of unspecif","BGBASE:110378","<a href=http://data.rbge.org.uk/herb/E00062403 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1414154","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"M. Silveira","3662","2007","08","13","South America","Brazil","Acre","BR 307, 40 km de Cruzeiro do Sul, localidade Santa Bárbara.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01414154","Magnoliophyta","Lamiales","(Gardner) Hanst.","Determiner unspecified","Mâncio Lima","-73.02231","-7.40006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","441893","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"A. P. Duarte","5297","1960","09","20","South America","Brazil","Rio de Janeiro","Morro Queimado","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441893","Magnoliophyta","Lamiales","(Gardner) Hanst.",NA,"Rio de Janeiro","-43.257781","-22.96306","NY00441893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","441894","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"G. G. Hatschbach","14514","1966","07","27","South America","Brazil","Paraná","Pedra Branca de Araraquara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441894","Magnoliophyta","Lamiales","(Gardner) Hanst.","L. E. Skog","Guaratuba","-48.90806","-25.93389","NY00441894_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-12 15:31:41-03","UFABC","HUFABC","000335","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"Vieira, L I","02","2015","10","17",NA,"Brasil","São Paulo","Sítio Primavera, Estufa do sítio de propriedade de Mauro Peixoto, planta em cultivo sob o número 1773/ 1211, originaria do Rio de Janeiro, Brasil. Coletada na mata Atlântica.",NA,NA,"Planta com folhas pequenas e esféricas; cada flor é formada por corola branca.","HUFABC000335","Angiospermas",NA,"(Gand.) Hanst.",NA,"Mogi das Cruzes","-46.1883010864258","-23.5228004455566","HUFABC000335","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:31:29-03","NBC","NL-BOTANY","U.1340714","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"Martinelli G; Simonis JE",NA,"1983","02","02","Southern America","Brazil",NA,"Estado do Rio de Janeiro, Municipio de Teresopolis, Parque Nacional da Serra dos Orgaos, margens do Rio Beija-Flor.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1340714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1340714",NA,"Lamiales","(Gand.) Hanst.",NA,NA,NA,NA,"NL-U1340714",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:31:29-03","NBC","NL-BOTANY","U.1340715","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"Maas PJM; Carauta JPP",NA,"1977","10","08","Southern America","Brazil",NA,"Edo. Rio de Janeiro, Corcovado, between Paineiras and Jardim Botanico.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1340715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1340715",NA,"Lamiales","(Gand.) Hanst.",NA,NA,NA,NA,"NL-U1340715",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:11:09-03","ESALQ","ESA","79062","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","carnosa","Codonanthe carnosa",NA,"Forster, W.; Atanasio, C.; Siqueira, L.P.; Sorreano, M.C.M.; Souza, S.C.; Buchianeri, V.; Scalon, V.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","502.0","2000","04","22",NA,"Brasil","São Paulo","Praia Barra do Una, Boraceia, estrada de acesso da Fazenda Águas do Bento. Floresta de Restinga",NA,NA,"Epífita pendente. 2m sobre o hospedeiro em área aberta.Cálice vináceo. Corola branca. Falce ornamentada de amarelo.","ESA079062","Magnoliophyta",NA,"(Gardner) Hanst.","Gajardo, I.S.M.","São Sebastião","-45.4099998474121","-23.7600002288818","ESA079062","41977","auto",NA,"-45,766,944","-23,731,667",NA,NA,NA,NA,NA,NA,NA
