"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem"
"1","2020-09-23 10:44:29-03","E","E","114622","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","Semir, J. & Sazima, M.","596","1971","12","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121971","<a href=http://data.rbge.org.uk/herb/E00114622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:29-03","E","E","114623","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","Semir, J. & Sazima, M.","639","1972","02","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121974","<a href=http://data.rbge.org.uk/herb/E00114623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:29-03","E","E","114621","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","Semir, J. & Sazima, M.","710","1972","02","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121965","<a href=http://data.rbge.org.uk/herb/E00114621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:29-03","E","E","114624","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","Semir, J. & Sazima, M.","699","1972","02","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121976","<a href=http://data.rbge.org.uk/herb/E00114624 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00940900","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","E. P. Heringer","6066","1958","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940900","Magnoliophyta","Myrtales","Bong.","M. L. Kawasaki","Minas Gerais","Serra do Cipó.","-43.539588","-19.392351","1400","1400","NY00940900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00940906","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","A. P. Duarte","2008","1949","12","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940906","Magnoliophyta","Myrtales","Bong.","A. P. Duarte","Minas Gerais","Serra do Cipó, Palacio, Kilometro 120 e 134.",NA,NA,"1250","1250","NY00940906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00940896","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","N. L. de Menezes","4586","1991","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940896","Magnoliophyta","Myrtales","Bong.","S. A. Mori","Minas Gerais","Serra do Cipo, 7 km NE de Cardeal Mota, camino a Conceicao do Mato Dentro","-43.58","-19.33","1000","1320","NY00940896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00940897","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","B. Maguire","44637","1959","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940897","Magnoliophyta","Myrtales","Bong.",NA,"Minas Gerais","Serra do Cipo, 3.5 miles from Hotel Chapeu de Sol",NA,NA,"3500","3500","NY00940897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00940901","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","G. G. Hatschbach","28713","1972","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940901","Magnoliophyta","Myrtales","Bong.","K. Yamamoto","Minas Gerais","Serra do Cipó.","-43.539757","-19.388386",NA,NA,"NY00940901_01","Jaboticatubas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00940522","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","pygmaea","Vochysia pygmaea","G. L. Esteves","33-20990","1990","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940522","Magnoliophyta","Myrtales","Bong.","O. Kosovsky","Minas Gerais","Serra do Espinaço, Serra do Cipó: along the main road in the surroundings of the Córrego Alto do Cupim and Córrego Duas Pontes, ca. 3,5-4,5 km NE Pensâo Chapeu-de-Sol (NNE Cardeal Mota), 41-42 km E Baldim","-43.57","-19.28","1180","1250","NY00940522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
