"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","886566","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","limula","Lellingeria limula","(Christ) A.R.Sm. & R.C.Moran","P. H. Labiak E.","P. H. Labiak E.","4153","2007","07","17","South America","Brazil","Espírito Santo","Itaguaçu","Morro do Caparaó (de Itaguaçu).","-40.9803","-19.7411","1360","1360","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886566","NY00886566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03986245","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak",NA,"B. Maguire","29935","1950","12","16","South America","Venezuela","Amazonas",NA,"Cerro Huachamacari, Rio Cunucunuma. Vicinity Camp II.",NA,NA,"1100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4285577' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986245","NY03986245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03986244","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak",NA,"S. S. Tillett","43963C","1960","07","02","South America","Guyana",NA,NA,"British Guiana, upper Mazaruni River Basin, Partang River, Merume Mountains, vic. camp on trail, top of Merumé Mountains Mtn.",NA,NA,"3750",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4285576' target='other'> <mi>dwc_moreinfo</mi></a>","NY03986244","NY03986244_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 09:59:16-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","14873","S","Plantae","Tracheophyta","Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula",NA,NA,NA,NA,NA,NA,NA,"América do Sul","Brasil","Ceará","Maranguape",NA,"-38.6856002807617","-3.89083003997803",NA,NA,NA,NA,NA,NA,"Polypodiopsida","40608","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-14 16:14:50-03","UFC","EAC","16354","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Lellingeria","limula","Lellingeria limula","(Christ) A.R.Sm. & R.C.Moran","Prado, J.","Lima-Verde, L.W.","s.n.","1990","01","26","Southern America","Brasil","Ceará","Maranguape","Pedra da Rajada","-38.6856002807617","-3.89083003997803","850","850",NA,"Epifita de sombra, substrato em casca de arvores e musgos; Mata higrofila de altitude","EAC0016354","EAC0016354",NA,"40608","auto","2001","03",NA,NA,NA,NA
"6","2020-09-29 14:53:35-03","UFPR","UPCB","68729","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","limula","Lellingeria limula","(Christ) A.R.Sm. & R.C.Moran","Labiak, P.H.","Matos, F.B.","917","2006","02","08",NA,"Brasil","Minas Gerais","Santa Maria do Salto","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da caixa d'água.","-40.533333","-16.406389","950","950",NA,"Epífita em árvore caída no interior da mata. Floresta Ombrófila Densa Montana.","UPCB0007053","UPCB0007053",NA,NA,NA,"2007","08","-40.533333","-16.406389",NA,NA
"7","2020-09-29 14:53:35-03","UFPR","UPCB","57535","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","limula","Lellingeria limula","(Christ) A.R.Sm. & R.C.Moran","Labiak, P.H. & Matos, F.B.","Labiak, P.H.","4153","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","BLOQUEADO",NA,NA,"1360","1360",NA,"Epífita na mata nebular, na base dos troncos. (Sílica) Afloramentos rochosos, com pequenas matas úmidas nos vales..","UPCB0008218","UPCB0008218",NA,NA,NA,"2007","07","9999","9999",NA,NA
"8","2020-09-29 14:53:42-03","UFPR","UPCB","82095","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","Labiak, P. H.","Labiak, P.H.","5683","2014","03","22",NA,"Brasil","Amazonas","Barcelos","Parque Estadual da Serra do Aracá. Trilha da Cachoeira do Eldorado para o cume. =","-63.341","-0.888","1000","1000",NA,"Epífita na mata nebular.","UPCB0008217","UPCB0008217",NA,NA,NA,"2014","03","-63.341","-0.888","22",NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3297507","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","limula","Lellingeria limula","(Christ) A.R. Sm. & R.C. Moran",NA,"W. Rodriguez","Rodríguez Duque 3415","2002","6","17","South America","Colombia","Antioquia","Belmira",NA,"-75.675","6.62166","2895.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2011-04-19 09:48:00-03","MO","MOBOT","3324881","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","P.H.Labiak (UPCB)","Francisco J. Ortega|H. van der Werff","Ortega 2817","1985","11","19","South America","Venezuela","Táchira",NA,"Dtto. Uribante, en los alrededores del campamento Siberia (CADAFE), a orillas de quebradas y selvas riparias.","-71.7166667","8.0166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"11","2020-04-18 04:12:00-03","MO","MOBOT","3327543","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","P.H.Labiak (UPCB)","Flora Falcón","Flora Falcón 451","1979","2","27","South America","Venezuela","Falcón",NA,"Sierra de San Luis, arriba de la Chapa.Selva nublada.",NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"12","2020-08-31 09:23:05-03","INPA","INPA","216013","S","Plantae","Polypodiopsida","Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","Pessoa, EM","Carvalho, FA de","235","2004","12","26","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Parque Nacional do Pico da Neblina, Parque Nacional do Pico da Neblina - Trilha para o Pico da Neblina, entre o acampamento Bebedouro velho e o Bebedouro Novo. Subindo a Serra da Neblina. Floresta ombrófila densa montana. Em pedra sujeito à força da","-65.975278","0.748333",NA,NA,NA,NA,"INPA0216013","INPA0216013_nd",NA,NA,NA,"2017","05","-65.975278","0.748333",NA,NA
"13","2020-08-31 09:23:05-03","INPA","INPA","219414","S","Plantae","Polypodiopsida","Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","Pessoa, EM","Carvalho, FA de","401","2004","12","28","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Parque Nacional do Pico da Neblina, Trilha para a cachoeira do Anta, entre o acampamento e Cuiabixi e Mao ao ao. Subindo a Serra da Neblina.","-65.977778","0.79","1250","1250",NA,NA,"INPA0219414",NA,NA,NA,NA,"2017","05","-65.977778","0.79",NA,NA
"14","2020-07-10 09:46:23-03","MBML","MBML-HERBARIO","31583",NA,"Plantae",NA,NA,"Grammitidaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","P.Labiak/Set.2016","P. Labiak; et al","4153","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","Morro do Caparaó","-40.981111","-19.741389",NA,NA,NA,NA,"MBML031583","MBML031583",NA,NA,NA,NA,NA,"40W58'52","19S44'29",NA,NA
"15","2020-07-10 09:46:23-03","MBML","MBML-HERBARIO","46945",NA,"Plantae",NA,NA,"Grammitidaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","P.Labiak/Set.2016","A. P. Fontana; K.A. Brahim & L.C. Bissoli","3506","2007","06","06",NA,"Brasil","Espírito Santo","Itaguaçu","Serra do Caparaó. Fundo de Vale","-40.973333","-19.747778","1280","1280",NA,"Epífita na sombra. Fértil. Projeto CORES - Conservação das Orquídeas em risco de extinção.","MBML046945","MBML046945",NA,NA,NA,NA,NA,"40W58'24","19S44'52",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2291716","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak",NA,"B. Maguire, R. S. Cowan & J. J. Wurdack","29935","1950","12","16","South America - Neotropics","Venezuela","Amazonas",NA,"Cerro Huachamacari, Río Cunucunuma, near Camp II",NA,NA,"1100",NA,NA,NA,"US00808868","US00808868_01","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1"
"17","2020-09-12 05:00:02-03","US","US","3571387","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak","Sundue, Michael","M. Boudrie","4615","2014","8","11","South America - Neotropics","French Guiana",NA,NA,"Mont toupe, Sommet Tabulaire-7, Plateau tabulaire sud-ouest, layons A et F - Layon F, de 0 a 300 m, Station no MB 973-222","-53.0842","3.0225","830",NA,NA,NA,"US01278814","US01278814_01","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1"
"18","2020-09-12 05:00:02-03","US","US","1572555","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak",NA,"W. Seifriz","54","1932",NA,NA,"South America - Neotropics","Colombia","Magdalena",NA,"Cincinnati,",NA,NA,"1300",NA,NA,NA,"US01610336",NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","3299849","PreservedSpecimen","Plantae",NA,"Polypodiales","Polypodiaceae","Stenogrammitis","limula","Stenogrammitis limula","(Christ) Labiak",NA,"J. A. Steyermark, C. Brewer-Carias, G. C. K. Dunsterville & E. Dunsterville","112429","1976","8","26","South America - Neotropics","Venezuela","Bolívar",NA,"Cerro Roraima: cumbre, parte NO de Venezuela inmediata al S del hito que marca los limites con Guyana, Brasil, y Venezuela","-60.7","5.2","2750","2800",NA,NA,"US00808870",NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,NA,"1"
