"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00923940","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","J. J. Wurdack","B. Maguire","49040","1960","08","06","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, km. 111-120, road from Hotel Chapéu do Sol.","-43.554488","-19.288549","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923940","NY00923940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00923933","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","H. S. Irwin","19996","1968","02","14","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923933","NY00923933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00923937","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","A. P. Duarte","6499","1962","03","16","South America","Brazil","Minas Gerais","Serra do Cipó - km 127.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923937","NY00923937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-09-27 16:11:00-03","NY","NYBG","02647862","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis",NA,"T. Bochorny","T. Fontoura","96","1987","05","11","South America","Brazil","Minas Gerais","Mun. Santana do Riacho, Serra do Cipó, campo rupestre, estr. do riacho Conceição do Mato Dentro, Km 110 depois da pensão Chapéu do Sol.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2934277' target='other'> <mi>dwc_moreinfo</mi></a>","NY02647862","NY02647862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00885428","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","T. B. Cavalcanti","2271","1997","04","23","South America","Brazil","Minas Gerais","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 100.","-43.6119","-19.3","1009","1009","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885428","NY00885428_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00923934","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","N. M. Castro","s.n.","1985","05",NA,"South America","Brazil","Minas Gerais","Serra do Cipó","-43.539757","-19.388386",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923934","NY00923934_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00923931","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","S. A. T. Graham","W. R. Anderson","36117","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.567497","-19.391589","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923931","NY00923931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00923939","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","A. Lourteig","L. B. Smith","7024","1952","04","29","South America","Brazil","Minas Gerais","Serra do Cipó, Chapeu de Sol","-43.95","-19.67","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923939","NY00923939_01","Jaboticatubas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018698","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","R. de Mello-Silva","R. de Mello-Silva","2895","2006","04","22","South America","Brazil","Minas Gerais","Serra do Cipó. Estrada Santana do Riacho - Lapinha, 4.4 km de Santana do Riacho.","-43.6947","-19.1397","1057","1057","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262072' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018698","NY01018698_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00923936","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","A. A. A. Barbosa","392","1989","06","08","South America","Brazil","Minas Gerais","Estrada Lagoa Santa- Conceiçao do Mato Dentro, km 110, Parque Nacional da Serra do Cipó","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923936","NY00923936_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00923938","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","G. M. Barroso","A. P. Duarte","2494","1950","04","15","South America","Brazil","Minas Gerais","Serra do Cipó, kilômetro 131-134.",NA,NA,"1100","1280","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923938","NY00923938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00923935","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","N. M. Castro","s.n.","1989","06","08","South America","Brazil","Minas Gerais","Estrada Lagoa Santa- Conceiçao do Mato Dentro, km 110, Parque Nacional da Serra do Cipó","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923935","NY00923935_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00923932","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","T. B. Cavalcanti","H. S. Irwin","20370","1968","02","17","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km. 105 (ca. 130km N. of Belo Horizonte).","-43.4","-19","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923932","NY00923932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:31:09-03","UFRJ","RFA","14263","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","J. J. Wurdack","P. Occhioni","5538","1973","06","07",NA,"Brasil","Minas Gerais","Estrada Diamantina C. Mata",NA,NA,NA,NA,NA,"Subarbusto, flor carmim, estame amarelo","RFA44273",NA,"Minas Gerais","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:31:09-03","UFRJ","RFA","12884","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne","J. J. Wurdack","P. Occhioni","5005","1972","06","26",NA,"Brasil","Minas Gerais","Estrada da Conceição do Cerro, km 110 - 130, Serra do Cipó","-43.7144012451172","-19.1688995361328","1100","1100",NA,"Subarbusto delgado (ramos finos) fruto","RFA44270",NA,"Santana do Riacho","1975","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:31:09-03","UFRJ","RFA","12743","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","orbicularis","Diplusodon orbicularis","Koehne",NA,"P. Occhioni","5076","1972","06","27",NA,"Brasil","Minas Gerais","Estrada da Represa, Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Arbusto 1 m, flor? fruto.","RFA44272",NA,"Santana do Riacho",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
