"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","preparationType","individualCount","relatedCatalogItem"
"1","2020-02-08 10:18:41-03","NBC","NL-BOTANY","L.1278308","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Hatschbach GG","1966","10","16","Southern America","Brazil","Paraná (Brasil). União da Vitória. Estr. para Pórto Vitória.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1278308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1278308","NL-L1278308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:18:41-03","NBC","NL-BOTANY","L.1278309","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Reitz R; Klein RM","1962","10","26","Southern America","Brazil","Santa Catarina. Valões.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1278309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1278309","NL-L1278309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:18:41-03","NBC","NL-BOTANY","L.1278306","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Klein RM","1962","12","10","Southern America","Brazil","Santa Catarina. Valões.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1278306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1278306","NL-L1278306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:18:41-03","NBC","NL-BOTANY","L.1278307","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Reitz R; Klein RM","1962","12","19","Southern America","Brazil","Santa Catarina. Campo do Areão, Santa Cecilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1278307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1278307","NL-L1278307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:18:36-03","ESALQ","ESA","53364","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Canastra","aristella","Canastra aristella","(Döll) Zuloaga & Morrone","Lucas, E.J. et al.","2006","11","16",NA,"Brasil",NA,NA,"ESA053364",NA,"Magnoliophyta","Rodrigues, R.B.","2019","06","26","364.0","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:18:45-03","ESALQ","ESA","35761","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","aristellum","Panicum aristellum","Döll","Souza, J.P. et al.","1996","12","13",NA,"Brasil",NA,NA,"ESA035761",NA,"Magnoliophyta","Guglieri, A.",NA,NA,NA,"849.0","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:18:45-03","ESALQ","ESA","34253","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","aristellum","Panicum aristellum","Döll","Souza, J.P. et al.","1996","12","15",NA,"Brasil",NA,NA,"ESA034253",NA,"Magnoliophyta","Guglieri, A.",NA,NA,NA,"933.0","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:00-03","IAP","PACA-AGP","66177","PreservedSpecimen","Plantae","Liliatae","Cyperales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Reitz, R.","1962","11","26",NA,"Brasil",NA,"conf. E. Cavalheiro, 09.02.1989; A. Guglieri 02.2000 Habitat: banhado do campo","PACA066177",NA,"Magnoliophyta","J.R. Swallen","1964",NA,NA,"13571","SC","Valões",NA,NA,NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:00-03","IAP","PACA-AGP","9731","PreservedSpecimen","Plantae","Liliatae","Cyperales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Rambo, B.","1942","01","29",NA,"Brasil",NA,"conf. A. Guglieri 02.2000 Habitat: in campestribus dumetosis Fenofase: fruto","PACA009731",NA,"Magnoliophyta","J.R. Swallen",NA,NA,NA,NA,"RS","Tupanciretã","-53.8358001708984","-29.0806007385254","59498","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:00-03","IAP","PACA-AGP","66170","PreservedSpecimen","Plantae","Liliatae","Cyperales","Gramineae","Panicum","aristellum","Panicum aristellum","Döll","Reitz, R.","1962","12","19",NA,"Brasil","Campo do Areão","conf. E. Cavalheiro 09.02.1989, A. Guglieri 02.2000 Habitat: banhado do campo","PACA066170",NA,"Magnoliophyta","J.R. Swallen","1964",NA,NA,"14150","SC","Santa Cecília","-50.4268989562988","-26.9608001708984","37034","auto","1100","1100",NA,NA,NA,NA,NA,NA,NA
