"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1281368","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda","subnuda","Inga subnuda subnuda","Salzm. ex Benth.","A. Peixoto","3046","1985","01","31","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD; Estrada 243","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281368","NY01281368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1034315","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm. ex Benth.","A. C. Cervi","CA7189","1994","11","01","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250469' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034315","NY01034315_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198002","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm. ex Benth.","M. M. M. Lopes","821","2006","06","06","South America","Brazil","Bahia",NA,"Camacã. RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. Trilha do mirante, até a Torre.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1318162' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198002","NY01198002_01","T. D. Pennington","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1034317","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm. ex Benth.","A. C. Cervi","CA7195","1994","11","15","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034317","NY01034317_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418759","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm. ex Benth.","J. G. Jardim","1125","1997","09","28","South America","Brazil","Bahia","Salvador","Area de parque da cidade","-38.5108","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418759","NY00418759_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03687200","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda","subnuda","Inga subnuda subnuda","Salzm. ex Benth.","L. Nusbaumer","4240","2014","10","28","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.448663","-9.235523","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952273' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687200","NY03687200_01","R. E. Spichiger","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03474783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda","luschnathiana","Inga subnuda luschnathiana","(Benth.) T.D.Penn.","L. Nusbaumer","4146","2014","10","14","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.434912","-9.246823","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952189' target='other'> <mi>dwc_moreinfo</mi></a>","NY03474783","NY03474783_01","R. E. Spichiger","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1198326","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm.","M. R. de V. Barbosa","2770","2003","03","03","South America","Brazil","Paraíba","Rio Tinto","Rio Tinto, Mata do Oiteiro.","-34.9216667","-6.8380556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198326","NY01198326_01","T. D. Pennington","53","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413930","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda","luschnathiana","Inga subnuda luschnathiana","(Benth.) T.D.Penn.","G. G. Hatschbach","15587","1967","01","02","South America","Brazil","Paraná","Paranaguá","Pontal do Sul","-48.365093","-25.575152","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413930","NY00413930_01","C. Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02098980","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda","subnuda","Inga subnuda subnuda","Salzm. ex Benth.","L.A. Gomes","14","2011","02","21","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto, Interior da mata.","-37.4186","-11.3925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2256701' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098980","NY02098980_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02686657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm.","Collector unspecified","57",NA,NA,NA,"South America","Brazil",NA,NA,"ad Barra mança prov. Sebastianop.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2951569' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686657","NY02686657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","418756","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","subnuda",NA,"Inga subnuda","Salzm. ex Benth.","W. W. Thomas","8917","1992","01","29","South America","Brazil","Bahia","Ilhéus","Along road from Olivença to Maruim, 5.4km SW of Olivença","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418756","NY00418756_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
