"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","order","individualCount","relatedCatalogItem","phylum"
"1","2020-09-23 10:39:32-03","E","E","158180","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:177483","<a href=http://data.rbge.org.uk/herb/E00158180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00158180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:15-03","JBP","HPL","3086","S","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,NA,NA,"Nichols","H. Lorenzi","2000","11","05","H. Lorenzi","2427","2000","11","05","SP","Nova Odessa","Coletada no Instituto Plantarum, viveiro de mudas.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:15-03","JBP","HPL","3087","S","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,NA,NA,"Nichols","R. Tsuji","2000","11","15","E.R. Salviani & H. Lorenzi","1784","2000","11","15","SC","São Miguel do Oeste","Coletada quase na divisa com a Argentina, porém cultivada no Instituto Plantarum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:15-03","JBP","HPL","3085","S","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,NA,NA,"Nichols","H. Lorenzi","2000","11","16","E.R. Salviani & H. Lorenzi","1788","2000","11","16","SP","Nova Odessa","Coletada no Instituto Plantarum.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-16 08:39:34-03","UTFPR","HCF","13342","S","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,"erva rupícola, semi-ciófila, ca. 0,20 m. Flores amarelo-claras. Em paredão rochoso. Apenas 11 indivíduos no local.",NA,"(Seem.) G.Nicholson","A. Chautems","2014","02","17","M.G. Caxambu","5023","2014","02","12","PR","Iretama","vegetação ciliar do Rio Muquilão","-52.043","-24.407722",NA,NA,"52°02'34,8 W","24°24'27,8 S","456","456",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:29:09-03","MBM","MBM","82633","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","Southern America","Brazil",NA,NA,NA,"MBM082633","(Seem.) Nichols","Chautems, A.",NA,NA,NA,"Hatschbach, G.","46004",NA,NA,NA,"Paraná","Iretama","Rio Muquilão","-52.1058006286621","-24.423900604248","27581","auto",NA,NA,NA,NA,"MBM082633",NA,NA,NA,NA,NA
"7","2020-12-21 16:29:09-03","MBM","MBM","167741","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","Southern America","Brazil",NA,NA,NA,"MBM167741","(Seem.) Nichols","Chautems, A.",NA,NA,NA,"Hatschbach, G.; Noblick, L.R.; Noblick, L.R.","57077",NA,NA,NA,"Paraná","Iretama","Rio Muquilão","-52.1058006286621","-24.423900604248","27581","auto",NA,NA,NA,NA,"MBM167741",NA,NA,NA,NA,NA
"8","2020-12-21 16:29:09-03","MBM","MBM","32771","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","Southern America","Brazil",NA,NA,NA,"MBM032771","(Seem.) Nichols","Chautems, A.",NA,NA,NA,"Kummrow, R.","531",NA,NA,NA,"Paraná","Jacarezinho","Riacho da Fartura","-49.9693984985352","-23.1606006622314","22883","auto",NA,NA,NA,NA,"MBM032771",NA,NA,NA,NA,NA
"9","2021-02-11 17:19:09-03","UFPR","UPCB","97011","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,"Herbácea, com tubérculo alongado. Hastes e folhas lanosas, verde-escuras, cruzadas. Flores amarelo-creme com hachuras vináceas na garganta.","UPCB0046869","(Seem.) G. Nicholson","Poliquesi, C. B.","2013","03",NA,"Stefanello, C. A.","04","2021","01","28","Paraná","Iretama","PR 487","-52.094","-24.3913",NA,NA,"-52.0940","-24.3913","595","595",NA,NA,NA,NA,NA,NA
"10","2009-07-21 23:34:00-03","MO","MOBOT","2458995","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America","Brazil",NA,NA,NA,NA,"(Seem.) G. Nicholson",NA,NA,NA,NA,"Per Dusén","Dusén 16543",NA,NA,NA,"Paraná",NA,"Morungava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","3061771","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America","Brazil",NA,NA,NA,NA,"(Seem.) G. Nicholson","A. Chautems",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 46004","1983","1","13","Paraná",NA,"rio Muquilão (mun. Iretama)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","2691939","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America","Brazil",NA,NA,NA,"US00320643","(Seem.) G. Nicholson",NA,NA,NA,NA,"L. B. Smith & R. M. Klein","14168","1964","12","19","Santa Catarina",NA,"Mun. of Sao Miguel D'Oeste, above Rio Peperiguacu, Peperi",NA,NA,NA,NA,NA,NA,"300","600","US00320643_01","Dicotyledonae","Scrophulariales","1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","3587391","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America - Neotropics","Colombia",NA,NA,NA,"US00993442","(Seem.) G. Nicholson",NA,NA,NA,NA,"L. E. Skog & J. K. Boggan","7799","1997","8","11",NA,NA,"Smithsonian Institution Dept. of Botany Research Greenhouses, Suitland, Maryland, U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,"US00993442_01","Dicotyledonae","Scrophulariales","1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","3348934","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America - Neotropics","Brazil",NA,NA,NA,"US00590890","(Seem.) G. Nicholson",NA,NA,NA,NA,"L. E. Skog","7691","1995","5","10",NA,NA,"Grown in the Smithsonian's Dept. of Botany greenhouses, Suitland, Maryland, U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,"US00590890_01","Dicotyledonae","Scrophulariales","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","3065984","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America","Brazil",NA,NA,NA,"US00422973","(Seem.) G. Nicholson",NA,NA,NA,NA,"G. Hatschbach","46004","1983","1","13","Paraná",NA,"Curitiba, Rio Muquilao",NA,NA,NA,NA,NA,NA,NA,NA,"US00422973_01","Dicotyledonae","Scrophulariales","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2691940","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","South America","Brazil",NA,NA,NA,"US00320644","(Seem.) G. Nicholson",NA,NA,NA,NA,"L. B. Smith & R. M. Klein","14168","1964","12","19","Santa Catarina",NA,"Mun. of Sao Miguel D'Oeste, above Rio Peperiguacu, Peperi",NA,NA,NA,NA,NA,NA,"300","600","US00320644_01","Dicotyledonae","Scrophulariales","1",NA,NA
"17","2019-12-09 17:30:02-03","UFPR","EFC","12839","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,"erva rupícola, ca. 020m. Flores amarelo-claras. Em paredão rochoso, apenas 11 indivíduos no local.","EFC012839","(Seem.) G.Nicholson","Chautems, A.","2014","02","17","Caxambu, M.G.","5023","2014","02","12","Paraná","Iretama","Vegetação ciliar do Rio Muquilão","-52.0234","-24.2427",NA,NA,"-52.0234","-24.2427","456","456",NA,NA,NA,NA,NA,NA
"18","2020-07-23 12:08:41-03","CEPLAC","CEPEC","33017","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua",NA,"Brasil",NA,NA,NA,NA,NA,"A. Chautems",NA,NA,NA,"G. Hatschbach","46004","1983","01","13","Paraná","iretama","Ao longo do Rio Muquilão.","-52.1058006286621","-24.423900604248","27581","auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/01/1990",NA
"19","2019-11-01 15:01:24-03","UnB","UB","148226","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","conspicua","Sinningia conspicua","Southern America","Brasil",NA,NA,"Flor creme esverdeada,máculas,nervuras e parte inferior vinosos.; Paredões rochosos,úmidos e sombrios.",NA,"(Seem.) Nichols.","Chautems, A","1994",NA,NA,"Hatschbach, G","57077","1992","06","17","Paraná ","Iretama","Rio Muquilão.","-52.1058006286621","-24.423900604248","27581","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
