"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","individualCount","coordinatePrecision","geoFlag","continentOcean","preparationType","typeStatus","class","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","11402","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","T.J. Cadorin","2010","05","06","T.J. Cadorin; H.F. Uller & C.P.L. Oliveira","1985","2010","05","06","Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","576","576","Floresta Ombrófila Densa Habito: epífita de arbórea","CRI006372","CRI006372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","11218","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","J. L. Schimitt","2010","04","30","J.L. Schmitt; E. Caglioni, S. Andrade & C. Cristofolini","2135","2010","04","30","Brasil","Santa Catarina","Jacinto Machado","Interior do Cânion Fortaleza (Tigre Preto).","-49.945278","-29.045278","49º56'43''W","29º2'43''S","295","295","Floresta Ombrófila Densa Habito: epífita de arbórea","CRI006373","CRI006373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:06-03","UNESC","CRI","11936","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","T.J. Cadorin","2010","05","29","T.J. Cadorin; B. Grosch & C.P. Lopes","2464","2010","05","29","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epifítica","CRI008732","CRI008732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","12194","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","Cadorin, TJ","2010","07","06","Cadorin, TJ; Grosch. B & Lopes, CP","2872","2010","07","06","Brasil","Santa Catarina","Joinville","Cubatão.","-49.05","-26.1","49º3'W","26º6'S","116","116","Doação Herbário Furb ( 28453) Habito: Epífita","CRI010372","CRI010372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1349","S","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3520","S","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","Nygel Taylor",NA,NA,NA,NA,NA,"2007","11",NA,"Brasil","São Paulo","Jundiaí","Serra do Japi","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","1","17840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 14:51:00-03","NY","NYBG","645369","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"R. M. Klein","2068","1956","05","24","Brazil","Santa Catarina","Luiz Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645369","NY00645369_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 14:51:00-03","NY","NYBG","645366","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"R. Reitz","2929","1956","03","29","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645366","NY00645366_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 14:51:00-03","NY","NYBG","645382","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"R. Reitz","7779","1950","01",NA,"Brazil","Santa Catarina","Chapecó",NA,"-52.6181","-27.0967",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645382","NY00645382_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645367","PreservedSpecimen","Plantae","Cactaceae","Lepismium","houlletianum","Lepismium houlletianum","(Lem.) Barthlott","N. P. Taylor; D. C. Zappi",NA,NA,NA,"Collector unspecified","45402",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Cultivated from origianl collection by Löfgren by Shafer in 1917 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=123909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645367","NY00645367_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
