"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","barcode","imagecode","year","month","day","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","yearIdentified","monthIdentified","continentOcean","occurrenceRemarks","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-27 20:28:30-03","PUCPR","HUCP","21455","S","Plantae","Monocotiledonea","Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase.","Kersten, RA; Ariati, V","Ariati, V; Silva, JM","404","Brasil","Paraná","São Mateus de Sul","HUCP00002479","HUCP00002479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-27 20:28:30-03","PUCPR","HUCP","19062-A","S","Plantae","Monocotiledonea","Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase.","Kersten, RA","Kersten, RA","1178","Brasil","Paraná","Morretes",NA,NA,"2007","06","20","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-27 20:28:30-03","PUCPR","HUCP","17502","S","Plantae","Monocotiledonea","Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase.","Kersten, RA","Kersten, RA","1094","Brasil","Paraná","Piraquara","HUCP00003353","HUCP00003353","2006","05","24","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:31-03","PUCPR","HUCP","25248","S","Plantae","Monocotiledonea","Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase.",NA,"Oliveira, LRL","s.n.","Brasil","Santa Catarina","Corupá","HUCP00025248","HUCP00025248","2016","05","14","-49.2430992126465","-26.4253005981445","23917","auto","Orquidário Seidel",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:13-03","MBM","MBM","390812","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase","Ariati, V.","Ariati, V.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.","1001","Brazil","Rio Grande do Sul","São José dos Ausentes","MBM390812","MBM390812","2014","03",NA,"-50.0657997131348","-28.7483005523682","42598","auto",NA,"2014","05","Southern America","Epífita, flor vinho.; Floresta Ombrófila Mista.",NA,NA,NA
"6","2020-12-21 16:38:13-03","MBM","MBM","390797","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","langeana","Acianthera langeana","(Kraenzl.) Pridgeon & M.W. Chase","Ariati, V.","Ariati, V.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.","986","Brazil","Santa Catarina","São Joaquim","MBM390797","MBM390797","2014","03","10","-49.9317016601562","-28.2938995361328","48290","auto",NA,"2014","05","Southern America","Epífita, flor vinho.; Floresta Ombrófila Mista.",NA,NA,NA
"7","2020-12-21 16:38:21-03","MBM","MBM","49122","PreservedSpecimen","Plantae",NA,"Orchidaceae","Cryptophoranthus","dusenii","Cryptophoranthus dusenii","Schltr.","Hoehne, F.C.","Hatschbach, G.","2306","Brazil","Paraná","São José dos Pinhais","MBM049122","MBM049122","1951","06","24","-49.2064018249512","-25.5347003936768","45291","auto","Mandirituba",NA,NA,"Southern America",NA,NA,NA,NA
"8","2021-02-11 17:20:51-03","UFPR","UPCB","55467","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","langeana","Acianthera langeana"," (Kraenzl.) Pridgeon & M.W.Chase","Kersten, R.","Kersten, R.","1053","Brasil","Paraná","Araucária",NA,NA,"2005","03","20","-49.4103012084961","-25.5930995941162","21346","auto",NA,NA,NA,NA,"Epífita, flor criptica, vinosa escura, ápice das pétalas fundido. Floresta ombrófila mista ribeirinha primária..",NA,NA,NA
"9","2021-02-11 17:20:51-03","UFPR","UPCB","59882","PreservedSpecimen","Plantae",NA,"Orchidaceae","Acianthera","langeana","Acianthera langeana"," (Kraenzl.) Pridgeon & M.W.Chase","Kersten, R.","Kersten, R.","849","Brasil","Paraná","Araucária",NA,NA,"2004","04","22","-49.4103012084961","-25.5930995941162","21346","auto","Guajuvira de Cima","2004","04",NA,"Epífita em floresta ombrófila mista primária alterada..","22",NA,NA
"10","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","22856",NA,"Plantae",NA,"Orchidaceae","Cryptophoranthus","langeanus","Cryptophoranthus langeanus","(Krzl.) Garay","L. Kollmann/23-05-1988","A. Ruschi",NA,"Brasil","Espírito Santo","Santa Teresa","MBML022856",NA,"1948","04","13","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,"Somente em álcool.",NA,NA,NA
