"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","fieldNumber","preparationType","class","order","individualCount","typeStatus"
"1","2021-04-08 17:37:18-03","EAO","IAN","621","PreservedSpecimen","Plantae","Dicotiledônea","Begoniaceae","Begonia","paulensis","Begonia paulensis","DC.","Saint-Hilaire","s.n.","Southern America","Brasil","IAN000621","IAN000621_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:55:22-03","JBP","HPL","1963","S","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","H. Lorenzi","3297",NA,"Brasil",NA,NA,"E.L. Jacques","2011","10","10","2002","05","07","MG","Delfim Moreira","Na estrada para São Francisco dos Campos do Jordão, a 3,5km da rodovia que liga Piquete a Itajuba.","-45.255944","-22.576444","45° 15' 21,4 W","22° 34' 35,2 S","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:26:18-03","UNICAMP","UEC","73638","S","Plantae","Magnoliopsida","Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Shepherd, GJ; Goldenberg, R","95-33",NA,"Brazil","UEC041954","UEC041954","Jacques, EL","1997","11","11","1995","04","05","São Paulo","Cruzeiro","Estrada da Faz. Boa Vista.","-45.033333","-22.483889","-45.033333","-22.483889","950","950","Floresta em grota. Erva com 60 cm; flores femininas e masculins na mesma planta, flores masculinas com pétalas brancas recobertas externamente por indumento simples, vinoso, flores femininas com pétalas brancas e ovário com ala petalói",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:26:18-03","UNICAMP","UEC","88837","S","Plantae","Magnoliopsida","Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Shepherd, GJ; Goldenberg, R","95-33",NA,"Brazil","UEC041956","UEC041956","Jacques, EL","1997","11","11","1995","04","05","São Paulo","Cruzeiro","Estrada da Faz. Boa Vista.","-45.033333","-22.483889","-45.033333","-22.483889","950","950","Floresta em grota. Erva com 60 cm; flores femininas e masculins na mesma planta, flores masculinas com pétalas brancas recobertas externamente por indumento simples, vinoso, flores femininas com pétalas brancas e ovário com ala petalói",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:26:18-03","UNICAMP","UEC","90813","S","Plantae","Magnoliopsida","Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Shepherd, GJ; Goldenberg, R","95-33",NA,"Brazil","UEC041953","UEC041953","Jacques, EL","1997","11","11","1995","04","05","São Paulo","Cruzeiro","Estrada da Faz. Boa Vista.","-45.033333","-22.483889","-45.033333","-22.483889","950","950","Floresta em grota. Erva com 60 cm; flores femininas e masculins na mesma planta, flores masculinas com pétalas brancas recobertas externamente por indumento simples, vinoso, flores femininas com pétalas brancas e ovário com ala petalói",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:29:43-03","UFRRJ","RBR","35189","S","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","H. Lorenzi","3297",NA,"Brasil","RBR00035189",NA,"E.L. Jacques","2017","11","14","2002","05","07","Minas Gerais","Delfim Moreira","Na estrada para São Francisco dos Campos do Jordão, a 3,5km da rodovia que liga Piquete a Itajuba. S 22° 34#?# 35,2' W 45° 15#?# 21,4' 1650m. s. m.","-45.2799987792969","-22.5091991424561",NA,NA,NA,NA,NA,"20219","auto",NA,NA,NA,NA,NA,NA
"7","2015-09-05 11:02:43-03","MNHN","RECOLNAT_MNHN_P","P05495338","PreservedSpecimen",NA,NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Saint-Hilaire, A.",NA,NA,"Brasil","P05495338","P05495338_01",NA,NA,NA,NA,"1816","1","1","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05495338' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"D 590","hb",NA,NA,NA,NA
"8","2015-09-05 11:05:31-03","MNHN","RECOLNAT_MNHN_P","P05587365","PreservedSpecimen",NA,NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Saint-Hilaire, A.",NA,NA,"Brasil","P05587365","P05587365_01",NA,NA,NA,NA,"1816","1","1","São Paulo",NA,"Brésil - Province de Saint-Paul.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587365' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"D 590","hb",NA,NA,NA,NA
"9","2015-09-05 11:05:31-03","MNHN","RECOLNAT_MNHN_P","P05587366","PreservedSpecimen",NA,NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Saint-Hilaire, A.",NA,NA,"Brasil","P05587366","P05587366_01",NA,NA,NA,NA,"1816","1","1","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587366' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"D 590","hb",NA,NA,NA,NA
"10","2015-09-05 11:05:31-03","MNHN","RECOLNAT_MNHN_P","P05587367","PreservedSpecimen",NA,NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Glaziou, A.",NA,NA,"Brasil","P05587367","P05587367_01",NA,NA,NA,NA,"1869","3","6","Rio de Janeiro","Petrópolis","Brésil (Rio Janeiro) Serra da Estrella à Mandioca.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05587367' target='other'> <mi>dwc_moreinfo</mi></a>","36524","auto","3099","hb",NA,NA,NA,NA
"11","2015-09-05 11:02:43-03","MNHN","RECOLNAT_MNHN_P","P05495337","PreservedSpecimen",NA,NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Glaziou, A.",NA,NA,"Brasil","P05495337","P05495337_01",NA,NA,NA,NA,"1869","1","1","Rio de Janeiro","Petrópolis","Serra da Estrella sur les rochas à Mandioca.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05495337' target='other'> <mi>dwc_moreinfo</mi></a>","36524","auto","3099","hb",NA,NA,NA,NA
"12","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","49110",NA,"Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","L. Kollmann","13013",NA,"Brasil","MBML049110","MBML049110","L. Kollmann",NA,NA,NA,"2015","07","02","Espírito Santo","Santa Teresa","coleção L.Kollmann","-40.587778","-19.940556","40W35'16","19S56'26",NA,NA,"Planta estéril. Proveniencia Conservatoire du Begonia França.",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","1985380","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis",NA,"A. C. Brade","17450","South America - Neotropics","Brazil","US00313578","US00313578_01",NA,NA,NA,NA,"1945","2","15","Rio de Janeiro",NA,"Serra do itatiaia",NA,NA,NA,NA,"1000","1000",NA,NA,NA,NA,NA,"Dicotyledonae","Violales","1",NA
"14","2019-09-04 19:04:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Begoniaceae","Begonia","paulensis","Begonia paulensis",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]"
"15","2019-09-04 19:04:54-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Begoniaceae","Begonia","paulensis","Begonia paulensis",NA,"A. Saint-Hilaire","590","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]"
"16","2017-09-11 17:08:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Saint-Hilaire, AFCP","590","Southern America","Brazil",NA,"P04P1N0091",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. S. Pauli",NA,NA,NA,NA,NA,NA,"in hb. Mus. Par.",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:01:49-03","IBt","SP","17618","S","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Hoehne, FC; Gehrt, A","s.n.",NA,"Brasil",NA,NA,"Irmscher, E","1950",NA,NA,"1926","04","29","São Paulo","São José do Barreiro","Mata dos Viveiros, Bocaína","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:01:49-03","IBt","SP","20657","S","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Hoehne, FC","s.n.",NA,"Brasil",NA,NA,"Irmscher, E","1951","11","08","1932","02","26","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:01:49-03","IBt","SP","8769","S","Plantae",NA,"Begoniaceae","Begonia","paulensis","Begonia paulensis","A.DC.","Loefgren, A","CGG2515",NA,"Brasil","SP022639","SP022639","Irmscher, E","1950",NA,NA,"1894","03","15","São Paulo","Sorocaba","Cultivada","-47.4500007629395","-23.5",NA,NA,NA,NA,NA,"17154","auto",NA,NA,NA,NA,NA,NA
