"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","continentOcean","country","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0105447","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Zappi DC; Taylor NP","1991","10","01","holotype","Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200105447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0105447","NL-U0105447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0252770","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Zappi DC; Taylor NP","1991","10","01",NA,"Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0252770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U.1601755","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Zappi DC; Taylor NP","1991","10","01",NA,"Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1601755 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1601755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U.1601765","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Zappi DC; Taylor NP","1991","10","01",NA,"Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1601765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1601765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:35:50-02","IPA","IPA","45466","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F. Ritter","Zappi, D.C.","1999","12",NA,NA,"Andrade-Lima","Southern America","Brasil",NA,"IPA0045466",NA,"Plantae","75-8193","1975","07","17","Bahia","Bom Jesus da Lapa","Fazenda Serra Solta","-43.418098449707","-13.2550001144409","66899","auto",NA,NA,NA,NA,NA
"6","2019-02-15 11:35:50-02","IPA","IPA","45467","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F. Ritter","Taylor, N.P.; Zappi, D.C.","1990","02","19",NA,"Andrade-Lima","Southern America","Brasil",NA,"IPA0045467",NA,"Plantae","75-8193","1975","07","17","Bahia","Bom Jesus da Lapa","Fazenda Serra Solta","-43.418098449707","-13.2550001144409","66899","auto",NA,NA,NA,NA,NA
"7","2021-03-01 16:27:13-03","UNICAMP","UEC","114977","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Aona, LYS",NA,NA,NA,NA,"Aona, LYS; Belinello, R",NA,"Brazil","2,5 m de altura. Não ramificados na base, espinhos longos na base, aréola 0,5 cm. Indivíduos jovens glaucos, indivíduos adultos verdes, flores fechadas às 11:00 h, salmão pálido, cultivo.; Afloramento entre caatinga.","UEC041155","UEC041155","Magnoliopsida","734","2000","08","20","Bahia","Porto Velho","Porto Velho, estrada de terra em direção a Santana.","-43.934444","-13.2375",NA,NA,"-43.934444","-13.2375","400","400",NA
"8","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13976","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter",NA,NA,NA,NA,NA,"Taylor, N. P.",NA,"Brasil","Most plants c. 1 m tall, slender-clavate with relatively narrow base, solitaty and only offsetting after injury; cephalia short, only rarely longer than 20 cm; epidermis bright blue, esp in young plan",NA,NA,NA,"1431","1991","01","16","Bahia","Santana",NA,"-44.0511016845703","-12.9833002090454","49190","auto",NA,NA,"460","460",NA
"9","2020-07-23 12:01:19-03","CEPLAC","CEPEC","50886","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus",NA,"N. P. Taylor",NA,NA,NA,NA,"N. P. Taylor",NA,"Brasil",NA,NA,NA,NA,"1431","1991","01","16","Bahia","santana","Ca. 30Km cidade, estrada velha p/ Porto Novo. (Rod. Santana/Sta. Maria da Vitória, c.a 6Km de Santana).","-44.0511016845703","-12.9833002090454","49190","auto",NA,NA,NA,NA,"30/12/1995"
"10","2020-05-15 18:44:52-03","UFMT","UFMT","24569","S","Plantae",NA,NA,"Cactaceae","Micranthocereus","dolichospermaticus","Micranthocereus dolichospermaticus","(Buining & Brederoo) F.Ritter","Santos, M.R.",NA,NA,NA,NA,"Andrade; Lima",NA,"Brasil",NA,"UFMT00024569",NA,NA,"758193","1975","07","17","Bahia","Bom Jesus da Lapa","Fazenda Serra Solta.","-43.418098449707","-13.2550001144409","66899","auto",NA,NA,NA,NA,NA
