"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:39:40-03","E","E","293805","PreservedSpecimen","Plantae","Gramineae","Mesosetum","ferrugineum","Mesosetum ferrugineum","Stannard, B.L.","1992","01","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308636","<a href=http://data.rbge.org.uk/herb/E00293805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:40-03","E","E","293804","PreservedSpecimen","Plantae","Gramineae","Mesosetum","ferrugineum","Mesosetum ferrugineum","Pirani, J.R.; Campos, M.T.V.A.; Nunes, J.V.C.; Parra, L.R.","1992","02","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308635","<a href=http://data.rbge.org.uk/herb/E00293804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:40-03","E","E","312554","PreservedSpecimen","Plantae","Gramineae","Mesosetum","ferrugineum","Mesosetum ferrugineum","Harley, R.M.; Giulietti, A.M.;Nic Lughadha, E; Freire Fierro, A.","1992","01","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313516","<a href=http://data.rbge.org.uk/herb/E00312554 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312554","50756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02714967","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","A. M. V. de Carvalho",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572232' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714967","6427","Magnoliophyta","Poales","(Trin.) Chase","R. P. de Oliveira","Bahia","Rio de Contas","Ca. 1 km antes do Distrito de Mato Grasso","-41.8114","-13.5792","NY02714967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","651161","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","P. K. H. Dusén","1910","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651161","10610","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","NY00651161_01","ferrugineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","884686","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","W. Ganev","1993","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884686","2684","Magnoliophyta","Poales","(Trin.) Chase","S. A. Renvoize","Bahia","Abaíra","Bicota, entre garimpo novo e Bicota.","-41.85","-13.33","NY00884686_01",NA,"1300","1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 13:06:00-02","NY","NYBG","651158","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","J. R. Pirani","1992","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651158","H51299","Magnoliophyta","Poales",NA,"S. A. Renvoize","Bahia","Abaíra","Cachoeira das Arráguas","-41.88","-13.27","NY00651158_01",NA,"1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","884683","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","R. M. Harley","1992","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884683","51299","Magnoliophyta","Poales","(Trin.) Chase","S. A. Renvoize","Bahia","Abaíra","Cachoeira das Anáguas.","-41.88","-13.27","NY00884683_01",NA,"1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00863257","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","M. A. Chase","1929","12","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863257","10427","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Minas Gerais","Diamantina","5-10 km. west of Diamantina, Serra de San Antonio","-43.6003","-18.2494","NY00863257_01","ferrugineum","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00863255","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","R. Goodland","1965","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863255","241","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Minas Gerais","Paraopeba","Paraopeba","-44.4042","-19.2744","NY00863255_01","ferrugineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-10-28 17:47:00-02","NY","NYBG","00863259","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","A. F. M. Glaziou","1893","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863259","20558","Magnoliophyta","Poales",NA,"E. J. Judziewicz",NA,NA,"Santa Luzia",NA,NA,"NY00863259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","651162","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","H. S. Irwin","1965","11","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651162","9811","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Goiás","Cristalina","Serra dos Cristais. 6 km. S. of Cristalina.","-48","-17","NY00651162_01","ferrugineum","1125","1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","651159","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","H. S. Irwin","1965","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651159","9377","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 12 km. N.W. of Veadeiros","-47","-14","NY00651159_01",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","884685","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","R. M. Harley","1992","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884685","51435","Magnoliophyta","Poales","(Trin.) Chase","S. A. Renvoize","Bahia","Abaíra","Base de encosta da Serra da Tromba. Serra da Tromba.","-41.8","-13.28","NY00884685_01",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00863258","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","J. E. B. Warming",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863258","s.n.","Magnoliophyta","Poales","(Trin.) Chase","E. J. Judziewicz","Minas Gerais","Lagoa Santa","Ad Lagoa Santa","-43.8894","-19.6272","NY00863258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","884684","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","R. M. Harley","1992","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884684","50756","Magnoliophyta","Poales","(Trin.) Chase","S. A. Renvoize","Bahia","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25","NY00884684_01",NA,"1600","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00863279","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","R. Goodland","1965","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863279","214","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Minas Gerais","Paraopeba","Paraopeba","-44.4042","-19.2744","NY00863279_01","ferrugineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00863282","PreservedSpecimen","Plantae","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum ferrugineum","T. de S. Filgueiras","1985","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863282","1180","Magnoliophyta","Poales","(Trin.) Chase","T. de S. Filgueiras","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797","NY00863282_01","ferrugineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
