"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","locality","decimalLongitude","decimalLatitude","typeStatus","county","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","eventTime","fieldNumber","coordinatePrecision","geoFlag","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","previousCatalogNumber","sex","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01174203","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.","A. Cronquist","B. A. Krukoff","8254","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391383' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174203","NY01174203_01 NY01174203_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01174200","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"E. Lleras","P16936","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391381' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174200","NY01174200_01","1973","07","30","Rio Javari, Seringal Palmeira","-72.8117904","-5.1372258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","273405","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"B. A. Krukoff","5593","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273405","NY00273405_01","1933","08","21","Near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.33","type","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01174196","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.","T. D. Pennington","G. T. Prance","23804","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174196","NY01174196_01","1976","10","15","Paumari. Rio Javari. Seven hours above Paumari.","-70.30503","-4.2873106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","273406","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"B. A. Krukoff","5593","South America","Brazil","Acre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273406","NY00273406_01 NY00273406_02","1933","08","21","Near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.33","type","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01174199","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"E. Lleras","P16903","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391380' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174199","NY01174199_01","1973","07","28","Forte Veneza, Rio Javari","-71.9616938","-4.6077301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U 0006565","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.","Pennington TD","Krukoff BA",NA,"Southern America","Brazil","Acre",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006565","NL-U0006565","1933","08","21","Basin of Rio PurusTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333","isotype",NA,"Magnoliopsidae","-69.0","-9.333333","28832 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U 0006566","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.","Pennington TD","Krukoff BA",NA,"Southern America","Brazil","Acre",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006566 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006566",NA,"1933","08","21","Basin of Rio PurusTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,NA,"Magnoliopsidae","-69.0","-9.333333","20057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U.1592427","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Prance GT; Hill RJ; Pennington TD; Ramos JM",NA,"Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592427","NL-U1592427","1976","10","15","Peruvian Amazonia. Department of Loreto. Rio Javari. Seven hours above Paumari.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U.1596304","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Lleras E; et al.",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1596304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1596304","NL-U1596304","1973","07","30","Plants of Brazilian Amazonia, Estado do Amazonas, Rio Solimoes and Rio Javari, Seringal Palmeira, Varzea.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:03:52-03","NBC","NL-BOTANY","U.1596305","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Krukoff BA",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1596305 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1596305","NL-U1596305","1936","09","11","Basin of Rio Solimoes, Terra firma, High land, State of Amazonas, Municipality São Paulo de Olivenca near Palmares.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2014-10-14 15:56:32-03","BS","M","M-0174558","S","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Krukoff, B.A.",NA,NA,"Brasil",NA,NA,NA,"M0174558",NA,"1933","08","20","Basin of Rio Purus. Territory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco) lat. 9° 20` S., long. 69° W.",NA,NA,"ISOTYPE",NA,"Magnoliopsida",NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 16:07:52-03","MNHN","RECOLNAT_MNHN_P","P04550172","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Krukoff, B.A.",NA,NA,"Brasil","Amazonas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04550172' target='other'> <mi>dwc_moreinfo</mi></a>","P04550172","P04550172_01","1936","9","11","Near Palmares","-68.8724975585938","-3.37832999229431",NA,"São Paulo de Olivença",NA,NA,NA,NA,NA,"8254","362329","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:41:26-03","UFMG","BHCB","141715","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C.Sm.",NA,"Vidal, CV","701","Southern America","Brasil","Pará",NA,"Árvore, no interior de floresta ombrófila densa; Árvore, no interior da floresta ombrófila densa","BHCB004710",NA,"2009","07","09","Floresta Nacional de Carajás","-51.637269","-6.130478",NA,"Parauapebas",NA,"-51.637269","-6.130478",NA,NA,NA,NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1132503","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C. Sm.","T.D. Pennington (K)","José Campos de la Cruz|et al.","Campos de la Cruz 3216","South America","Peru","Cajamarca",NA,NA,NA,NA,"1996","12","20","Distrito Namballe: La Vega del Toro-Margen Derecha del Río Canchis, Límite Fronterizo con El Ecuador. Bosque primario.","-79.1","-4.98333",NA,"San Ignacio",NA,NA,NA,NA,NA,"7",NA,NA,NA,"750.00000000","850.00000000","8",NA,NA,NA,NA
"16","2013-07-16 05:42:00-03","MO","MOBOT","1140200","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","acreanum","Chrysophyllum acreanum","A.C. Sm.","T.D. Pennington (K)","José Campos de la Cruz|G. Pezantes|Luis Campos","Campos de la Cruz 3332","South America","Peru","Cajamarca",NA,NA,NA,NA,"1997","1","13","Distrito Namballe: Las Juntas de Namball (naciente del Chimchipe por Union de Los Ríos Mayo y Canthis).","-79.01666","-5.125",NA,"San Ignacio",NA,NA,NA,NA,NA,"12",NA,NA,NA,"750.00000000",NA,"9",NA,NA,NA,NA
