"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","identifiedBy","recordNumber","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:34:15-03","UNESC","CRI","7027","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","Márcia Borges Joaquim","1999","03","01","Brasil","Santa Catarina","Morro da Fumaça","-49.210278","-28.651389","49º12'37''W","28º39'5''S","22","22","CRI007681","CRI007681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:15-03","UNESC","CRI","10350","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","07","10","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI007684","CRI007684","Aparados da Serra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:13-03","UNESC","CRI","556","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","05","16","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007682","CRI007682","Rio Novo.","Vanilde Citadini- Zanette","907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:15-03","UNESC","CRI","10179","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","J. Bueno; E.L. Siqueira","2009","05","19","Brasil","Paraná","Campo Mourão","-52.419444","-24.260833","52º25'10''W","24º15'39''S","653","653","CRI007683","CRI007683","RPPN Ana Tramujas - Propriedade do Sr. Artur César Vigilato.","M. G. Caxambu","143","2009","05","26","Formação Pioneira com Influência Flúvio-lacustre (várzeas) Habito: erva ereta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:13-03","UNESC","CRI","13773","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","Alexandre Medeiros","2017","11","11","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI012380",NA,"Barra","Alexandre Medeiros","810","2017","11","11","Ocorre em toda APA da Costa Brava Habitat: Terrestre Habito: Herbácea","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:44:29-03","E","E","504221","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium",NA,"Fiebrig, K.",NA,NA,NA,"PY","Alto Paraguay",NA,NA,NA,NA,NA,NA,NA,"E00504221",NA,"Cordillera de Altos",NA,"936",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00504221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:541747",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:44:29-03","E","E","504222","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium",NA,"Irwin, H.S., Da Fonsêca, S.F., Souza, R., Reis Dos Santos, R., Ramos, J.","1970","03","10","BR","Minas Gerais","Serra Do Cabral",NA,NA,NA,NA,"650","650","E00504222",NA,"ca. 2 km N. of Joaquim Felicio",NA,"27345",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00504222 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:541748",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:44:29-03","E","E","121418","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium",NA,"Gottsberger, G.","1970","08","08","BR","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,"E00121418",NA,"Municipio de Botucatu, Fazenda Sta. Maria de Araguá",NA,"2546047",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00121418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:132310",NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:44:29-03","E","E","295246","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium",NA,"Stannard, B.; Ganev, W.; Queiroz, R.F.","1992","02","25","BR","Bahia",NA,"-41.816667","-13.266667","-41.816667","-13.266667","900","1100","E00295246",NA,"Mun. Abaíra: Mendonça de Daniel Abreu",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00295246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:308578",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017941","PreservedSpecimen","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","J.Koenig","C. L. Abreu","1978","06","12","Brazil","São Paulo","São Paulo","-46.63","-23.5403",NA,NA,NA,NA,"NY01017941","NY01017941_01","Reserva Biológica, Parque Estadual das Fontes do Ipiranga, Instituto de Botânica. Área 26, coletado no brejo natural perto do lago grande.","P. J. M. Maas","323",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233448' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Zingiberales",NA,NA,NA,NA,NA
