"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"1","2021-04-05 14:33:45-03","UNESC","CRI","4743","PreservedSpecimen","Plantae","Myrtaceae","Gomidesia","palustris","Gomidesia palustris","(DC.) Kausel","Vanilde Citadini-Zanette","1996","Vanilde Citadini-Zanette; J. C. Caetano","2041","1996","03","02","Brasil","Santa Catarina","Florianópolis","-48.467222","-27.510833","48º28'2''W","27º30'39''S","CRI005390","CRI005390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","8608","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Vanilde C. Zanette","2001","Clair M. Martinello",NA,"2001","04","20","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI005399","CRI005399","04","20","mata da SATC e da UNESC.","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","4925","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Daniel B. Falkenberg",NA,"R. dos Santos; A. J. Aguiar",NA,"1996","02","16","Brasil","Santa Catarina","Governador Celso Ramos","-48.559444","-27.315278","48º33'34''W","27º18'55''S","CRI005406","CRI005406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","4801","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Daniel B. Falkenberg",NA,"V. Citadini-Zanette",NA,"1996","03","21","Brasil","Santa Catarina","Imbituba","-48.670556","-28.235","48º40'14''W","28º14'6''S","CRI005404","CRI005404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 15:16:32-03","UNESC","CRI","14494","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Sobral, M","2009","Verdi, M.; Grosch, B. & Klemz, G.","936","2008","12","11","Brasil","Santa Catarina","Capão Alto","-50.760556","-28.17","50º45'38''W","28º10'12''S","CRI013556","CRI013556","03","21","Fazenda Pessegueirinho. Fazenda Pessegueirinho.","762","762","Florística IFFSC 529 Habitat: Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual; Habito: Fruto preto; flor botão verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","10004","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","M. Verdi","2012","M. Verdi; J.A. Jarenkow","6384","2012","12","02","Brasil","Rio Grande do Sul","Piratini","-53.097778","-31.447222","53º5'52''W","31º26'50''S","CRI005402","CRI005402","12","02","Pousada e camping Costa do Camaquã.","118","118","Estepe estacional Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","3743","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Marcos Sobral",NA,"V. Boff",NA,"1995","06","27","Brasil","Santa Catarina","Imbituba","-48.670556","-28.240556","48º40'14''W","28º14'26''S","CRI005397","CRI005397",NA,NA,"Lot. Henrique Lage.","38","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:47-03","UNESC","CRI","3751","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Marcos Sobral",NA,"V. Boff","45","1995","06","27","Brasil","Santa Catarina","Imbituba","-48.670556","-28.240556","48º40'14''W","28º14'26''S","CRI005395","CRI005395",NA,NA,"Lot. Henrique Lage.","38","38","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","10549","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","M. Verdi",NA,"M. Verdi; Luciana Mancini","6","2011","09","01","Brasil","Santa Catarina","Balneário Arroio do Silva","-49.516667","-29.033333","49º31'0''W","29º2'0''S","CRI005408","CRI005408",NA,NA,NA,"2","2","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","6205","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Daniel B. Falkenberg","1997","Robson dos Santos; Clair Maria Martinello","264","1996","07","09","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI005391","CRI005391","09","12","Morro dos Conventos.","4","4","Habitat: restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:47-03","UNESC","CRI","1592","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","S. M. Silva",NA,"R. R. B. Negrelle; C. Fava","629","1993","01","20","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005396","CRI005396",NA,NA,"Reserva Volta Velha.","9","9","Habitat: restinga Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:40-03","UNESC","CRI","3488","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Marcos Sobral",NA,"Robson dos Santos; Clair Maria Martinello","32","1994","04","10","Brasil","Santa Catarina","Laguna","-48.766667","-28.466667","48º46'W","28º28'S","CRI005394","CRI005394",NA,NA,"Estarada de acesso a Praia da Tereza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:47-03","UNESC","CRI","1589","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","S. M. Silva",NA,"R. Negrelle; C. Londero","764","1993","02","17","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005393","CRI005393",NA,NA,"Reserva Volta Velha.","9","9","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:40-03","UNESC","CRI","9995","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","M. Verdi","2012","M. Verdi; J.A. Jarenkow","6357","2012","12","02","Brasil",NA,"Brasil","-53.263056","-30.865278","53º15'47''W","30º51'55''S","CRI005401","CRI005401","12","02","Cerro do Diogo.","238","238","Estepe estacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:47-03","UNESC","CRI","3845","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Marcos Sobral","1987","J. A. Jarenkow; Marcos Sobral",NA,"1987","01","21","Brasil","Rio Grande do Sul","Canguçu","-52.678611","-31.396389","52º40'43''W","31º23'47''S","CRI005405","CRI005405","01","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:47-03","UNESC","CRI","3738","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.",NA,NA,"V. Boff","40","1995","06","27","Brasil","Santa Catarina","Imbituba","-48.670556","-28.240556","48º40'14''W","28º14'26''S","CRI005400","CRI005400",NA,NA,"Lot. Rosa do Norte.","38","38","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:47-03","UNESC","CRI","5448","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Marcos Sobral","1997","Valdemar Boff; V. C. Zanette","517","1996","05","10","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI005398","CRI005398","06","02","Morro dos Conventos.","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:33:47-03","UNESC","CRI","8036","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","palustris","Myrcia palustris","DC.","Rafael Martins","2008","Beatriz Wessler; Bruna Alberton",NA,"2008","06","25","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI005407","CRI005407","06","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
