"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-08 15:16:32-03","UNESC","CRI","14839","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","subserratum","Zanthoxylum subserratum","Engl.","Vanilde Citadini-Zanette","2000","11","18","Rosane; Marinalda","2000","10","07","Brasil","Santa Catarina","Forquilhinha","Bairro Santa Líbera","-49.472778","-28.748056","49º28'22''W","28º44'53''S","Habito: Arbóreo","CRI014173","CRI014173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:12-03","E","E","177922","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Morong, Thomas","1905","03","02","PY","Central",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177922 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177922",NA,"809","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:12-03","E","E","177920","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Hassler, E.","1905","03","27","PY","Central",NA,"In regione lacus Ypacaray",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177920 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177920",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:12-03","E","E","177949","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Ratter, J.A., Pott, A., Pott, V.J., Bueno, N.C., de Salis, S.M., Da Silva, M.P.","1991","01","29","BR","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177949",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:12-03","E","E","177921","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Hassler, E.","1905","03","27","PY","Central",NA,"In regione lacus Ypacaray",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177921",NA,"12308","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:12-03","E","E","177924","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Rojas, T.","1946","10","24","PY",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177924 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177924",NA,"13648","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:11-03","E","E","177857","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Morel, I.","1947","11","29","AR","Provincia de Formosa",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177857",NA,"4265","Temperate South America","herbarium specimen of unspecif","BGBASE:193658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:11-03","E","E","177912","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Riedel",NA,NA,NA,"BR",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177912",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:12-03","E","E","188478","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Fiebrig, K.","1902","08","07","PY",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00188478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00188478",NA,"409","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:12-03","E","E","177923","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","petiolare","Zanthoxylum petiolare",NA,NA,NA,NA,NA,"Hassler, E.","1905","03","27","PY","Central",NA,"In regione lacus Ypacaray",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177923 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177923",NA,"11102","E. Tropical South America","herbarium specimen of unspecif","BGBASE:194142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
