"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","fieldNumber","individualCount","relationshipType","sex"
"1","2016-09-29 23:12:00-03","NY","NYBG","1014422","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","D. F. Austin","E. P. Heringer","1416","1979","05","16","South America","Brazil","Distrito Federal","Brasília","RECOR-Perto de sementeira da Reserva.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014422","NY01014422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495196","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","M. H. Nee","G. Meyer","231","1922","07",NA,"South America","Bolivia","El Beni",NA,"Cachuela Esperanza, Rio Beni","-65.5843395","-10.537275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495196","NY00495196_01","(L.) Urb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","495197","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","G. W. Staples","Martii Herbar. Florae Brasil.","983",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495197","NY00495197_01","(L.) Urb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778296","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","B. Verdcourt","R. M. Harley","21968","1980","04","30","South America","Brazil","Bahia",NA,"Ca. 15 km N of Santa Maria da Vitória on the Serra Dourado road. F3","-44.12","-13.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778296","NY00778296_01","(L.) Urb.","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 05:03:00-03","NY","NYBG","1280694","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","M. L. S. Guedes","M. L. S. Guedes","16371","2009","07","13","South America","Brazil","Bahia",NA,"Litoral Sul, Itagibá, Mata do laterítico.","-39.73","-14.1767","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1619961' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280694","NY01280694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 13:33:00-03","NY","NYBG","495189","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa",NA,"B. D. Sucre","9190","1972","06","20","South America","Brazil","Piauí","Parnaíba","Estrada Parnaíba-Chaval","-41.7767","-2.9047","sheet","Herb. N. 163076 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495189","NY00495189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:33:00-03","NY","NYBG","495188","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa",NA,"A. C. Sarmento","766","1984","05","17","South America","Brazil","Rio Grande do Norte","Pau dos Ferros","Sítio Mororó. Folha SB.24-Z-A-II. Ponto 17","-38.17","-6.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495188","NY00495188_01",NA,"210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 19:24:00-03","NY","NYBG","02360669","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa",NA,"A. B. Anderson","1122","1984","10","08","South America","Brazil","Pará","Barcarena","Ilha das Onças, property of Dona Alice Dumalakis.","-48.45","-1.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2541648' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360669","NY02360669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","495190","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","G. W. Staples","R. M. Harley","17512","1974","03","30","South America","Brazil","Bahia",NA,"Ca. 5 km SW of Itacaré. On side road south from the main Itacaré-Ubaitaba road. South of the mouth of the Rio de Contas","-39.05","-14.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495190","NY00495190_01","(L.) Urb.",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1014423","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Operculina","macrocarpa","Operculina macrocarpa","G. W. Staples","W. R. Anderson","9106","1973","04","18","South America","Brazil","Minas Gerais",NA,"About 1 km E of Rio Pandeiros, near road to Januária","-44.73","-15.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113367' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014423","NY01014423_01","(L.) Urb.","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
