"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","locality","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","typeStatus","individualCount","fieldNumber","sex"
"1","2020-09-23 10:38:38-03","E","E","153174","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","Saltzmann","1905","01","04","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160451","<a href=http://data.rbge.org.uk/herb/E00153174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:38-03","E","E","153157","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","Reineck, E.M. & Czermak, J.",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160280","<a href=http://data.rbge.org.uk/herb/E00153157 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153157","267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:38-03","E","E","151900","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","Idinoel, Frere",NA,NA,NA,"W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:160055","<a href=http://data.rbge.org.uk/herb/E00151900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:38-03","E","E","153068","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","Essed (Dr.)",NA,NA,NA,"E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:160133","<a href=http://data.rbge.org.uk/herb/E00153068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153068","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622317","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","Martii Herbar. Florae Brasil.",NA,NA,NA,"South America","Brazil","sheet",NA,"860 or 800 ? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622317","860","Magnoliophyta","Poales","L.","H. T. O'Neill","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","622310","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","B. V. Skvortzov","1963","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622310","174","Magnoliophyta","Poales","L.","L. T. Eiten","6 1/2 - 7 km SW of center of Sao Paulo (Praça da Sé). In sandy soil along Rio Pinheiros.","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-19 09:38:00-02","NY","NYBG","668575","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","A. M. Juncosa","1983","03","26","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668575","761","Magnoliophyta","Poales",NA,"G. Davidse","City of Esmeraldas.","Esmeraldas",NA,"-79.67","1","15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","622303","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","J. L. Hage","1981","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622303","1572","Magnoliophyta","Poales","L.","G. C. Tucker","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 Rodovia Ilhéus/Itabuna (BR 415). Quadra I'.","Bahia","Ilhéus","-39.2273659","-14.771874","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","622315","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","G. Eiten","1961","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622315","3464","Magnoliophyta","Poales","L.","L. T. Eiten","Sao Carlos.","São Paulo","Sao Carlos","-47.853114","-21.880273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","622307","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","A. Gehrt","1921","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622307","5426","Magnoliophyta","Poales","L.","H. T. O'Neill","Butantan, S.Paulo.","São Paulo",NA,"-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","622313","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","J. G. Stutts","1980","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622313","767","Magnoliophyta","Poales","L.","M. H. Nee","Rio de Janeiro. Street-side weed in front of Jardim Botanico.","Rio de Janeiro",NA,"-43.221882","-22.969278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","622314","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","G. Eiten","1960","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622314","1817","Magnoliophyta","Poales","L.","L. T. Eiten","Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botânica. 9.8 km. south and 0.8 km. east of center of Sao Paulo (Praça da Sé).","São Paulo","Sao Paulo","-46.63","-23.6","770","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","668576","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","J. A. Steyermark","1967","09","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668576","100130","Magnoliophyta","Poales","L.","G. C. Tucker","Municipio San Carlos del Zulia: Hacienda Las Mercedes, Km. 7.5 de la carretera Santa Bárbara del Zulia-El Vigía.","Zulia","Colón",NA,NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","622311","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","C. E. F. von Glocker","1842",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622311","216","Magnoliophyta","Poales","L.",NA,NA,"Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","622316","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","G. Eiten","1961","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622316","3485","Magnoliophyta","Poales","L.","L. T. Eiten","Porto Pulador on the Rio Moji-Guaçu. 8.9 km NNE of the RR station at Santa Eudóxia. Open bank of a levee about 50 m. west of ferry.","São Paulo","Sao Carlos","-47.8897","-22.0103","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-10-19 09:38:00-02","NY","NYBG","668574","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","E. Bastión","1986","02","28","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668574","869","Magnoliophyta","Poales",NA,"E. R. Guaglianone","Cerca Tarija, zona alluvial del Rio Guadal-quivir.","Tarija","Cercado",NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","622301","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","J. C. Lindeman","1966","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622301","448","Magnoliophyta","Poales","L.","J. C. Lindeman","Curitiba.","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","622302","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","S. A. Mori","1978","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622302","9248","Magnoliophyta","Poales","L.","T. M. Koyama","Area do CEPEC (Centro de Pesq. do Cacau), Km 22 rodovia Ilhéus/Itabuna - BR 415.","Bahia","Ilhéus","-39.2273659","-14.771874","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","622306","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","T. M. Koyama","1970","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622306","13856","Magnoliophyta","Poales","L.","G. C. Tucker","Around Butantan.","São Paulo",NA,"-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
