"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","preparationType"
"1","2020-02-08 09:33:13-03","NBC","NL-BOTANY","AMD.87040","PreservedSpecimen","Plantae","Magnoliopsidae","Lamiales","Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Herter WG","1928","12","01","Southern America","Uruguay","Dep. de Montevideo, Dict. Carrasco.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.87040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD87040","NL-AMD87040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:12-03","ESALQ","ESA","107004","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Romão, G.O.; Rodrigues, C.D.; Dantas, A.P.T.","1905","06","28",NA,"Brasil","Serra do Quiriri, em direção ao Alto do Quiriri, morro com antena de rádio. Acesso pela rodovia SC-301, saída no Km 116 a 1,5Km do posto policial (26°10'03,8S 49°12'51W). Estrada de terra com ca. 48Km da rodovia SC-301, em direção à Fazenda Cizer. 1343m","Erva 5cm alt.; corola azulada.","ESA107004","ESA107004","Magnoliophyta","Gonella, P.M.","1759.0","Santa Catarina","Campo Alegre","-49.2655982971191","-26.1924991607666","37493","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:33:43-03","IAP","PACA-AGP","32403","PreservedSpecimen","Plantae","Magnoliatae","Tubiflorae","Lentibulariaceae","Utricularia","ternata","Utricularia ternata","Sylven","Rambo, B.","1946","02","28",NA,"Brasil","Serra da Rocinha","Habitat: in paludosis turfosis Fenofase: flor","PACA032403",NA,"Magnoliophyta","Enrich-Rambo",NA,"RS","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto","1954","08","18",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:33:43-03","IAP","PACA-AGP","36549","PreservedSpecimen","Plantae","Magnoliatae","Tubiflorae","Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylven","Rambo, B.","1948","02",NA,NA,"Brasil","Cambará do Sul","Habitat: in paludosis graminosis Fenofase: fruto","PACA036549",NA,"Magnoliophyta","E.F. Trinta",NA,"RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:38:12-03","UFJF","CESJ","23581","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","L. Krieger","1989","04","01","América do Sul","Brasil","Parque Nacional do Caparaó, Campos Altos, caminho para a Tronqueira.","Em solo encharcado, sobre granito-gnaisse. Flores lilacíneas, população grande.","CESJ023581",NA,"Angiosperma","E.Fromm-Trinta","CESJ23581","Minas Gerais",NA,NA,NA,NA,NA,"1990",NA,NA,"1700","1700",NA,NA,NA,NA,NA
"6","2019-11-21 14:38:12-03","UFJF","CESJ","23583","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","L. Krieger","1989","04","01","América do Sul","Brasil","Parque Nacional do Caparaó, Campos Altos, à beira do Rio José Pedro.","Flores lilás-arroxeado, entre musgos.","CESJ023583",NA,"Angiosperma","E.Fromm-Trinta","CESJ23583","Minas Gerais",NA,NA,NA,NA,NA,"1990",NA,NA,"2000","2000",NA,NA,NA,NA,NA
"7","2021-03-01 16:32:54-03","UNICAMP","UEC","77250","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1999","12","11",NA,"Brazil","Estrada para São Joaquim, Afloramento rochoso prox. a ponte sobre o rio Caveiras.","Flores violetas, calos do labelo branco e amarelo.; Prox. a rio.",NA,NA,"Magnoliopsida","Gonella, PM","s.n.","Santa Catarina","Lages","-50.194306","-27.865583",NA,NA,"2009","07","31","1030","1030","-50.194306","-27.865583",NA,NA,NA
"8","2021-03-01 16:32:54-03","UNICAMP","UEC","205281","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Everling, JF; Silva, C; Barbosa, VB; Cunha, FJS; Miao-Oliveira, S; Calió, MFA","2019","05","20",NA,"Brazil",NA,"Erva, ca. 10 cm alt.; Pétalas lilás; Região da flor branca e amarela.; Campo Rupestre, Solo arenoso muito compacto úmido.","UEC183169","UEC183169","Magnoliopsida","Silva, C","81","Minas Gerais","Conceição do Mato Dentro","-43.511111","-19.247222",NA,NA,"2019","06","11","1282","1282","-43.511111","-19.247222",NA,NA,NA
"9","2021-03-01 16:32:54-03","UNICAMP","UEC","143217","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Machado, MC; Aona, LYS","2005","12","10",NA,"Brazil","Em Criúva pega-se estrada de terra para Mulada, apó 2,6km chega-se a uma bifurcação - dobra-se a esquerda, após mais 2,5km chega-se a um camping, dirija-se até a margem do rio e sigua um trilha a esquerda que margeia o rio seguindo na direção da corr","Flores alvas a cremes.; Campos sulinos.",NA,NA,"Magnoliopsida","Gonella, PM","738","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto","2009","07","31","704","704",NA,NA,NA,NA,NA
"10","2020-04-22 16:21:12-03","UFPB","JPB","52724","PreservedSpecimen","Plantae",NA,"Dicotyledon","Lentibulariaceae","Utricularia","tridentata","Utricularia tridentata","Sylvén","Silva, CV","2012","11","17","Southern America","Brasil","Campos do Quiriri, Campo aberto","; HABITAT: Pequeno curso d'água; DESC: Erva de flor lilás. Planta carnívora.","JPB0052724",NA,"Angiosperma","Silva, CV","22","Santa Catarina","Campo Alegre","-48.990611","-26.281667",NA,NA,"2012","11","17","1354","1354","-48.990611","-26.281667",NA,NA,NA
