"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","recordNumber","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","individualCount","fieldNumber"
"1","2021-04-08 15:16:32-03","UNESC","CRI","15101","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","Renato Colares","2016","11","24","Renato Colares; Jader Lima Pereira","2016","11","24","Brasil","Santa Catarina","Siderópolis","Lote 42","-49.451944","-28.570833","49º27'7''W","28º34'15''S","Habito: Herbácea","CRI014514","CRI014514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:52-03","UNESC","CRI","2470","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"R. M. Klein","1972","02","24","Brasil","Santa Catarina","Itajaí","no gramado do HBR.","-48.670833","-26.910556","48º40'15''W","26º54'38''S","Habitat: No gramado","CRI007116","CRI007116","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:57-03","UNESC","CRI","2482","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","L. B. Smith","1973","02","08","R. M. Klein","1973","02","08","Brasil","São Paulo","São Paulo","CRUSP, Cidade Universitária.","-46.630278","-23.540556","46º37'49''W","23º32'26''S",NA,"CRI007115","CRI007115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","763067","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"W. D. Clayton","1965","02","15","Brazil","São Paulo",NA,"Cananeia water front",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763067","NY00763067_01",NA,NA,"Magnoliophyta","Poales","4687","South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00864550","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","G. Davidse",NA,NA,NA,"G. Schaller","1978","04","29","Brazil","Mato Grosso do Sul","Aquidauana","Pantanal. Rio Negro area. Fazenda S. Teresa","-55.7869","-20.4711",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864550","NY00864550_01",NA,NA,"Magnoliophyta","Poales","145","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778445","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.","I. I. Boldrini",NA,NA,NA,"M. Borgo","2000","02","08","Brazil","São Paulo","Iguape","Rio Brejaituva.","-47.55","-24.7",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778445","NY00778445_01",NA,NA,"Magnoliophyta","Poales","597","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","662213","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"W. Hoehne","1948","05","22","Brazil","São Paulo","Sao Paulo","Sao Paulo, SP. Bairro Pacaembú","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662213","NY00662213_01",NA,NA,"Magnoliophyta","Poales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","763066","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"T. S. d. Silva","1975","11","06","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763066","NY00763066_01",NA,NA,"Magnoliophyta","Poales","219","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","763068","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"R. Reitz","1946","02","06","Brazil","Santa Catarina",NA,"Sombrio","-49.635936","-29.103288",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763068","NY00763068_01","10","10","Magnoliophyta","Poales","2015","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00864601","PreservedSpecimen","Plantae","Poaceae","Panicum","repens","Panicum repens","L.",NA,NA,NA,NA,"M. A. Chase","1925","02","25","Brazil","Minas Gerais",NA,"Igrejinha, 19 km Northwest of Juiz de Fóra",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864601","NY00864601_01","685","685","Magnoliophyta","Poales","8633","South America","sheet",NA,NA,NA,NA,NA,NA
