"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"36","2021-03-16 11:58:09-03","UTFPR","HCF","19972","S","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","E. Barboza","J.M. Silva","8660","2014","11","04",NA,"Brasil","PR","Piraquara","Caminho Trentino","-49.039167","-25.5175",NA,"planta formando touceira. Banhado.",NA,NA,NA,"2014","11","49°02'21 W","25°31'03 S","19",NA,NA,NA,NA,NA,"914","914",NA
"37","2021-03-16 11:58:09-03","UTFPR","HCF","3268","S","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","M.G. Caxambu","H.C.L. Geraldino","157","2005","09","28",NA,"Brasil","PR","Campo Mourão","Capela do Calvário","-52.3830986022949","-24.0456008911133",NA,"beira de rio, área alagada. Inflorescência terminal de cor marrom.",NA,NA,NA,"2006","04",NA,NA,"11","28572","auto",NA,NA,NA,NA,NA,NA
"38","2021-03-16 11:58:09-03","UTFPR","HCF","1015","S","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","G. Hatschbach","E. Ferreira",NA,"2004","03","27",NA,"Brasil","PR","Campo Mourão","rio do Campo","-52.3830986022949","-24.0456008911133",NA,"planta herbácea, reptante a ereta. Em solos alagáveis.",NA,NA,NA,"2004","06",NA,NA,"27","28572","auto",NA,NA,NA,NA,NA,NA
"39","2021-03-16 11:58:09-03","UTFPR","HCF","19837","S","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","M.T. Strong","J.M. Cruz","22","1998","11","25",NA,"Brasil","PR","Pontal do Paraná","Balneário Shangri-lá","-48.511100769043","-25.6735992431641",NA,"em touceiras; locais úmidos da restinga arbustiva.",NA,NA,NA,"2003",NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:22:09-03","MBM","MBM","393234","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Barboza, E.","Silva, J.M.; Cordeiro, J.; Cordeiro, J.","8660","2014","11","04","Southern America","Brazil","Paraná","Piraquara","Caminho Trentino","-49.039167","-25.5175",NA,"Planta formando touceira.; Banhado.","MBM393234","MBM393234",NA,"2014","11","-49.039167","-25.5175","19",NA,NA,NA,NA,NA,"914","914",NA
"41","2020-12-21 16:22:09-03","MBM","MBM","416538","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Barboza, E.","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3195","2018","11","20","Southern America","Brazil","Paraná","Jaguariaíva","Rio Diamante","-49.8075","-24.354722",NA,"Erva cespitosa; espigueta castanha.; Savana (Campo cerrado).","MBM416538",NA,NA,"2019","02","-49.8075","-24.354722","05",NA,NA,NA,NA,NA,"1102","1102",NA
"42","2020-12-21 16:22:09-03","MBM","MBM","418533","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Cafofo, E.","Cafofo, E.; Felitto, G.; Felitto, G.","s.n.","2018","09","01","Southern America","Brazil","Minas Gerais","Mariana",NA,"-43.431944","-20.276389",NA,"Herbácea.; Macrófita","MBM418533",NA,NA,NA,NA,"-43.431944","-20.276389",NA,NA,NA,NA,NA,NA,"732","732",NA
"43","2020-12-21 16:22:24-03","MBM","MBM","233174","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama","Strong, M.T.","Cruz, J.M.; Cordeiro, J.; Cordeiro, J.","22","1998","11","25","Southern America","Brazil","Paraná","Pontal do Paraná","Balaneário Shangri-lá","-48.511100769043","-25.6735992431641",NA,NA,"MBM233174","MBM233174",NA,NA,NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:22:24-03","MBM","MBM","218744","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama","Strong, M.T.","Reinert; et al.; et al.","79","1997","10","17","Southern America","Brazil","Paraná","Pontal do Paraná","Pontal do Paraná","-48.511100769043","-25.6735992431641",NA,NA,"MBM218744","MBM218744",NA,NA,NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:22:24-03","MBM","MBM","304325","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama","Strong, M.T.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","76854","2004","02","19","Southern America","Brazil","Paraná","Santa Maria do Oeste","Rodovia Pitanga - Santa Maria do Oeste, próximo ao Rio do Cedro","-51.8624992370605","-24.9391994476318",NA,NA,"MBM304325","MBM304325",NA,NA,NA,NA,NA,NA,"29384","auto",NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:22:24-03","MBM","MBM","384663","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama","Barboza, E.","Dalmaso, C.A.","53","2013","04","02","Southern America","Brazil","Paraná","Mato Rico",NA,"-52.200003","-24.659994",NA,"Herbácea, com flores.","MBM384663",NA,NA,"2013","07","-52.200003","-24.659994","11",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-12-09 17:39:57-03","UESC","UESC","24933","S","Plantae","Angiospermae","Florideophycidae","Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T.Koyamma",NA,"E.A. Rocha","1806","2009","12","18",NA,"Brasil","Bahia","Ilhéus",NA,"-39.129722","-14.594444",NA,"Erva aquática, cerca de 20-30 cm de altura.; Frequente no local.","UESC0024933",NA,NA,NA,NA,"39W7'47''","14S35'40''",NA,NA,NA,"Monocotyledoneae",NA,NA,"2","2",NA
"48","2021-02-12 12:24:48-03","UFMA","MAR","7392","S","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama",NA,"AMORIM, I. F. F",NA,"2014","04","26",NA,"Brasil","Maranhão","Paço do Lumiar","Praia de Araçagy","-44.181944","-2.465556",NA,NA,NA,NA,NA,NA,NA,"44º10'55W","02º27'56S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-02-11 17:18:40-03","UFPR","UPCB","42177","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Borgo, M.","673","2000","02","12",NA,"Brasil","São Paulo","Ilha Comprida","Mar de Dentro","-47.5400009155273","-24.7399997711182",NA,"Herbácea de inflorescência esverdeadas, em área alterada próximo a manguezal..",NA,NA,NA,"2015",NA,NA,NA,NA,"49747","auto",NA,NA,NA,NA,NA,NA
"50","2021-02-11 17:18:40-03","UFPR","UPCB","73926","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Bona, C.","472","2009","11","24",NA,"Brasil","Paraná","Pinhais","Reservatório Iraí.","-49.1925010681152","-25.4447002410889",NA,"Presente em banco de macrófitas. Hábito de vida Emergente.",NA,NA,NA,"2015","09",NA,NA,"23","10418","auto",NA,NA,NA,NA,NA,NA
"51","2021-02-11 17:18:40-03","UFPR","UPCB","9546","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundti","Cyperus mundti","Kunth",NA,"Witte, C.F.de","4903","1948","12",NA,NA,"Zaire",NA,NA,"Katanga Prov. Mitwaba, Terr. Upemba National Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2021-02-11 17:18:40-03","UFPR","UPCB","9547","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundti","Cyperus mundti","Kunth",NA,"Witte, C.F.de","4499","1948","10",NA,NA,"Zaire",NA,NA,"Katanga, Prov. Mitwaba, Upemba National Park",NA,NA,NA,"Small floating island on lake..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2021-02-11 17:18:40-03","UFPR","UPCB","42176","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Borgo, M.","571","2000","02","08",NA,"Brasil","Paraná","Matinhos","Balneário Flórida","-48.5428009033203","-25.8174991607666",NA,"Herbácea cespitosa com inflorescência castanha, em canal de drenagem no brejo intercordão..",NA,NA,NA,"2015","09",NA,NA,"23","15275","auto",NA,NA,NA,NA,NA,NA
"54","2021-02-11 17:18:40-03","UFPR","UPCB","73917","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Alves-da-Silva, S.C.","129","2012","06","27",NA,"Brasil","Paraná","Pinhais","Reservatório Iraí.","-49.1925010681152","-25.4447002410889",NA,"Presente em banco de macrófitas. Hábito de vida Emergente.",NA,NA,NA,"2015","09",NA,NA,"23","10418","auto",NA,NA,NA,NA,NA,NA
"55","2021-02-11 17:18:40-03","UFPR","UPCB","73904","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Alves-da-Silva, S.C.","56","2012","01","31",NA,"Brasil","Paraná","Curitiba","Reservatório Passauna.","-49.2731018066406","-25.4277992248535",NA,"Presente em banco de macrófitas. Hábito de vida Emergente.",NA,NA,NA,"2015","09",NA,NA,"23","25180","auto",NA,NA,NA,NA,NA,NA
"56","2021-02-11 17:18:40-03","UFPR","UPCB","73939","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Bona, C.","556","2011","10","06",NA,"Brasil","Paraná","Curitiba","Reservatório Passauna.","-49.2731018066406","-25.4277992248535",NA,"Presente em banco de macrófitas. Hábito de vida Emergente.",NA,NA,NA,"2015","09",NA,NA,"23","25180","auto",NA,NA,NA,NA,NA,NA
"57","2021-02-11 17:18:40-03","UFPR","UPCB","73936","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cyperus","mundtii","Cyperus mundtii","(Nees) Kunth","Silva, L.P.","Bona, C.","544","2011","10","06",NA,"Brasil","Paraná","Curitiba","Reservatório Passauna.","-49.2731018066406","-25.4277992248535",NA,"Presente em banco de macrófitas. Hábito de vida Emergente.",NA,NA,NA,"2015","09",NA,NA,"23","25180","auto",NA,NA,NA,NA,NA,NA
"58","2011-02-28 19:25:00-03","MO","MOBOT","1296288","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama",NA,"Tetsuo M. Koyama|Marieluise Koyama","Koyama 13748","1970","2","22","South America","Brazil","Paraná",NA,"By road near Paranaven on river bank. Growing in large community on wet sandy laterite; distribution very local; near river.",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2012-07-02 15:57:00-03","MO","MOBOT","3089356","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Pycreus","decumbens","Pycreus decumbens","T. Koyama","M.T. Strong","J.M. Cruz|J. Cordeiro","Cruz 22","1998","11","25","South America","Brazil","Paraná",NA,"Balneário Shangri-lá (Mun. Pontal do Paraná).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
