"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","2682","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein","13109","1962","07","12","Brasil","Santa Catarina","Porto União","São Miguel.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","750","750","Habitat: mata Habito: liana","CRI002652","CRI002652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:31-03","UNESC","CRI","5309","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","J. A. Jarenkow","J. A. Jarenkow","2350","1993","02","27","Brasil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro.","-52.686667","-29.604444","52º41'12''W","29º36'16''S","66","66","Habito: trepadeira","CRI002651","CRI002651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","6818","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein","8479","1959","02","20","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002658","CRI002658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","6736","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein",NA,"1962","02","17","Brasil","Santa Catarina","Porto União","São Miguel.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","750","750","Habitat: mata Habito: liana","CRI002663","CRI002663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:16-03","UNESC","CRI","2153","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","S. F. Smith","Reitz; Klein","8704","1959","03","20","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002654","CRI002654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:16-03","UNESC","CRI","2731","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein","8793","1959","04","24","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002653","CRI002653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:16-03","UNESC","CRI","6756","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein",NA,"1959","04","24","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002659","CRI002659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:16-03","UNESC","CRI","6847","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","S. F. Smith","Reitz; Klein",NA,"1959","03","20","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002657","CRI002657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:31-03","UNESC","CRI","2696","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein","8862","1959","06","11","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI007332","CRI007332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:16-03","UNESC","CRI","6753","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","microstachya","Bauhinia microstachya","(Raddi) Macbr.","A. Burkart","Reitz; Klein",NA,"1959","02","20","Brasil","Santa Catarina","Lauro Muller","Novo Horizonte.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","450","450","Habitat: mata Habito: liana","CRI002660","CRI002660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
