"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00424120","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","E. Eetgerink","P. J. M. Maas","3199","1977","10","11","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. km 8","-44.5631","-22.4961","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424120","NY00424120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:21:38-03","NBC","NL-BOTANY","U.1156121","PreservedSpecimen","Plantae",NA,"Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"Maas PJM; Martinelli G",NA,"1977","10","11","Southern America","Brazil",NA,NA,"Edo. Rio de Janeiro, Parque Nacional do Itatiaia, shrunny vegetation near lake, km 8.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1156121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1156121","NL-U1156121","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0041263","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","G. Hatschbach","G. Hatschbach; A. C. Cervi, E. Barbosa","78198","2004","10","17",NA,"Brazil","Santa Catarina",NA,"Morro da Igreja, proximo ao alto (Mun. Urubici).","-49.5","-28.133333","1650",NA,NA,"Arbusto, 1.5 m, flor amarela.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:45:32-03","FURB","FURB","8406","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"Grippa, C.R.","68","2007","10","04",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja.","-49.4708334","-28.1258334","1800","1800",NA,"Habitat: campo Habito: erva; flor amarela","FURB20759","FURB20759",NA,"-49.4708334","-28.1258334",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:18:03-03","MBM","MBM","246850","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos",NA,"Sobral, M.; et al.; et al.","8990",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","São José dos Ausentes","São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"MBM246850","MBM246850",NA,NA,NA,"42598","auto",NA,NA,NA,NA
"6","2020-12-21 16:18:03-03","MBM","MBM","203001","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Falkenberg, D.B.","Falkenberg, D.B.","6297","1993","10","16","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM203001","MBM203001",NA,NA,NA,"30102","auto",NA,NA,NA,NA
"7","2020-12-21 16:18:03-03","MBM","MBM","298501","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Hatschbach, G.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","78198","2004","10","18","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, próximo ao alto","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM298501","MBM298501",NA,NA,NA,"30102","auto",NA,NA,NA,NA
"8","2020-12-21 16:18:03-03","MBM","MBM","386895","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Barboza, E.","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10068","2013","11","05","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro","-49.481944","-28.127444","1770","1770",NA,"Subarbusto de 60cm. Flores amarelas. UNICATA.","MBM386895","MBM386895",NA,"-49.481944","-28.127444",NA,NA,"2013","12","03",NA
"9","2020-12-21 16:18:03-03","MBM","MBM","386895","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Barboza, E.","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10068","2013","11","05","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro","-49.481944","-28.127444","1770","1770",NA,"Subarbusto de 60cm. Flores amarelas. UNICATA.","MBM386895","MBM386895",NA,"-49.481944","-28.127444",NA,NA,"2013","12","03",NA
"10","2020-12-21 16:18:03-03","MBM","MBM","164966","PreservedSpecimen","Plantae",NA,NA,"Berberidaceae","Berberis","kleinii","Berberis kleinii","Mattos","Dombrowski, L.T.; Pott, V.","Falkenberg, D.B.","5659","1992","11","14","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM164966","MBM164966",NA,NA,NA,"30102","auto",NA,NA,NA,NA
