"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:33-03","E","E","285696","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora","isotype","Schomburgk, Robert Hermann","82","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:296488","<a href=http://data.rbge.org.uk/herb/E00285696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","285699","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora","isotype","Schomburgk, Robert Hermann","82","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:296484","<a href=http://data.rbge.org.uk/herb/E00285699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285699","1905","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:33-03","E","E","270708","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","45","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282648","<a href=http://data.rbge.org.uk/herb/E00270708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270708","1997","05","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:33-03","E","E","84485","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"Munhoz, C.","245","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93653","<a href=http://data.rbge.org.uk/herb/E00084485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084485","1995","04","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:33-03","E","E","285698","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora","isotype","Schomburgk, Robert Hermann","82","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:296486","<a href=http://data.rbge.org.uk/herb/E00285698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:33-03","E","E","84498","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"Munhoz, C.","239","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93656","<a href=http://data.rbge.org.uk/herb/E00084498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084498","1995","04","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:33-03","E","E","285697","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"Hooker, Joseph Dalton",NA,"E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:296489","<a href=http://data.rbge.org.uk/herb/E00285697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","245719","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","cardonae","Rhynchanthera cardonae","isotype","F. Cardona Puig","2858","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245719","1958","03","01","Magnoliophyta","Myrtales","Wurdack","Bolívar","Salto Río Ichún, Alto Paragua","380","380","NY00245719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01318203","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"K. G. Cangani da Silva","59","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1727466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318203","2010","09","19","Magnoliophyta","Myrtales","(Aubl.) DC.","Roraima","Parque Nacional Viruá, Planta coletada depois da terceira bueira do lado do barranco.",NA,NA,"NY01318203_01","K. G. Cangani da Silva","Caracaraí","-61.1318779","1.3183289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 22:04:00-03","NY","NYBG","00941355","PreservedSpecimen","Plantae","Melastomataceae","Rhynchanthera","grandiflora","Rhynchanthera grandiflora",NA,"C. Munhoz","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941355","1993","04","27","Magnoliophyta","Myrtales",NA,"Distrito Federal","IBGE. Beira da mata do monjolo.",NA,NA,"NY00941355_01","C. Munhoz","Brasília","-47.88","-15.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
