"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","yearIdentified","typeStatus","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","imagecode","geoFlag","class","individualCount","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","580111","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","M. Sobral","G. G. Hatschbach","45280","1982","09","03","South America","Brazil","Paraná","Antonina","Mergulhao","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034648","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand in Reitz","M. Sobral, 1985.","G. Hatschbach","45280","1982","9","3",NA,"Brazil","Parana","Antonina","Mergulhao.","-48.7167","-25.45",NA,"in 5 anthers seen, each had 0 glands. Coor from www.fallingrain.com/world; Abusto 3m, flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:36:39-03","MBM","MBM","51403","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Legrand, D.","Klein, R.; Krapovickas, A.; Krapovickas, A.","7727","1968","05","26","Southern America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,"Mata. Arvoreta com casca lisa, 4m alt. Flor branca.; Arvoreta 4m, com casca lisa, flor branca.; Mata.","MBM051403","1969","PARATYPE","27253","50","50","MBM051403","auto",NA,NA,NA,NA,NA,NA
"4","2012-04-13 08:57:00-03","MO","MOBOT","2483610","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D. Legrand",NA,"Roberto M. Klein|A. Bresolin","Klein 7468","1967","6","21","South America","Brazil","Santa Catarina",NA,"Florianópolis. Saco Grande, Ilha de Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-31 09:07:42-03","INPA","INPA","142155","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Sobral, MEG","Hatschbach, GG","45280","1982","09","03","Southern America","Brasil","Paraná","Antonina","Mergulhão","-48.7118988037109","-25.4286003112793",NA,NA,"INPA0142155","1985",NA,"38300",NA,NA,"INPA0142155 INPA0142155_e","auto",NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3076577","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D. Legrand",NA,"G. Hatschbach","26875","1971","7","21","South America - Neotropics","Brazil","Paraná","Guaraqueçaba","Serra Negra","-48.3288993835449","-25.3066997528076",NA,NA,"US01898498",NA,NA,"37295",NA,NA,"US01898498_01 US01898498_02","auto","Dicotyledonae","1",NA,NA,NA,NA
"7","2021-03-25 13:52:50-03","UNIVILLE","JOI","18524","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Vieira, F.C.S.","Vieira, F.C.S.","2890","2018","10","23",NA,"Brasil","Santa Catarina","Joinville","Jardim Botânico da UNIVILLE.","-48.857222","-26.254444",NA,NA,"JOI018524","2018",NA,NA,"20","20",NA,NA,NA,NA,"10","25","48º51'26''W","26º15'16''S"
"8","2021-03-25 13:52:50-03","UNIVILLE","JOI","13772","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","M. Sobral","Schmoeller, F","211","2011","09","21",NA,"Brasil","Santa Catarina","Joinville","Área da Prefeitura.","-48.8456001281738","-26.3043994903564",NA,"; HABITAT: sub bosque; HABITO: arbusto","JOI013772","2012",NA,"37150",NA,NA,"JOI013772","auto",NA,NA,"11","21",NA,NA
"9","2021-03-25 13:52:50-03","UNIVILLE","JOI","12642","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Schmoeller, F.","Schmoeller, F","211","2011","09","21",NA,"Brasil","Santa Catarina","Joinville","Área de preservação na Rua dos Franceses.","-48.8456001281738","-26.3043994903564",NA,"; HABITAT: sub bosque; HABITO: arbusto","JOI012642","2011",NA,"37150",NA,NA,"JOI012642","auto",NA,NA,"01","01",NA,NA
"10","2021-03-23 08:08:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Vieira, FCS","Vieira, FCS","2890","2018","10","23","Southern America","Brasil","Santa Catarina","Joinville","Jardim Botânico da UNIVILLE","-48.857222","-26.254444",NA,"Árvore; Floresta Onbrófila Densa de Terras baixas",NA,"2018",NA,NA,"20","20",NA,NA,NA,NA,"10","25","-48.857222","-26.254444"
"11","2019-10-03 10:04:13-03","UFSCar","SORO","1172","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha",NA,NA,NA,"13897","1966","09","30",NA,"Brasil","São Paulo","Paranapiacaba","Estação Biológica, via férrea São Paulo-Santos",NA,NA,NA,"árvore fina 5 m alt., casca lisa e manchada. Folhas verde escuras na face superior e glaucas na inferior. Frutos recém, formados com sepalas concavas e viradas para baixo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-03 10:04:13-03","UFSCar","SORO","3277","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand",NA,"Kirizawa,M.; Lopes,E.A.; Yamamoto, K.","2637","1991","11","19",NA,"Brasil","São Paulo","Santo André","Reserva Biológica do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Mata de Encosta",NA,NA,NA,"27258",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
"13","2019-10-03 10:04:13-03","UFSCar","SORO","4349","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D. Legrand",NA,"Kirizawa, M.; Lopes, E.A.","1734","1986","08","21",NA,"Brasil","São Paulo","Santo André","Reserva Biológica do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Picada 2, mata de encosta. Árvore caida ca. 4m alt., folhas novas vermelhas, pétalas brancas, estames brancos.",NA,NA,NA,"27258",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
"14","2020-08-20 20:40:26-03","UFSC","FLOR","1605","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Legrand, C.D.","Klein, R.M.; Bresolin, A.","7468","1967","06","21",NA,"Brasil","Santa Catarina","Florianópolis","Saco Grande, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335",NA,"árvore, flor branca, 10m altura. Com casca lisa clara. Isotypus de E. pseudomalacantha.","FLOR0001605","1967","Isotypus","27000","250","250",NA,"auto",NA,NA,NA,NA,NA,NA
"15","2020-08-20 20:40:26-03","UFSC","FLOR","3497","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D.Legrand","Legrand, C.D.","Klein, R.M.; Krapovickas, A.","7727","1968","05","26",NA,"Brasil","Santa Catarina","Itajaí","Morro da Fazenda.","-48.6618995666504","-26.9078006744385",NA,"arvoreta com casca lisa, flor branca, 4m altura","FLOR0003497","1969",NA,"27253","50","50",NA,"auto",NA,NA,NA,NA,NA,NA
"16","2021-02-08 12:43:55-03","UFRGS","ICN","061097","S","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","pseudomalacantha","Eugenia pseudomalacantha","D. Legrand","Legrand, CD","Klein, RM; Bresolin, A","7468","1967","06","21","América do Sul","Brasil","SC","Florianópolis","Ilha de Santa Catarina Saco Grande","-48.5491981506348","-27.596700668335",NA,"Árvore com casca lisa clara, 10m, flor branca; Mata","ICN00000393",NA,"Isotypus","27000","250","250","ICN00000393 ICN00000393_1","auto",NA,NA,NA,NA,NA,NA
