"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","910884","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","E. de C. Smidt","T. B. Cavalcanti","64","1988","11","30","South America","Brazil","Goiás","Teresina de Goiás","Estrada Cavalcante-Alto Paraíso, 52 km de Cavalcante, 8 km de Teresina","-47.2644","-13.7767","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910884","NY00910884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625702","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","G. F. J. Pabst","L. B. Smith","11078","1957","12","08","South America","Brazil","Santa Catarina","Curitibanos","7 km north of Curitibanos on the road to Lebon Regis.","-50.5842","-27.2831","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625702","NY00625702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910883","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","G. F. J. Pabst","A. P. Duarte","13910","1970","11","16","South America","Brazil","Minas Gerais",NA,"Vale do Rio Araguarí, pr. Araxá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910883","NY00910883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625701","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","G. F. J. Pabst","H. S. Irwin","7644","1964","10","31","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó. Ca. 40 km S of Caiaponia on road to Jataí.","-51.78","-17.2",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625701","NY00625701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625699","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.",NA,"E. Hassler","10695","1907","11",NA,"South America","Paraguay",NA,NA,"In altaplanitie et declivibus Sierra de Amambay,",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625699","NY00625699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625700","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","G. F. J. Pabst","H. S. Irwin","7644","1964","10","31","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó. Ca. 40 km S of Caiaponia on road to Jataí.","-51.78","-17.2",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625700","NY00625700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","910882","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","G. F. J. Pabst","B. Maguire","56982","1963","09","30","South America","Brazil",NA,NA,"74 km beyond Alto Araguaia en route to Goiania",NA,NA,"930","930","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910882","NY00910882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:51-03","EAO","IAN","129352","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Pabst, GFJ","Irwin, HS; Soderstrom, TR","7644","1964","10","31","Southern America","Brasil","Goiás",NA,NA,"-51.783333","-17.2","1000","1000",NA,"P yellow, the labellum with faint green lines.","IAN129352",NA,"-51.783333","-17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:50-03","NBC","NL-BOTANY","L 0836003","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","(Barb.Rodr.) Barb.Rodr.","Pabst GFJ","Reitz R; Klein RM",NA,"1962","12","21","Southern America","Brazil","Santa Catarina",NA,"Campos Novos.",NA,NA,NA,NA,NA,"Banhado.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200836003 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0836003",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:18-03","MN","R","32296","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sarcoglottis","uliginosa","Sarcoglottis uliginosa","Barb. Rodr.","Hoehne, F.C.","Hoehne, F.C.",NA,"1911","11",NA,NA,"Brasil","Mato Grosso","Lambari d'Oeste",NA,"-58.0036010742188","-15.3233003616333",NA,NA,NA,"Comissão Rondon",NA,NA,NA,NA,NA,"80820","auto",NA,NA,NA,NA,NA,NA
