"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","infraspecificEpithet","continentOcean","preparationType","occurrenceRemarks","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","relatedCatalogItem","dayIdentified","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:24:46-03","UNESC","CRI","6468","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","3660","1999","01","21","Brasil","Rio Grande do Sul","Candelária","cerro botucaraí.","-52.789167","-29.669722","52º47'21''W","29º40'11''S","47","47","CRI000221","CRI000221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","11712","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.",NA,"Anderson Zilli Kruger",NA,"2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.952778","-29.198611","49º57'10''W","29º11'55''S",NA,NA,"CRI008674","CRI008674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:46-03","UNESC","CRI","3928","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter, 1662",NA,"1990","03","27","Brasil","Rio Grande do Sul","Torres","Boa União.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5","CRI000220","CRI000220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493662","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. F. Smith","R. C. Molon","s.n.","1992","02","20","Brazil","Rio Grande do Sul","Farroupilha","Nova Milano","-51.338611","-29.276126",NA,NA,"700","700","NY00493662",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742066' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 05:27:00-03","NY","NYBG","493659","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata",NA,"R. L. Liesner","T. B. Croat","58827","1984","05","01","Ecuador","Napo",NA,"Vicinity of Tena, along road to Muyuna, 7 km E of Muyuna, 3 km W of Jct. with Baeza-Puyo road in Tena","-77.83","-0.02",NA,NA,"500","500","NY00493659",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493652","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","C. C. Townsend","S. A. Mori","11541","1979","03","14","Brazil","Bahia","Itambé","Rod. BA-265, trecho Itapetinga/Caatiba, Faz. Serra Verde a 17 km da Rod. BR-415","-40.6242","-15.245",NA,NA,NA,NA,"NY00493652",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534826' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493653","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","J. de C. e. Vasconcellos","M. Sobral","3871","1985","05","04","Brazil","Rio Grande do Sul","Santa Maria","Lar Metodista","-53.8067","-29.6844",NA,NA,NA,NA,"NY00493653",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534824' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 18:15:00-03","NY","NYBG","493664","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","E. Henz","35649","1946","11","10","Brazil","Rio Grande do Sul","Sao Leopoldo","S. Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00493664",NA,"Magnoliophyta","Caryophyllales","acuminata","South America","sheet","[Collection number may be Herbarium # (SJ-35649) - see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742070' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00837898","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata acuminata","Mart.","S. H. Sohmer","J. E. B. Warming","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","Ad Lagoa Santa","-43.8894","-19.6272",NA,NA,NA,NA,"NY00837898","NY00837898_01","Magnoliophyta","Caryophyllales","acuminata","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930596' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","493655","PreservedSpecimen","Plantae","Amaranthaceae","Chamissoa","acuminata","Chamissoa acuminata","Mart.","T. M. Pedersen","T. M. Pedersen","13715","1984","02","29","Brazil","Santa Catarina","Seara","Nova Teutonia","-52.420233","-27.160708",NA,NA,NA,NA,"NY00493655",NA,"Magnoliophyta","Caryophyllales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534821' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
