"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","scientificNameAuthorship","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:41:32-03","E","E","83911","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","Munhoz, C., Alvarenga, D. & Silva, S.R.","315","1995","12","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92796","<a href=http://data.rbge.org.uk/herb/E00083911 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 06:39:00-03","NY","NYBG","1487789","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","N. Castaño Arboleda","3235","2011","05","03","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353291' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487789","Magnoliophyta","Myrtales","Z. Cordero P.","Caquetá","Florencia","corregimiento Santo Domingo, verede Villa Hermosa.","-75.70875","1.6145","900","NY01487789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3241119","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","M. Nee","38829","1990","09","21","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3550939' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241119","Magnoliophyta","Myrtales",NA,"Santa Cruz","Ichilo","Parque Nacional Amboro, along Rio Saguayo, 1 km NE of entrance into first Andean foothills","-63.72","-17.65","400",NA,"DC.","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3241147","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","H. David","1259","2006","02","01","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3551139' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241147","Magnoliophyta","Myrtales",NA,"Antioquia","Amalfi","via Amalfi entre la vereda la Guyana y finca el Oso.","-75.12","6.78","1200",NA,"DC.","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3241139","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","J. L. Luteyn","11749","1987","10","24","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3551131' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241139","Magnoliophyta","Myrtales",NA,"Antioquia","San Rafael","Remnant forest with many palms along road 4.8 km east of San Rafael","-75.03","6.27","1040",NA,"DC.","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3241158","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","Rusby","94","1896","04","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3551150' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241158","Magnoliophyta","Myrtales",NA,NA,NA,"Sacupana, lower Orinoco River",NA,NA,NA,NA,"DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","03376563","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","C. Maldonado","4212","2008","11","12","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3710686' target='other'> <mi>dwc_moreinfo</mi></a>","NY03376563","Magnoliophyta","Myrtales",NA,"La Paz","Sud Yungas","Chulumani, Comunidad de Huancane. Carretera Huancane-San Isidro. A 18 km de Huancane.","-67.8297","-16.565","2273",NA,"DC.","2273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3241141","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","R. Callejas","5799","1987","11","22","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3551133' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241141","Magnoliophyta","Myrtales",NA,"Antioquia","Mutatá","8-20 Kms. south de Mutatá en la vía a Dabeiba, Alto de Echeverri, bosques a margen derecha de la vía, bht/bmht.","-76.5","7.25","210",NA,"DC.","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3241118","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","M. Nee","51591","2000","11","20","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3550938' target='other'> <mi>dwc_moreinfo</mi></a>","NY03241118","Magnoliophyta","Myrtales",NA,"Santa Cruz","Ichilo","6 km SW of Villa San Germán, south side of Río Moile, opposite Campamento Moile of Parque Nacional Amboró","-64.13","-17.4","275",NA,"DC.","275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 03:04:00-03","NY","NYBG","01538807","PreservedSpecimen","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","J. Korning","47637","1986","02","01","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1820652' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538807","Magnoliophyta","Myrtales","J. Korning","Napo",NA,"Añangu, NW corner of the Parque Nacional Yasuní. On permanent study plot S of SEF point 51, on the highest plateau in the area.","-76.37","-0.55","355","NY01538807_01",NA,"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
