"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00500989","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","E. P. Heringer","17074","1978","04","24","South America","Brazil","Distrito Federal","Brasília","Trevo Unaí - Recor","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500989","NY00500989_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00500987","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","L. Riedel","2225","1834","05",NA,"South America","Brazil","São Paulo",NA,"[illegible word] Araracuara u Franca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500987","NY00500987_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857925","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","E. P. Heringer","17074","1978","04","24","South America","Brazil","Distrito Federal","Brasília","Trevo de Unaí - Recor.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857925","NY00857925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00500988","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","L. Riedel","2225","1834","05",NA,"South America","Brazil","São Paulo",NA,"Araracoara Franca.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500988","NY00500988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00857926","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","tenuifolius","Cyanocephalus tenuifolius","(Epling) Harley & J.F.B.Pastore","D. R. Hunt","5466A","1966","05","13","South America","Brazil","Distrito Federal","Brasília","Near Palace Hotel.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857926","NY00857926_01","900","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:42-03","NBC","NL-BOTANY","U.1405672","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Hunt DR; Ferreira Ramos J",NA,"1966","05","13","Southern America","Brazil",NA,NA,"Brasilia D.F. : Campo cerrado near Palace Hotel. Red soil. Central Brazilian plateau, States of Minas Gerais, Goias, and Brasilia, D.F.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1405672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1405672","NL-U1405672",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:10-03","UNICAMP","UEC","5759","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Ratter, JA; Fonseca, SF","2890","1976","04","12",NA,"Brazil","Distrito Federal","Brasília","Fazenda Água Limpa (University of Brasília field station), near Vargem Bonita, c. 18 Km SSW of Brasília Tv tower.","-47.9296989440918","-15.7797002792358",NA,"Perennial herb to 90 cm tall. Corollas cream.; In campo limpo.","UEC043772","UEC043772",NA,NA,NA,"Harley, RM","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:10-03","UNICAMP","UEC","5770","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Leitão Filho, HF","1469","1975","03","04",NA,"Brazil","São Paulo","Itirapina","Entrada da cidade.","-47.8199996948242","-22.25",NA,"Subarbusto de até 1.60 metro; folhas rígido-coriáceas, flores lilases bem claras.; Cerrado.","UEC043773","UEC043773",NA,NA,NA,"Leitão Filho, HF","22843","auto","1975","03","12",NA,NA,NA,NA,NA
"9","2021-03-01 16:32:10-03","UNICAMP","UEC","5700","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Leitão Filho, HF; Yamamoto, K; Toledo, DV; Vanucci, AL","10095","1979","05","17",NA,"Brazil","São Paulo","Luís Antônio","Estação Experimental do Instituto Florestal.","-47.7000007629395","-21.5499992370605",NA,"Subarbusto até 1.5 m, com aroma forte e desagradável; flores em capítulo lilás-claro, nativo.","UEC075329","UEC075329",NA,NA,NA,"Harley, RM","26872","auto","2005","02","15",NA,NA,NA,NA,NA
"10","2020-12-21 16:30:21-03","MBM","MBM","297320","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Souza, V.C.; et al.; et al.","11998","1996","07","06","Southern America","Brazil","Minas Gerais","Diamantina","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"MBM297320","MBM297320",NA,NA,NA,"Harley, R.M.","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-27 22:06:06-03","MNHN","RECOLNAT_MNHN_P","P00737349","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Smith, H.H.",NA,NA,"11",NA,NA,"Colombia",NA,NA,"Santa Marta",NA,NA,"hb","Reçu le 19 décembre 1903 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737349' target='other'> <mi>dwc_moreinfo</mi></a>","P00737349","P00737349_01","1000",NA,NA,"Epling",NA,NA,NA,NA,NA,"1373",NA,NA,NA,NA
"12","2015-09-04 08:24:25-03","MNHN","RECOLNAT_MNHN_P","P03001271","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","tenuifolia","Hyptis tenuifolia","Epling","Philcox, D.",NA,"1968","5","1",NA,"Brasil","Distrito Federal","Brasília","Federal District. Rio Paranóa.","-47.9296989440918","-15.7797002792358","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03001271' target='other'> <mi>dwc_moreinfo</mi></a>","P03001271","P03001271_01",NA,NA,NA,NA,"70570","auto",NA,NA,NA,"4822",NA,NA,NA,NA
