"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","recordNumber","continentOcean","stateProvince","typeStatus","individualCount","phylum","class","order","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2015-09-04 09:39:04-03","MNHN","RECOLNAT_MNHN_P","P04367376","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H.Gentry","Sandwith, N.Y.","1599","1937","9","25","Guiana","Mazaruni Station.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04367376' target='other'> <mi>dwc_moreinfo</mi></a>","P04367376","P04367376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","1019411","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H. Gentry","A. Castellanos",NA,"1964","8",NA,"Brazil","Barao de Grajau e Sao Jose de Pates.",NA,NA,NA,NA,"Plantae","A. Gentry (MO)","Castellanos 25351","South America","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","1019419","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H. Gentry","A. Castellanos|Apparicio P. Duarte",NA,"1964","8","3","Brazil","Entre Barao do Grajau e S. Joao dos Patos.",NA,NA,NA,NA,"Plantae","A. Gentry, 1979 (MO)","Castellanos 619","South America","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2012-02-07 17:04:00-02","MO","MOBOT","1019423","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H. Gentry","George Gardner",NA,"1839","8",NA,"Brazil","Banks of the Gurgea, Piauhy.",NA,NA,NA,NA,"Plantae","A. H. Gentry","Gardner 2679","South America","Piauí","Type","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:15:26-03","UEFS","HUEFS","135954","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H.Gentry","Barros, R.",NA,"2007","03","28","Brasil","PARNA Serra das Confusões-Barreiro.",NA,NA,"HUEFS0135954","HUEFS0135954","Plantae","M.M.Silva-Castro","2915",NA,"Piauí",NA,NA,"Angiospermae","Asteranae","Lamiales","2015","06","Guariba",NA,NA,NA,NA,NA
"6","2021-03-04 11:15:28-03","UEFS","HUEFS","202477","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.Gentry","Rocha, L.",NA,"2013","05","05","Brasil","BA 135, antes 35 Km de Formosa do Rio Preto, pouco após o povoado entroncamento.",NA,NA,"HUEFS0202477","HUEFS0202477","Plantae","F.Firetti-Leggieri","485",NA,"Bahia",NA,NA,"Angiospermae","Asteranae","Lamiales","2014","10","Santa Rita de Cássia","-44.91","-11.745833","44W54'36''","11S44'45''",NA
"7","2019-10-07 09:15:26-03","UEFS","HUEFS","200495","PreservedSpecimen","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H.Gentry","Rapini, A.",NA,"2013","04","27","Brasil","Estrada para Formosa do Rio Preto",NA,NA,"HUEFS0200495","HUEFS0200495","Plantae","F.Firetti-Leggieri","2012",NA,"Bahia",NA,NA,"Angiospermae","Asteranae","Lamiales","2014","10","Barreiras","-44.8825","-11.439722","44W52'57''","11S26'23''",NA
"8","2016-08-23 10:58:55-03","NHMLondon","NHM-LONDON-BOT","BM000992353","S","Bignoniaceae","Anemopaegma","mirabile","Anemopaegma mirabile","(Sandwith) A.H.Gentry","George Gardner; b.1812; d.1849; Gardner",NA,"1839","08",NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/9fc8bf980e03b9484685470e2afa5e86a5f2293a/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Plantae","Alwyn Howard (Al) Gentry; b.1945; d.1993; A.H.Gentry","2679",NA,"Piauí","Isotype",NA,NA,NA,NA,"1975",NA,NA,"-42.572108","-7.256631","-42.572108","-7.256631","NHMUK:ecatalogue:483161"
