"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","maximumElevationInMeters","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02012833","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","M. Reginato","1343","2012","02","15","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus","-44.607312","-22.459068","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499689' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012833","NY02012833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","520619","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","G. Gardner","393","1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Organ Mountains","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520619","NY00520619_01","C. A. Cogniaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","520618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","G. Gardner","393","1837",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","Label has II, either Month or part of coll. no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","520622","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","Martii Herbar. Florae Brasil.","949","1841",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520622","NY00520622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","520617","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","G. Gardner","393","1837",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgaos","-43.073169","-22.496706","sheet","Label has II, either Month or part of coll. no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520617","NY00520617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01874836","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","M. Reginato","1343","2012","02","15","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus","-44.607312","-22.459068","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085154' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874836","NY01874836_01","M. Reginato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02691530","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","F. B. Matos","2201","2013","02","11","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para os Três Picos.","-44.6011","-22.4308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2973269' target='other'> <mi>dwc_moreinfo</mi></a>","NY02691530","NY02691530_01",NA,"1160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02098749","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","M. Reginato","1129","2010","01","22","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Estrada para o Sítio Sopronitis","-42.5311012268066","-22.2819004058838","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084736' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098749","NY02098749_01","M. Reginato",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:23-03","UFRJ","RFA","4774","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","(DC.) Cogn.","P. Occhioni","816","1947","03","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Maromba","-44.5633010864258","-22.4960994720459",NA,"Árvore pequena, Flor branca","RFA25261",NA,"J.J. Wurdack",NA,"19648","auto","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:20:10-03","UFBA","ALCB","11716","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Serra do Caraça e de outros lugares de Minas, S. Paulo e Rio",NA,NA,NA,NA,"ALCB015458","ALCB015458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:31:10-03","IAP","PACA-AGP","52627.1","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","viridiflava","Leandra viridiflava","Brade","Rambo, B.",NA,"1951","07","20",NA,"Brasil","RS","São Francisco de Paula","Serra do Faxinal","-50.5835990905762","-29.4480991363525",NA,"Sem material. Habitat: in dumetosis rupestribus Fenofase: flor","PACA052627-1",NA,"Emrich-Rambo",NA,"76715","auto","1954","Magnoliatae","08","27",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:31:10-03","IAP","PACA-AGP","54055","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","viridiflava","Leandra viridiflava","Brade","Rambo, B.",NA,"1953","02","20",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: flor","PACA054055",NA,"Brade",NA,"76715","auto","1954","Magnoliatae","08","27",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:39:30-03","UFJF","CESJ","61653","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","D.S. Santiago; M.A. Manhães","412","2013","01","25","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária (Cambuí).","-44.8899993896484","-21.9589004516602",NA,"Arvoreta, ca. 2 m. Flores alvas.","CESJ061653",NA,"D.S. Santiago",NA,"29865","auto","2013",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:39:30-03","UFJF","CESJ","63366","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","L. Menini Neto; S.G. Furtado","1118","2013","02","10","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Interior de floresta ombrófila densa e mista, entre 1800 e 2000 m.s.m.","-44.8899993896484","-21.9589004516602",NA,"Arbusto, ca. 1,5m alt., no interior de floresta ombrófila mista, próximo ao curso d'água. Flores e frutos alvos.","CESJ063366",NA,"D.S. Santiago","1800","29865","auto","2013",NA,"09",NA,"2000",NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:39:30-03","UFJF","CESJ","61091","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","D.S. Santiago; L. Menini Neto; S.G. Furtado","344","2012","12","07","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, No interior da Mata de Araucária (Serra do Cambuí).","-44.8899993896484","-21.9589004516602",NA,"Árvore, ca. 2 m. Frutos imaturos verdes.","CESJ061091",NA,"D.S. Santiago",NA,"29865","auto","2013",NA,"06",NA,NA,NA,NA,NA,NA,NA,NA
"16","2014-10-14 15:56:52-03","BS","M","M-0173418","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in sylvis caeduis ad M. Serra da Carassa dictum. Provinciae Min. Gener.",NA,NA,NA,NA,"M0173418",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA
"17","2014-10-14 15:56:52-03","BS","M","M-0173419","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","DC.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in sylvis caeduis, locis apricuisculis. Provinciae Min. General",NA,NA,NA,NA,"M0173419",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA
"18","2016-07-29 11:24:05-03","MNHN","RECOLNAT_MNHN_P","P00117190","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","Martius, C.F. von",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117190' target='other'> <mi>dwc_moreinfo</mi></a>","P00117190","P00117190_01","Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,"949",NA,NA,NA,NA
"19","2015-09-04 22:35:27-03","MNHN","RECOLNAT_MNHN_P","P05320694","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","Glaziou, A.",NA,"1888","1","22",NA,"Brasil","Rio de Janeiro",NA,"Alto Macahé.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05320694' target='other'> <mi>dwc_moreinfo</mi></a>","P05320694","P05320694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16942",NA,NA,NA,NA
"20","2015-09-04 22:35:27-03","MNHN","RECOLNAT_MNHN_P","P05320695","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","Claussen, P.",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05320695' target='other'> <mi>dwc_moreinfo</mi></a>","P05320695","P05320695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1628",NA,NA,NA,NA
"21","2015-09-04 22:35:27-03","MNHN","RECOLNAT_MNHN_P","P05320696","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","quinquenodis","Leandra quinquenodis","Cogn.","Glaziou, A.",NA,"1884","2","22",NA,"Brasil","Rio de Janeiro",NA,"Gandarela.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05320696' target='other'> <mi>dwc_moreinfo</mi></a>","P05320696","P05320696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14775",NA,NA,NA,NA
