"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","individualCount","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","885525","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardner) H.Rob.","S. A. Mori","14295","1981","06","10","South America","Brazil","Bahia","Lençóis","Along BR 242, ca. 15 km NW of Lençois at km 225.","-41.3897","-12.5633","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885525","NY00885525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:43:26-03","UNEB","HUNEB","13183","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardn.) H.Rob.","Guedes, M.L.","16881ALCB 93055","2009","12","17",NA,"Brasil","Bahia",NA,"Chapada Diamantina. Estrada Cascavel para Joõa Correia","-41.458333","-13.298611","1030","1030",NA,"Campos Gerais","HUNEB0013183",NA,"Dicotyledoneae","41W27'30''","13S17'55''",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:26-03","UNEB","HUNEB","14317","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardn.) H.Rob.","Bastos, N.G.","200","2011","05","18",NA,"Brasil","Bahia","Andaraí","Xique-xique de Igatu","-41.321667","-12.898611","762","762",NA,NA,"HUNEB0014317",NA,"Dicotyledoneae","41W19'18''","12S53'55''",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-19 15:43:26-03","UNEB","HUNEB","14318","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","(Gardn.) H.Rob.","Bastos, N.G.","201","2011","05","18",NA,"Brasil","Bahia","Andaraí","Xique-xique d eIgatu","-41.323056","-12.898611","783","783",NA,NA,"HUNEB0014318",NA,"Dicotyledoneae","41W19'23''","12S53'55''",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:14-03","EAO","IAN","13810","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","fagifolia","Vernonia fagifolia","Gardner","Magalhães, MG","3303","1942","07","22","Southern America","Brasil","Minas Gerais","Belo Horizonte","Brejo. Engenho Nogueira.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1m de altura. Pouco frequente.","IAN013810","IAN013810 IAN013810_e",NA,NA,NA,"Barreto, M","17082","auto",NA,NA,NA,NA,NA
"6","2021-03-30 12:35:14-03","EAO","IAN","104626","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","fagifolia","Vernonia fagifolia","Gardner","Magalhães, MG","3304","1942","07","23","Southern America","Brasil","Minas Gerais","Belo Horizonte","Lugar pantanoso (brejo). Engenho Nogueira.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 1-1.5m de altura.","IAN104626",NA,NA,NA,NA,"Barreto, M","17082","auto",NA,NA,NA,NA,NA
"7","2019-10-09 11:11:33-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","Gardner","Hind, DJN; Bautista, HP; M.M. da Silva; Queiroz, LP de","PCD&nf;4045","1996","11","04","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Proximidades do riacho Toborou","-41","-13","1100","1100",NA,"2,00 m, ramos com indumento castanho.",NA,NA,NA,"-41","-13","Hind, DJN",NA,NA,"1996","11",NA,NA,NA
"8","2019-10-09 11:11:33-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","Gardner","Hind, DJN; Bautista, HP; M.M. da Silva; Queiroz, LP de","PCD&nf;4050","1996","11","05","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina","-41.883333","-13.05","1300","1300",NA,"2,50 m.; Substrato gramíneo-lenhoso com árvores esparsas ou aglomerados arbóreos. Arenoso.",NA,NA,NA,"-41.883333","-13.05","Hind, DJN",NA,NA,"1996","11",NA,NA,NA
"9","2019-10-09 11:11:33-03","UFBA","ALCB","118943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","Gardner","Harley, RM","27204","1988","12","11","Southern America","Brasil","Bahia","Água Quente","Pico das Almas, vale ao N-O da Serra do Pau Queimad. Próximo a Casa Folheta.","-42","-13.483333",NA,NA,NA,"ca. 4-5m alt. Brácteas verdes, flores lilás, pápus alvo.",NA,NA,NA,"-42","-13.483333","Guedes, ML",NA,NA,"2018","02",NA,NA,NA
"10","2019-10-09 11:11:33-03","UFBA","ALCB","118942","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonanthura","fagifolia","Vernonanthura fagifolia","Gardner","Harley, RM; Pirani, JR; Stannard, B; Cordeiro, I; Kameyama, C","24604","1987","02","21","Southern America","Brasil","Bahia","Rio de Contas","Próximo ao Pico das Almas, Queiroz, orla de mata ciliar, heliófila.","-41.8114013671875","-13.5789003372192",NA,NA,NA,"ca. 4-5m alt. Brácteas verdes, flores lilás, pápus alvo.",NA,NA,NA,NA,NA,"Guedes, ML","49773","auto","2018","02",NA,NA,NA
