"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:10-03","UNESC","CRI","10932","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","San Zatta Custódio","2011","09","02","San Zatta Custódio","2011","09","02","Brasil","Santa Catarina","Grão Pará","Parque Estadual da Serra Furada","-49.212778","-28.186667","49º12'46''W","28º11'12''S","Habito: Arborescente","CRI010957","CRI010957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:10-03","UNESC","CRI","14545","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","A. L. Gasper","2010","04","12","S. Dreveck; F. E. Carneiro","2010","03","15","Brasil","Santa Catarina","São Francisco do Sul","Vila da Glória.","-48.69","-26.19","48º41'24''W","26º11'24''S","Planta doada pelo Herbário FURB (22962) Habito: Herbácea","CRI013830","CRI013830","430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:10-03","UNESC","CRI","9781","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","A. L. de Gasper",NA,NA,NA,"S. Dreveck; F. E. Carneiro","2009","11","26","Brasil","Santa Catarina","Joinville","Comfloresta.","-49.140833","-26.187222","49º8'27''W","26º11'14''S","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arborescente","CRI008115","CRI008115_1 CRI008115_2","822","822","1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","9787","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","A. L. de Gasper","2010","05","11","A. Stival-Santos; D. Meyer & S. Silveira","2010","04","20","Brasil","Santa Catarina","Major Gercino",NA,"-48.951667","-27.418611","48º57'6''W","27º25'7''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arborescente","CRI008080","CRI008080","708","708","2503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:10-03","UNESC","CRI","13763","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Alexandre Medeiros","2018","01","19","Alexandre Medeiros","2018","01","19","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,"Habitat: Terrestre Habito: Arbóreo","CRI012370",NA,NA,NA,"858","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:10-03","UNESC","CRI","10609","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Aline Votri Guislon & Renato colares","2017","09","11","Alexandre Medeiros","2017","07","19","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 490.","CRI010816",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1832","S","Plantae","Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","43°39.571'","19°48.952'","254",NA,NA,"1256","1256",NA,"22051","auto","Pterifophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","148654","PreservedSpecimen","Plantae","Cyatheaceae","Alsophila","corcovadensis","Alsophila corcovadensis","Fée",NA,NA,NA,NA,"A. F. M. Glaziou","1867","08","19","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148654","NY00148654_01",NA,NA,"1710",NA,NA,"Pteridophyta","Cyatheales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","148663","PreservedSpecimen","Plantae","Cyatheaceae","Alsophila","decipiens","Alsophila decipiens","Fée",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148663","NY00148663_01",NA,NA,"5244",NA,NA,"Pteridophyta","Cyatheales","syntype fragment","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","148657","PreservedSpecimen","Plantae","Cyatheaceae","Alsophila","decipiens","Alsophila decipiens","Fée",NA,NA,NA,NA,"A. F. M. Glaziou","1872","07","10","Brazil","Rio de Janeiro",NA,"Route de l'Itatiaia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148657","NY00148657_01",NA,NA,"5244",NA,NA,"Pteridophyta","Cyatheales","isosyntype","South America","sheet",NA,NA,NA,NA,NA,NA
