"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus"
"1","2021-04-05 14:25:06-03","UNESC","CRI","12246","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Soller, A","2011","04","04","Cadorin, TJ; Grosch, B & Zimmermann, R","1658","2010","03","16","Brasil","Santa Catarina","Florianópolis","Pântano do Sul (Parque Municipal da Lagoinha do Leste)","-48.4925","-27.775278","48º29'33''W","27º46'31''S","46","46","Fruto Rosa. Doação Herbário FURB (23013) Habito: Epífita","CRI010428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","214594","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.",NA,NA,NA,NA,"M. W. Kimnach","s.n.","1960","03","15","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214594","Magnoliophyta","Caryophyllales","South America","sheet","NY00214594_01",NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","33202","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Lombardi, J.A",NA,NA,NA,"Rizzini, C.M.","353","1987","01","20","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, praia grande",NA,NA,"9999","9999",NA,NA,NA,"BOTU033202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:43-03","UFRJ","RFA","21761","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Julio Antonio Lombardi","1988","04","25","C.M. Rizzini; A.A.M. Barros 45; C.P. Bove 64","353","1987","01","20","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia. Praia Grande. Barranco a beira da praia.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Epífita. frutos rosa pálidos","RFA17985",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"5","2019-12-04 15:24:59-03","PUCPR","HUCP","3483","S","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Kersten, RA","2010","04","26","Souza, WS; Britez, RM","1777",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00009503","Eudicotiledonea",NA,NA,NA,"HUCP00009503","24916","auto",NA,NA,NA,NA
"6","2019-10-09 11:12:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haworth","Zappi, DC","2005",NA,NA,"Hatschbach, G; Silva, JM; Goldenberg, R","73844","2002","09","26","Brasil","Paraná","Guaraqueçaba","Tagaçaba, rodovia para Caetê","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"epífita, pendente. Flor alva.",NA,"Dicotyledon",NA,"Southern America",NA,NA,"37295","auto",NA,NA,NA,NA
"7","2020-11-04 11:04:12-03","ESALQ","ESA","22249","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","519.0","1995","02","15","Brasil","São Paulo","Mamparra","Reserva Floresta Carlos Botelho, a 2 Km da sedinha, beira de estrada.",NA,NA,NA,NA,NA,NA,"epífita, frutos róseos esbranquiçados.","ESA022249","Magnoliophyta",NA,NA,NA,"ESA022249",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:12-03","ESALQ","ESA","17927","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.","Aona, L.Y.S.",NA,NA,NA,"Miyagi, P.H. et al.","68.0","1994","09","06","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"ESA017927","Magnoliophyta",NA,NA,NA,"ESA017927","37574","auto",NA,NA,NA,NA
"9","2020-11-04 11:04:12-03","ESALQ","ESA","95286","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haw.",NA,NA,NA,NA,"Destefani, A.C.C. et al.","122.0","2005","03","24","Brasil","São Paulo","Barra do Turvo",NA,"-48.5046997070312","-24.7563991546631",NA,NA,NA,NA,NA,"ESA095286","Magnoliophyta",NA,NA,NA,"ESA095286","38172","auto",NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","71873","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","grandiflora","Rhipsalis grandiflora","Haworth","Oliveira, A. & Maltez, H.M.",NA,NA,NA,"Sampaio, D.","98.0","1999","01","07","Brasil","São Paulo","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA071873","Magnoliophyta",NA,NA,NA,"ESA071873","17990","auto",NA,NA,NA,NA
