"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","imagecode","yearIdentified","monthIdentified","dayIdentified","individualCount","previousCatalogNumber"
"1","2015-02-10 11:45:52-02","BM","SOLANACEAE_SOURCE_BR","37635","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Ando, T.; Hashimoto, G.; Buto, K.","B172","1990","11","01","Southern America","Brazil","Santa Catarina","Bom Jardim da Serra","Route SC56, 3km E of Bom Jardim da Serra to the Crest of Serra Geral.","-49.600833","-28.3475","-49.600833","-28.3475","1300","1300","Pollen sample taken for BM(NH) collection","BM000941558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-02-10 11:45:52-02","BM","SOLANACEAE_SOURCE_BR","47524","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Ando, T.; Hashimoto, G.; Buto, K.","B170","1990","11","01","Southern America","Brazil","Santa Catarina","Bom Jardim da Serra","Rout SC56, 1km west of Bom Jardin da Serra to Mantiquiera.","-49.6247","-28.3369",NA,NA,"1240","1240",NA,"BM000992199","Stehmann, J.R.","isotype","32577","auto",NA,NA,NA,NA,NA,NA
"3","2015-02-10 11:45:52-02","BM","SOLANACEAE_SOURCE_BR","37636","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Ando, T.; Hashimoto, G.; Buto, K.","B167","1990","11","01","Southern America","Brazil","Santa Catarina","Bom Jardim da Serra","Route SC56, 1km SE of Mantiqueira to Bom Jardim da Serra.","-49.6247","-28.3369",NA,NA,"1350","1350",NA,"BM000941559",NA,NA,"32577","auto",NA,NA,NA,NA,NA,NA
"4","2015-02-10 11:45:52-02","BM","SOLANACEAE_SOURCE_BR","37637","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Ando, T.; Hashimoto, G.; Buto, K.","B169","1990","11","01","Southern America","Brazil","Santa Catarina","Bom Jardim da Serra","Route SC56, 5km SE of Mantiqueira to Bom Jardim da Serra.","-49.6247","-28.3369",NA,NA,"1300","1300",NA,"BM000941560",NA,NA,"32577","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:20:00-03","ESALQ","ESA","48614","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis",NA,"Stehmann, J.R. et al.","1533.0","1994","11","03",NA,"Brasil","Santa Catarina","Bom Jardim da Serra",NA,"-49.624698638916","-28.3369007110596",NA,NA,NA,NA,NA,"ESA048614",NA,NA,"32577","auto","ESA048614",NA,NA,NA,NA,NA
"6","2021-03-01 16:41:34-03","UNICAMP","UEC","77923","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1808","1995","12","08",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","Estrada para Serra do Rio do Rastro, km 50.","-49.381944","-28.3925","-49.381944","-28.3925","1410","1410","Erva com prostrados; em barranco na beira da estrada; corola campanulada, magenta.","UEC047805","Stehmann, JR",NA,NA,NA,"UEC047805",NA,NA,NA,NA,NA
"7","2021-03-01 16:41:34-03","UNICAMP","UEC","77922","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1812","1995","12","08",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","Estrada para Bom Jesus.","-49.646944","-28.425556","-49.646944","-28.425556","1380","1380","Erva com prostrados, decumbentes, em barranco na beira da estrada; corola campanulada, magenta; estigma e estames maiores atingindo a mesma altura.","UEC047810","Stehmann, JR",NA,NA,NA,"UEC047810",NA,NA,NA,NA,NA
"8","2021-03-01 16:41:34-03","UNICAMP","UEC","77924","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1809","1995","12","08",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","Estrada para Bom Jesus.","-49.6275","-28.351111","-49.6275","-28.351111","1380","1380","Erva com prostrados, decumbentes, em barranco na beira da estrada; corola campanulada, magenta.","UEC047808","Stehmann, JR",NA,NA,NA,"UEC047808",NA,NA,NA,NA,NA
"9","2021-03-01 16:41:34-03","UNICAMP","UEC","78081","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Stehmann, JR; Borba, EL; Ippolito, A; Reis, C","1810","1995","12","08",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","Estrada para Bom Jesus.","-49.6275","-28.351111","-49.6275","-28.351111","1380","1380","Erva com prostrados, decumbentes, em barranco na beira da estrada; corola campanulada, magenta.","UEC047809","Stehmann, JR",NA,NA,NA,"UEC047809",NA,NA,NA,NA,NA
"10","2021-03-01 16:41:34-03","UNICAMP","UEC","143258","S","Plantae","Magnoliopsida",NA,NA,"Solanaceae","Petunia","bonjardinensis","Petunia bonjardinensis","T.Ando & Hashim.","Moraes, MD","786","2005","11","12",NA,"Brazil","Santa Catarina","Bom Jardim da Serra","ca. 6 km de Bom Jardim da Serra p/ Lauro Miller.","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"Flores rosa escuro, centro roxo.; Solo turfoso, campo de altitude com Araucária.","UEC047802","Stehmann, JR",NA,"32577","auto","UEC047802","2011","09","13",NA,NA
