"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","10782","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","Vanilde Citadini-Zanette","2001","09","19","Robson dos Santos; Vanilde Citadini-Zanette & Alexandre S. Klein","2001","09","19","Brasil","Santa Catarina","Praia Grande","Cânion Itaimbezinho","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habito: Trepadeira","CRI013724","CRI013724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","387","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","Marcos Sobral",NA,NA,NA,"E. Bortolotto; C. A. Lopes e N. Zin","1987","10","27","Brasil","Santa Catarina","Içara",NA,"-49.300556","-28.713889","49º18'2''W","28º42'50''S",NA,"CRI005801","CRI005801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","14754","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","Teonildes S. Nunes","2020","06","28","Claudio Ricken","1998","08","09","Brasil","Santa Catarina","Forquilhinha",NA,"-49.472778","-28.748056","49º28'22''W","28º44'53''S","Habito: Trepadeira","CRI014079","CRI014079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:45-03","UNESC","CRI","8849","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.369701385498","-28.6774997711182",NA,NA,NA,"CRI005804","CRI005804","18248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:45-03","UNESC","CRI","13385","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","Alexandre Medeiros","2018","02","15","Alexandre Medeiros","2018","02","15","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 878. Flora branca/lilás. Habito: Liana","CRI011992",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:17-03","E","E","274891","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis",NA,NA,NA,NA,NA,"Howorth, R.","1999","06","09","VE",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00274891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274891",NA,NA,NA,"97","W. Tropical South America","herbarium specimen of unspecif","BGBASE:287631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:17-03","E","E","85666","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis",NA,NA,NA,NA,NA,"Davis, Peter H.","1976","09","10","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00085666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085666",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:94957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:17-03","E","E","324940","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis",NA,NA,NA,NA,NA,"Davis, P.H., Cruz, N.D. Da, Semir, J., Felippe, G.M., Kinoshita, L.S. & Shepherd, G.J.","1976","09","30","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00324940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324940",NA,NA,NA,"3123","E. Tropical South America","herbarium specimen of unspecif","BGBASE:346212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1550593","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","A. C. Cervi",NA,NA,NA,"G. T. Prance","1977","11","25","Brazil","Pará",NA,"BR 163, Cuiabá-Santarém Highway. Km 1414, beside Rio Itapacurá.","-55.9712327","-4.6731459",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1822544' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550593","NY01550593_01",NA,NA,"25767","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1550509","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","A. K. Hansen",NA,NA,NA,"A. P. Duarte","1946","12","03","Brazil","Minas Gerais","Carandaí","Carandaí, Fazenda do Salgado.","-43.8064","-20.9536",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1821415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550509","NY01550509_01",NA,NA,"786","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
