"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:43:19-03","E","E","104947","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","Gottsberger, I.S. & Gottsberger, G.K.","1982","11","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114648","<a href=http://data.rbge.org.uk/herb/E00104947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","447967","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","F. C. Hoehne","1932","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447967","Magnoliophyta","Sapindales","Mart.","T. D. Pennington","29665","São Paulo","Sao Paulo","Parque do Estado.","-46.621883","-23.654505","NY00447967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","447966","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","L. A. Mattos Silva","1980","09","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447966","Magnoliophyta","Sapindales","Mart.","P. Acevedo-Rodríguez","1128","Bahia","Ilhéus","Fazenda Barra do Manguinho. Ramal com entrada no km 12 da Rodovia Pontal/Olivença, lado direito. Area de Piaçava, 3 km a 0 da entrada.","-39.0492","-14.7892","NY00447966_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","447946","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","M. R. de V. Barbosa","1989","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447946","Magnoliophyta","Sapindales","Mart.",NA,"s.n.","Rio de Janeiro","Piraí","Represa de Ribeirao das Lajes.","-43.8981","-22.6294","NY00447946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447981","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","J. L. Hage","1981","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447981","Magnoliophyta","Sapindales","Mart.","P. Acevedo-Rodríguez","868","Bahia","Una","Ramal à esquerda no km 14 da Rod. Una/Canavieiras. BA-001. Comandatuba.","-38.9882174","-15.3561577","NY00447981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447972","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","F. C. Hoehne","1932","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447972","Magnoliophyta","Sapindales","Mart.","F. C. Hoehne","s.n.","São Paulo","Sao Paulo","Nativa no Parque do Estado e Jardim Botânico.","-46.621883","-23.654505","NY00447972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447959","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","R. P. Belém","1966","07","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447959","Magnoliophyta","Sapindales","Mart.","T. D. Pennington","2464","Bahia","Belmonte",NA,"-38.88","-15.86","NY00447959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685943","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","S. L. Jung-Mendaçolli","1977","05","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685943","Magnoliophyta","Sapindales","Mart.","F. de Barros; M. A. V. da Cruz-Barros","17","São Paulo","Sao Paulo","São Paulo, capital, Parque Estadual das Fontes do Ipiranga.","-46.621883","-23.654505","NY00685943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","447988","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","J. N. Rose","1915","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447988","Magnoliophyta","Sapindales","Mart.","T. D. Pennington","20609","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya.","-44.5631","-22.4961","NY00447988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","447944","PreservedSpecimen","Plantae","Sapindaceae","Cupania","oblongifolia","Cupania oblongifolia","D. S. Pedrosa","1983","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447944","Magnoliophyta","Sapindales","Mart.","H. de S. Barreiros","1041","Rio de Janeiro","Angra dos Reis","Res. Biológica Pr. Sul.","-44.3181","-23.0069","NY00447944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
