"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","order"
"1","2019-11-25 16:50:58-03","UFBA","ALCB","136567","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Moraes, PLR de","Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4641","2015","01","25","Southern America","Brasil","Espírito Santo","Santa Tereza","Reserva Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617","23813","Tree 20 m. flowers yellowish, fruits immature brownish with lenticels.","ALCB066189","ALCB066189","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:03-03","ESALQ","ESA","65408","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","J.B. Baitello","Moraes, P.L.R.","Kollmann, L. et al.","1334.0","1989","07","19",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"ESA065408",NA,"auto","2002","01","29",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:12:03-03","ESALQ","ESA","65409","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","J.B. Baitello","Barbosa, T.D.M.","Kollmann, L. et al.","337.0","1989","06","28",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"ESA065409",NA,"auto","2008","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:03-03","ESALQ","ESA","65415","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","J.B. Baitello","Moraes, P.L.R.","Kollmann, L. et al.","1416.0","1998","12","22",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,"ESA065415",NA,"auto","2002","01","29",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:32:36-03","UNICAMP","UEC","132186","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Kollmann, L; Bausen, E","1623","1999","01","20",NA,"Brazil","Espírito Santo","Santa Maria De Jetibá","Rio Nove, terreno de L. Kollmann.","-40.715694","-20.102278",NA,"Árvore 10 m. DAP 24 cm. Fuste 5 m. Flores verdes.","UEC079985","UEC079985",NA,"2008","10","20","-40.715694","-20.102278","850","850",NA,NA,NA,NA
"6","2021-03-01 16:32:36-03","UNICAMP","UEC","132667","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Demuner, V; Bausen, E; Pizziolo, W","791","2000","02","24",NA,"Brazil","Espírito Santo","Santa Maria De Jetibá","Rio Nove, terreno de L. Kollmann.","-40.715694","-20.102278",NA,"Árvore 13 m, DAP 35 cm, fuste 7 m, fruto cor marrom. Int. de mata.","UEC079981","UEC079981",NA,"2008","10","20","-40.715694","-20.102278",NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:36-03","UNICAMP","UEC","132398","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Boone, W; Bausen, E; Pizziolo, W; Molino, JL","1334","1989","07","19",NA,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia; lado direito do rio Timbuí.","-40.6002998352051","-19.9356002807617","23813","Árvore 13 m. Fuste 10 m x 40 cm. Frutos verdes. Heliófila. Mata primária.","UEC061018","UEC061018","auto","2008","10","20",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:36-03","UNICAMP","UEC","133154","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Kollmann, L; Bausen, E; Pizziolo, W","1416","1998","12","22",NA,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha do sagui. (área 3, parc 14, num 401).","-40.6002998352051","-19.9356002807617","23813","Árvore 15 m. DAP 22 cm. Fuste 12 m. Frutos marrons. Flores verdes.","UEC061014","UEC061014","auto","2008","10","20",NA,NA,"750","750",NA,NA,NA,NA
"9","2021-02-12 10:03:51-03","UNICAMP","UEC","150771","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Barbosa, TDM; Alves, FM","1025","2008","11","13",NA,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Trilha para o túmulo de A. Ruschi. Lado esquerdo. Próximo a ponte do Molino.","-40.6002998352051","-19.9356002807617","23813","Árvore 25 m. Com flores e frutos. Córte com pouco cheiro. Casca com pontuações negras.","UEC079987","UEC079987","auto","2008","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:32:36-03","UNICAMP","UEC","133158","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","cryptocarpa","Ocotea cryptocarpa","Baitello","Barbosa, TDM","Fernandes, HQB","2076","1986","10","23",NA,"Brazil","Espírito Santo","Santa Teresa","Rio Nove.","-40.6002998352051","-19.9356002807617","23813","Árvore mais de 10 m, flores verdes com perigônio amarelado. Vide xiloteca.; Mata de encosta em derrubada.","UEC079983","UEC079983","auto","2008","10","20",NA,NA,NA,NA,NA,NA,NA,NA
