"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02637420","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","E. B. Miranda","W. W. Thomas","11584","1997","07","17","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Along park road 1-2 km. east of path to peak and visitor center","-39.415","-16.8672","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153791' target='other'> <mi>dwc_moreinfo</mi></a>","NY02637420","NY02637420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","634295","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","J. J. Wurdack","J. G. Jardim","113","1993","04","15","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634295","NY00634295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","634298","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","S. A. Mori","S. A. Mori","9418","1978","03","04","South America","Brazil","Bahia","Vitória da Conquista","Km 2 da Rodovia BA 265, trecho Vitória da Conquista/Barra do Choça. Margem da Rodovia","-40.8392","-14.8661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634298","NY00634298_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","634302","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"P. K. H. Dusén","1918","1903","03","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634302","NY00634302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","517248","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"A. M. V. de Carvalho","4512","1994","04","26","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517248","NY00517248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","517967","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"W. W. Thomas","11496","1997","04","10","South America","Brazil","Bahia","Una","Reserva Biologica de Una, western side [27 km W of Una on road to Sao José, then 3.9 km N to Reserve via Fazenda Piedade, then 8 km E to sede].","-39.1414","-15.18","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517967","NY00517967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","634301","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","J. J. Wurdack","J. G. Jardim","791","1996","04","20","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una. Estrada que leva a sede da reserva, próximo a Picada do Principe","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634301","NY00634301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","634294","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","J. J. Wurdack","L. P. de Queiroz","2953","1992","12","08","South America","Brazil","Bahia","Castro Alves","Serra da Jibóia (= Serra da Pioneira)","-39.4719","-12.8531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634294","NY00634294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","634300","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","J. J. Wurdack","J. G. Jardim","32","1993","02","22","South America","Brazil","Bahia","Jacobina","Ca de 85 km na estrada Jacobina/Morro do Chapeu","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634300","NY00634300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02042725","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"S. C. de Sant'Ana","641",NA,NA,NA,"South America","Brazil","Bahia","Una","Una Biological Reserve: Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2192304' target='other'> <mi>dwc_moreinfo</mi></a>","NY02042725","NY02042725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02862399","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"L. Quintanilha","19","2012","05","04","South America","Brazil","Rio de Janeiro","Iguaba Grande","BR 106.","-42.189167","-22.850278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270546' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862399","NY02862399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","634299","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"A. M. V. de Carvalho","611","1981","04","19","South America","Brazil","Bahia","Ilhéus","Rodovia Ilhéus/Canaveieiras, km 33","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634299","NY00634299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1039296","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"J. E. Meireles","610","2009","06","23","South America","Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce. Aceiro.","-39.961174","-19.138199","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039296","NY01039296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","885845","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.","R. N. Damasceno","R. N. Damasceno","1260","1999","12","14","South America","Brazil","Rio de Janeiro","Rio das Ostras","Balneário das Garças.","-41.9447","-22.5269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885845","NY00885845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","517252","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Bredemeyera","kunthiana","Bredemeyera kunthiana","(A.St.-Hil.) Klotzsch ex A.W.Benn.",NA,"A. M. V. de Carvalho","4291","1993","07","27","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-991 Ilhéus/Una","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517252","NY00517252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
