"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907544","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral","H. S. Irwin","17730","1966","06","26","South America","Brazil","Goiás","Caiapônia","Córrego d'Anta, ca. 40 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","-51.8","-17.25","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907544","NY00907544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557845","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral","J. L. Hage","1221","1981","08","25","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra 1'","-39.04","-14.78","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557845","NY00557845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:53-03","EAO","IAN","26235","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN026235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:53-03","EAO","IAN","93717","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Proença, C","Glaziou, AFM","15327",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093717",NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:35-03","ESALQ","ESA","66267","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Silva, J.M. ; Kummrow, R.","294.0","1987","01","27",NA,"Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"ESA066267","ESA066267",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:35-03","ESALQ","ESA","67370","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis",NA,NA,"Silva, J.M.; Poliquesi, C.B.; Barbosa, E.","1666.0","1996","04","09",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"ESA067370","ESA067370",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034621","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral, 1999.","J. M. Silva; R. Kummrow.","294","1987","1","27",NA,"Brazil","Parana","Morretes","Veu de Noiva.","-48.8167","-25.4667",NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, 5m, flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0035111","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","L.R. Landrum, 1988.","J. Cordeiro; J.M. Silva","225","1986","2","5",NA,"Brazil","Parana","Morretes","Veu de Noiva.","-48.8167","-25.4667",NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore 3m; flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034620","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral, 1999.","J. M. Silva; C.B. Poliquesi, E. Barbosa.","1666","1996","4","9",NA,"Brazil","Parana","Piraquara","Serra Piramirim, Estrada Itupava.","-49.0667","-25.4333",NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, 4m, flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:36:19-03","UNICAMP","UEC","12256","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Monteiro, G","163","1979","08","22",NA,"Brazil","São Paulo","Rio Claro","Fazenda São José","-47.560001373291","-22.4099998474121",NA,NA,NA,"Árvore com ca. 8m de alt.; DAP=18cm. Flores brancas (esverdeadas).; Mata",NA,NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:36:19-03","UNICAMP","UEC","35527","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Pagano, SN","237","1980","08","21",NA,"Brazil","São Paulo","Rio Claro","Fazenda São José","-47.560001373291","-22.4099998474121",NA,NA,NA,"Árvore com 14m de alt.; DAP=30cm.; Mata",NA,NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-04 13:19:28-03","UDESC","LUSC","7996","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Silva, J.M.; Kummrow, R.","294","1987","01","27",NA,"Brasil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"LUSC006940","LUSC006940",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:53:53-03","UCS","HUCS","17631","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Silva, J.M.","294","1987","01","27",NA,"Brasil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708","900","900",NA,"árvore, 5m, flor alva; mata pluvial",NA,NA,"1999","30514","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-06-27 10:25:52-03","UFES","VIES","14331","S","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Zamborlini, F.","232","2004","01","07",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"VIES014331","VIES014331",NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:36:37-03","MBM","MBM","107171","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","225","1986","02","05","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM107171","MBM107171",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:36:37-03","MBM","MBM","107156","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Silva, J.M.; Poliquesi, C.B.; Barboza, E.; Poliquesi, C.B.; Barboza, E.","1666","1996","04","09","Southern America","Brazil","Paraná","Piraquara","Serra Piramirim, estrada Itupava","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"MBM107156","MBM107156",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:36:37-03","MBM","MBM","117673","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, M.","Silva, J.M.; Kummrow, R.; Kummrow, R.","294","1987","01","27","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM117673","MBM117673",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:36:37-03","MBM","MBM","228511","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Marquete, R.","1604","1994","04","13","Southern America","Brazil","Rio de Janeiro","Parati","Trilha Ponta Negra - praia dos Antigos","-44.7131004333496","-23.2178001403809",NA,NA,NA,NA,"MBM228511","MBM228511",NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:39:12-03","UFMG","BHCB","52873","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Silva, JM; et al.","s.n.",NA,NA,NA,"Southern America","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:39:12-03","UFMG","BHCB","174021","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Thomaz, LD","1415","1994","04","14","Southern America","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.6002998352051","-19.9356002807617","800","800",NA,"Altura 11m, PAP 44cm, caule interno branco, botões e flores brancas com odor.; Mata atlântica de encosta","BHCB019354",NA,"2011","23813","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:39:12-03","UFMG","BHCB","70763","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.",NA,"Cordeiro, J; Silva, JM","225","1986","02","05","Southern America","Brasil","Paraná","Morretes","Véu de Noiva, Beira do rio.","-48.834400177002","-25.476900100708",NA,NA,NA,"Árvore, 3m, flor alva.","BHCB010518","BHCB010518","1999","30514","auto",NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","3224852","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral","J.M. Silva","Silva 294","1987","1","27","South America","Brazil","Paraná",NA,"Véu de Noiva (Mun. Morretes).",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-08-31 09:07:42-03","INPA","INPA","203580","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","Sobral, MEG","Silva, JM da","294","1987","01","27","Southern America","Brasil","Paraná","Morretes","Véu de Noiva.","-48.834400177002","-25.476900100708","900","900",NA,NA,"INPA0203580","INPA0203580 INPA0203580_e","1999","30514","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","10403",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambes.","M. Sobral/2013","L. Kollmann; E. Bausen & W. Pizziolo","2455","1999","04","13",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Rio Nove","-40.645833","-19.981944",NA,NA,NA,"Mata de encosta. Arvoreto 7m. Dap 7cm. Fuste 4m. Flores velhas.","MBML010403","MBML010403",NA,NA,NA,"40W38'45","19S58'55",NA,NA,NA,NA,NA
"25","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","10405",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral/2013","L. Kollmann; E. Bausen & W. Pizziolo","2243","1999","03","24",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Mata de encosta. Arvoreto 13m. Dap 17cm. Fuste 3m. Botões brancos.","MBML010405","MBML010405",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"26","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","10521",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","M. Sobral/2013","L. Kollmann; E. Bausen & W. Pizziolo","2318","1999","03","30",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arvoreto 7m. Dap 10cm. Fuste 5m. Botões verdes. ( Ar 3, parc 5).","MBML010521","MBML010521",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
"27","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","26956",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","piloensis","Eugenia piloensis","Cambess.","F. Z. Saiter/15-06-2006","F. Z. Saiter","296","2006","06","15",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Árvore c/ frutos verdes imaturos, A3P19N567.","MBML026956","MBML026956",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA
