"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","country","occurrenceRemarks","recordedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","barcode","imagecode","recordNumber","year","month","day"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1332","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","cf. magnificus","Pilosocereus cf. magnificus","(Buining & Brederoo) Ritter","Nygel Taylor","Brasil","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3241","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","cf. magnificus","Pilosocereus cf. magnificus","(Buining & Brederoo) Ritter",NA,"Brasil","254","Márcia Bacelar;","Minas Gerais","Jacinto","Estrada para Almenara","-40.2933006286621","-16.1443996429443","35578","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1379","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter","Nygel Taylor","Brasil","254","Inês Ribeiro de Andrade;","Minas Gerais","Itinga","Fazenda Lajedão, Genipapo","-41.7653007507324","-16.6131000518799","41806","3","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1400","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter","Nygel Taylor","Brasil","254","Inês Ribeiro de Andrade;","Minas Gerais","Itinga","Jenipapo,Fazenda Lajedão","-41.7653007507324","-16.6131000518799","41806",NA,"auto","41°50'","16° 40'","242","242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0227572","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) F.Ritter","Zappi DC","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200227572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Horst L; Uebelmann W","Minas Gerais",NA,"Rio Jequitinhonha, Minas Gerais, Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","1991","10","01","holotype","Southern America","NL-U0227572","NL-U0227572",NA,NA,NA,NA
"6","2020-12-11 11:34:16-03","UFMG","BHCB","21345","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter",NA,"Brasil",NA,"Taylor, NP; Zappi, DC","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"s.n.","1990","12","14"
"7","2020-12-11 11:34:16-03","UFMG","BHCB","21345","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter",NA,"Brasil",NA,"Taylor, NP; Zappi, DC","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"s.n.","1990","12","14"
"8","2020-12-11 11:34:16-03","UFMG","BHCB","20954","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter",NA,"Brasil",NA,"Taylor, NP; Zappi, DC","Minas Gerais","Padre Paraíso",NA,"-41.4844017028809","-17.0741996765137","21680",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"755","1990","12","13"
"9","2020-12-11 11:34:16-03","UFMG","BHCB","20954","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter",NA,"Brasil",NA,"Taylor, NP; Zappi, DC","Minas Gerais","Padre Paraíso",NA,"-41.4844017028809","-17.0741996765137","21680",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"755","1990","12","13"
"10","2020-06-15 15:29:45-03","UNESP-RC","HRCB","13488","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","magnificus","Pilosocereus magnificus","(Buining & Brederoo) Ritter",NA,"Brasil","Arbusto até 2 m alt., 5-7 costelas, epiderme azul-glucescente. Botões floraissurgindo casualmente em todas as regiões dos ramos. (Populações vizinhas sobre pontões mais altos com exemplares maiores.)","Taylor, N. P.","Minas Gerais","Padre Paraíso(antiga Água Vermelha)",NA,NA,NA,NA,NA,NA,NA,NA,"650","650",NA,NA,NA,NA,NA,NA,NA,NA,"755","1990","12","13"
