"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-04-05 14:25:30-03","UNESC","CRI","9220","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","Birgit Harter Marques; Ricardo Vicente","2007","04","20","Brasil","Santa Catarina","Siderópolis","Malha II leste remanescente.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI004213","CRI004213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:30-03","UNESC","CRI","5219","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","V. Citadini-Zanette; V. P. Boff","1996","09","11","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI004238","CRI004238","Maria Leonor de Souza D#?#el Rey","112","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:30-03","UNESC","CRI","9593","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","A. Korte; A. Kniess","2010","09","29","Brasil","Santa Catarina","Nova Trento","Rio Veado.","-49.136944","-27.360556","49º8'13''W","27º21'38''S","CRI004216","CRI004216","A. A. de Oliveira","479","479","2011","01","17","4522","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","5349","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","J. A. Jarenkow","1992","10","01","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI004217","CRI004217","D. B. Falkenberg","36","36",NA,NA,NA,"2142","Habitat: Borda de Mata Atlântica de Encosta Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:30-03","UNESC","CRI","721","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI004219","CRI004219","J. J. Wundack","300","300",NA,NA,NA,"1071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:30-03","UNESC","CRI","12092","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","Korte, A.; Kniess, A.","2009","11","12","Brasil","Santa Catarina","Apiúna","Salão.","-49.320556","-27.180278","49º19'14''W","27º10'49''S","CRI010270","CRI010270","Oliveira, AA de","647","647","2009","12","08","917","Florística IFFSC 517 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; heliófito Habito: arbusto; flor vermelhas com estames amarelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:41-03","UNESC","CRI","3947","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","J. A. Jarenkow; J. L. Waechter","1990","10","18","Brasil","Rio Grande do Sul","Torres",NA,"-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI004218","CRI004218","D. B. Falkenberg","36","36",NA,NA,NA,"1749","Habitat: Borda de Mata Atlântica de Encosta Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:30-03","UNESC","CRI","698","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","06","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI004227","CRI004227","Maria Leonor de Souza D#?#el Rey","300","300",NA,NA,NA,"1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:41-03","UNESC","CRI","4937","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","V. Citadini-Zanette; Valdemar P. Boff","1996","09","11","Brasil","Santa Catarina","Siderópolis","Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI004233","CRI004233","Maria Leonor de Souza D#?#el Rey","111","111","1996","10","08","2162","Habitat: sub-bosque de bracatinga Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:30-03","UNESC","CRI","14441","PreservedSpecimen","Plantae","Melastomataceae","Leandra","regnellii","Leandra regnellii","(Triana) Cogn.","Stival-Santos, A.; Silveira, S.","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá. RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'S","CRI013592","CRI013592","Oliveira, AA de","710","710","2010","08","25","3229","Florística IFFSC 388 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento Habito: arbusto; flor pétalas brancas e estames amarelos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
