"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","803337","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.","G. M. Barroso","L. B. Smith","10919","1957","02","06","South America","Brazil","Santa Catarina","Caçador","15 km west of Caçador.","-51.152364","-26.781823","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803337","NY00803337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803336","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.","W. C. Holmes","G. G. Hatschbach","19180","1968","04","26","South America","Brazil","Paraná",NA,"Laranjeiras do Sul.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803336","NY00803336_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797230","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.",NA,"M. Conde-Silva","333","1989","07","12","South America","Brazil","Rio de Janeiro",NA,"Estaçao Ecológica de Piraí",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797230","NY00797230_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","803338","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.","H. E. Robinson","G. G. Hatschbach","21162","1969","02","13","South America","Brazil","Paraná","Guarapuava","Cachoeira dos Turcos.","-51.4581","-25.3956",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803338","NY00803338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:28-03","UNESP-IBB","BOTU","23163","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","capricorni","Mikania capricorni","B.L. Rob.",NA,"Coral, D.J.",NA,"2001","05","23",NA,"Brasil","São Paulo","Agudos","Quadra 38 distrito Bom Sucesso, Fazenda Monte Alegre","-48.9025","-22.443889",NA,NA,NA,"Área de sucessão após corte de pinus, herbácea","BOTU023163","BOTU023163","48°54'09w","22°26'38s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:29-03","UTFPR","DVPR","6630","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.","Hatschbach, G","Buttura, E","36","1979","04","14",NA,"Brasil","Paraná","Foz do Iguaçú","Vila C de Itaipu","-54.5881004333496","-25.5478000640869",NA,NA,NA,"Porte volúvel, 3m.; Capoeira baixa","DVPR006630",NA,NA,NA,"1979","05","14","39570","auto",NA,NA,NA,NA,NA
"7","2020-12-15 11:14:27-03","FUNED","FUNED-POL","541","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","capricorni","Mikania capricorni",NA,NA,NA,NA,"1993","07","29",NA,"Brasil","MG",NA,"Apiário das Freiras/Caeté/Funed",NA,NA,NA,NA,NA,NA,"POL000541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:07:14-03","CPAN-UFMS","COR","3883","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","capricorni","Mikania capricorni","B.L.Rob.","Silva, R.R.","Silva, R.R.; Bortolotto, I.M. ; Santos, D.","28","1995","08","15",NA,"Brasil","Mato Grosso do Sul","Ladário","Rio Paraguai. terreno baldio temporariamente inundável; calcário;.","-57.6016998291016","-19.0046997070312",NA,NA,NA,"apícola, forrageira e medicinal; Com Flor: creme",NA,NA,NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:01:56-03","ESALQ","ESA","51655","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","capricorni","Mikania capricorni",NA,"Maria, V.R.B.","Maria, V.R.B.",NA,NA,NA,NA,NA,"Brasil","Mato Grosso do Sul","Bonito",NA,"-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,"ESA051655",NA,NA,NA,NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"10","2020-11-19 10:22:53-03","CPAP","CPAP","21074","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","capricorni","Mikania capricorni","B.L. Rob.","E.M.Jesus","Jesus, E. M.","230","2008","07","07",NA,"Brasil","MS","Ladário","Fazenda Banda Alta - trilha 1","-57.6016998291016","-19.0046997070312",NA,NA,NA,"Cupó-liana. FLOR: branca. FRUTO: . INTERESSE: Apícola. FREQUÊNCIA: Muito frequente. AMBIENTE: Pasto. SUBSTRATO: solo argiloso. RELEVO: levemente onduloso. <ll>dwc_commonname:</ll> Jasmim-do-campo",NA,NA,"57°35'12.1","19°08'346",NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA
