"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode","typeStatus","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","class","fieldNumber","sex","preparationType"
"1","2020-11-13 09:20:35-03","UFRJ","RFA","8335","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","bleyensis","Pleurothallis bleyensis","Pabst","G.F.J. Pabst","1965","G.G. Hatschbach","12485","1965","03","07","Brasil","Paraná","Palmeira","Fazenda Boiada","-50.0064010620117","-25.4293994903564","35166","Epífita, flor creme","RFA31838","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:44-03","MBM","MBM","29928","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","bleyensis","Pleurothallis bleyensis","Pabst","Pabst, G.",NA,"Hatschbach, G.","12485","1965","03","07","Brazil","Paraná","Palmeira","Fazenda Boiada","-50.0064010620117","-25.4293994903564","35166",NA,"MBM029928","auto","Southern America","MBM029928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:44-03","MBM","MBM","29929","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","bleyensis","Pleurothallis bleyensis","Pabst","Pabst, G.",NA,"Hatschbach, G.","3000","1953","03","20","Brazil","Paraná","Lapa","Engenheiro Bley","-49.7158012390137","-25.7696990966797","49965","Flor amarela, epífita de capão; Epífita. Flor amarela.; Capão.","MBM029929","auto","Southern America","MBM029929","ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:44-03","MBM","MBM","5039","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","bleyensis","Pleurothallis bleyensis","Pabst","Pabst, G.",NA,"Hatschbach, G.","16161","1967","03","14","Brazil","Paraná","Bituruna","Bituruna","-51.5525016784668","-26.1613998413086","30743",NA,"MBM005039","auto","Southern America","MBM005039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:20:51-03","UFPR","UPCB","84889","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","bleyensis","Anathallis bleyensis","(Pabst) F.Barros","Santos, M.C.","2017","Klingelfuss, M.","188",NA,NA,NA,"Brasil","Paraná","São José dos Pinhais","Represa de Voçoroca","-49.2064018249512","-25.5347003936768","45291","Amostra conservada em solução de glicerina com álcool..",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-25 13:53:02-03","UNIVILLE","JOI","15239","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","bleyensis","Anathallis bleyensis","(Pabst) F.Barros","Santos, M.C.; Toscano de Brito, A.V.L.; Smidt, E.C.","2017","Mancinelli, W.S.",NA,"2010","05","19","Brasil","Paraná","Tibagi","Canion do Guartelá.","-50.4136009216309","-24.5093994140625","56988","; HABITAT: mata ciliar; HABITO: Epífita","JOI015239","auto",NA,NA,NA,"06","19","700","700",NA,NA,NA,NA,NA
"7","2021-03-25 13:53:02-03","UNIVILLE","JOI","14689","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","bleyensis","Anathallis bleyensis","(Pabst) F.Barros","Santos, M.C.; Toscano de Brito, A.V.L.; Smidt, E.C.","2017","Mancinelli, W.S.","1234","2010","05","19","Brasil","Paraná","Tibagi","Canyon do Guartelá.","-50.4136009216309","-24.5093994140625","56988","; HABITAT: mata ciliar; HABITO: Epífita","JOI014689","auto",NA,NA,NA,"06","19","750","750",NA,NA,NA,NA,NA
"8","2021-03-25 13:53:02-03","UNIVILLE","JOI","15132","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","bleyensis","Anathallis bleyensis","(Pabst) F.Barros","Santos, M.C.; Toscano de Brito, A.V.L.; Smidt, E.C.","2017","Mancinelli, W.S.",NA,"2010","05","19","Brasil","Paraná","Tibagi","Canyon do Guartelá.","-50.4136009216309","-24.5093994140625","56988","; HABITAT: mata ciliar; HABITO: Epífita","JOI015132","auto",NA,NA,NA,"06","19","830","830",NA,NA,NA,NA,NA
"9","2019-07-09 12:43:05-03","F","FMNH-SEEDPLANTS","V0434827F","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","bleyensis","Anathallis bleyensis",NA,NA,NA,"G. G. Hatschbach","12485","1965","3","7","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0434827F",NA,"South America","V0434827F_01",NA,NA,NA,NA,NA,"Spermatophyta","Monocotyledoneae",NA,NA,NA
"10","2019-11-21 10:13:41-03","IBt","SP","359193","S","Plantae","Orchidaceae","Pleurothallis","bleyensis","Pleurothallis bleyensis","Pabst","Barros, F","1982","Catharino, ELM","s.n.",NA,NA,NA,"Brasil","São Paulo","Itararé","Bairro das Almas. Cult. no Instituto de Botânica sob nº 13054, fl. 1982","-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
