"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","typeStatus","eventTime","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","400893","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.","J. S. Miller","W. W. Thomas","10697","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400893","NY00400893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400897","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.","J. A. Kallunki","L. Riedel","568","1832",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400897","NY00400897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400895","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.",NA,"L. Riedel","568","1824",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400895","NY00400895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400896","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.",NA,"L. Riedel","568","1832",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400896","NY00400896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400894","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.",NA,"S. de V. A. Pessôa","402","1988","11","24","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Nascente do Rio das Flores","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400894","NY00400894_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","401012","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.","J. S. Miller","D. C. Daly","3894","1984","12","15","South America","Brazil","Amapá","Macapá","Rio Falsino, approx. 10 km upstream of confluence with Rio Araguari. West bank","-51.75","-0.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401012","NY00401012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:54-03","EAO","IAN","94044","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Boraginaceae","Cordia","ochnacea","Cordia ochnacea","DC.",NA,"Glaziou, AFM","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN094044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:52:54-03","NBC","NL-BOTANY","U.1153325","PreservedSpecimen","Plantae",NA,"Boraginales","Boraginaceae","Cordia","ochnacea","Cordia ochnacea","A.DC.",NA,"Prance GT; Silva NT",NA,"1964","08","28","Southern America","Brazil",NA,NA,"Para, Vicinity of Paragominas, Belem-brasilia, Highway, km 161.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1153325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1153325","NL-U1153325",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:21-03","MN","R","12260","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","ochnacea","Cordia ochnacea","A. DC.",NA,"Glaziou, A.F.M.","18383","1891","03","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000012260","R000012260_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:26:58-03","UNICAMP","UEC","64316","S","Plantae","Magnoliopsida",NA,"Boraginaceae","Cordia","ochnacea","Cordia ochnacea","A.DC.",NA,"Pessoa, SVA; et al.","402","1988","11","24",NA,"Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do rio das Flores.&nf;Coord. 22º 00S 042º 03' W.&nf;Alt.: 1100m.","-42.5311012268066","-22.2819004058838",NA,"Árvore 5m; heliofila; folhas discolores verdes; botões florais alvo - esverdeados, estigma castanho.; Mata Atlântica.","UEC031034","UEC031034",NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
