"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","typeStatus","year","month","day","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:46:49-03","MBM","MBM","223657","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva","Mello-Silva, R.","Mello-Silva, R.; et al.; et al.","1451","Southern America","Brazil","Minas Gerais","Botumirim","Sudeste da cidade","-43.010799407959","-16.872200012207","39434","MBM223657","MBM223657","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:46:49-03","MBM","MBM","201210","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva","Mello-Silva, R.","Mello-Silva, R.; Arbo, M.M.; Nunes, J.V.C.; Arbo, M.M.; Nunes, J.V.C.","848","Southern America","Brazil","Minas Gerais","Botumirim","Alto da Serra da Canastra, extremidade Norte","-43.010799407959","-16.872200012207","39434","MBM201210","MBM201210","auto","1992","11","ISOTYPE","1992","11","19","1220","1220","Folhas trísticas. Hipanto verde-claro. Pétalas roxas. 18 estames. Filetes e estilete alvos. Anteras amarelas. Estigma amarelo-claro. Frutos.; Em fendas de grandes rochas.",NA,NA,NA
"3","2020-12-11 11:45:28-03","UFMG","BHCB","42560","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA
"4","2013-08-23 04:12:00-03","MO","MOBOT","3030574","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva","R.Mello-Silva","Renato de Mello-Silva","Mello-Silva 648","South America","Brazil","Minas Gerais",NA,"Botumirim. Cima de la Serra da Canastra, extremo norte. En fisuras entre grandes rocas.","-43.05","-16.91666",NA,NA,NA,NA,NA,NA,NA,"1992","11","19","1220.00000000",NA,NA,NA,NA,NA
"5","2021-03-15 18:30:17-03","USP","SPF","222749","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva","Mello-Silva, R","Siniscalchi, CM","335",NA,"Brasil","Minas Gerais","Botumirim","Afloramento em serra atrás da cidade. Acesso por estrada de terra.","-43.024944","-16.870472",NA,"SPF00222749",NA,NA,"2013","03",NA,"2013","03","07","10","10","Folhas verde-escuras, acúleos amarelados. Flores roxas, estames amarelos. Crescendo sobre rochas.; Campo rupestre.",NA,"-43.024944","-16.870472"
"6","2021-03-15 18:30:17-03","USP","SPF","111878","PreservedSpecimen","Plantae","Velloziaceae","Vellozia","armata","Vellozia armata","Mello-Silva","Mello-Silva, R","Mello-Silva, R; Arbo, MM; Nunes, JVC","648",NA,"Brasil","Minas Gerais","Botumirim","Serra da Canastra, Alto da Serra da Canastra, extremidade norte.","-43.010799407959","-16.872200012207","39434","SPF00111878",NA,"auto","1992","11","holotype","1992","11","19","1220","1220","Grande população em fendas de grandes rochas. Folhas trísticas. Hipanto verde-claro. Pétalas roxas. 18 estames. Filetes e estiletes alvos. Anteras amarelas. Estigma amarelo-claro. Frutos. Foto e material fixado.",NA,NA,NA
