"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","county","imagecode","yearIdentified","monthIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:11-03","E","E","202802","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","Barboza, M.A.; Farias, R.; Fonseca Filho, J.; Gonçalves, E.G.","47","1999","01","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217187","<a href=http://data.rbge.org.uk/herb/E00202802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","248064","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","Ratter, J.A.; Ribeiro, J.F.; Cardoso, Edson",NA,"2002","10","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:257146","<a href=http://data.rbge.org.uk/herb/E00248064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00248064","Bahia","53 km from Correntina on the road to Rosario.","-45.033333","-13.533333","-45.033333","-13.533333","727","727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:11-03","E","E","4775","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","Sanaiotti, Tanya M.","431","1994","02","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:17247","<a href=http://data.rbge.org.uk/herb/E00004775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00004775","Mato Grosso","Savana bem drenada, altura media das arvores 4 m. Rodov. MT 170, ramal W a 3km N do cruzamento com a BR364 (Fazenda Itamarati) (tr 3).","-58.266667","-14","-58.266667","-14.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:11-03","E","E","328521","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","Ratter, J.A. & Ramos, J.",NA,"1967","08","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:439395","<a href=http://data.rbge.org.uk/herb/E00328521 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00328521","Mato Grosso","7 km, Sw of Xavanttina.","-52.333333","-14.733333","-52.333333","-14.733333","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1181659","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","D. Picchi","178","2005","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181659","São Paulo","Coletada no Instituto de Química de Araraquara, próximo à estufa e prédio Central.","-48.17","-21.79",NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","D. Picchi","Araraquara","NY01181659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01066594","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","H. S. Irwin","23985","1969","03","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066594","Goiás","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","-47.5","-13.87231",NA,NA,"1000","1000","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Cavalcante","NY01066594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01066603","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","G. T. Prance","18947","1973","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066603","Mato Grosso","Chapada dos Guimarães. Road Buriti to Água Fria","-55.7494","-15.4608",NA,NA,"720","720","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Chapada dos Guimarães","NY01066603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01066601","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","G. T. Prance","59044","1964","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203641' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066601","Distrito Federal","Vicinity of Sobradinho","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Brasília","NY01066601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01066658","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","G. M. Magalhaes","9851","1957","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203697' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066658","Goiás","5 km O de Goiânia","-49.2539","-16.6786",NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Goiânia","NY01066658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01066630","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","P. Clausen","s.n.","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066630","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina",NA,"NY01066630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01066574","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","H. S. Irwin","15144","1966","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203614' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066574","Goiás","Serra do Morcêgo, Côrrego Estrema, ca. 42 km N.E. of Formosa","-47.05647","-15.26491",NA,NA,"800","800","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Formosa","NY01066574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01066602","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","G. T. Prance","18832","1973","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203638' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066602","Mato Grosso","Chapada dos Guimarães, just above Cachoeira Furada, Reserva Buriti","-55.8147419","-15.45169",NA,NA,"720","720","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina",NA,"NY01066602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01066645","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","G. Eiten","10017","1969","12","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066645","Tocantins","south side of city of Gurupi on west side on Belém-Brasília road across from Rodobrás station.","-49.07","-11.73",NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Gurupi","NY01066645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4188825","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","M. Saldías Paz","2815","1993","06","30","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4513114' target='other'> <mi>dwc_moreinfo</mi></a>","NY04188825","Santa Cruz","Parque Nacional Noel Kempff M. Cerra al campamento viejo de Los Fierros. 3-5 km N del camino prinicipal entre Los Fierros y Tarbo, sobre el camino a La Meseta","-60.85","-14.5833",NA,NA,"220",NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson",NA,"José Miguel de Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01066695","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","R. F. Vieira","1104","1991","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066695","Bahia","A 3.2 km do centro da cidade","-44.63","-13.37",NA,NA,"650","650","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Correntina","NY01066695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01066566","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","H. S. Irwin","6376","1964","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203608' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066566","Mato Grosso","2 km. S. of Xavantina.","-52.33","-14.67",NA,NA,"300","400","Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. P. Spina","Nova Xavantina","NY01066566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01175021","PreservedSpecimen","Plantae","Apocynaceae","Himatanthus","obovatus","Himatanthus obovatus","C. A. Cid Ferreira","4472","1984","06","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175021","Rondônia","BR-364, rodovia Porto Velho-Cuiabá, Km 39","-60.62","-12.13",NA,NA,NA,NA,"Magnoliophyta","Gentianales","(Müll.Arg.) Woodson","A. J. M. Leeuwenberg","Vilhena","NY01175021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
