"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","preparationType","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12886","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","Alexandre Medeiros","2017","11","05","Alexandre Medeiros","2017","11","05","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 805. Flor branca e amarela Habitat: Terrícola Habito: Herbácea","CRI011494","CRI011494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04192290","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod",NA,NA,NA,NA,"A. B. Alvarez","2001","09","24","Ecuador","Morona-Santiago","Gualaquiza","Cultivada por Ecuagéenera, Cuenca",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4559926' target='other'> <mi>dwc_moreinfo</mi></a>","NY04192290",NA,"Magnoliophyta","Asparagales","2924","South America","1200","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","688371","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"J. C. Solomon","1985","08","28","Bolivia","Santa Cruz","Ichilo","Parque Nacional Amboró. Ca. 15 km. (SE) up the Río Pitasama from the Río Surutú,","-63.67","-17.73",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688371",NA,"Magnoliophyta","Asparagales","14092","South America","700","sheet","700",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557647","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"M. E. Múlgura de Romero","1997","12","16","Argentina","Misiones","General Manuel Belgrano","Deseado, Chacra de Cheves y Hainonen, rantigua ruta 19; ruta 101",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557647",NA,"Magnoliophyta","Asparagales","1920","South America","2100","sheet","2100",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547524","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"R. Reitz","1959","10","22","Brazil","Santa Catarina","Blumenau","Mata da Companhia Hering, Bom Retiro","-49.082834","-26.926032",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547524","NY00547524_01","Magnoliophyta","Asparagales","9188","South America","300","sheet","300",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547530","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"G. G. Hatschbach","1967","11","20","Brazil","Paraná","Paranaguá","Praia do Mendenha","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547530","NY00547530_01","Magnoliophyta","Asparagales","17894","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","688364","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"B. A. Krukoff","1939","07","01","Bolivia","La Paz","Sud Yungas","Basin of Río Bopi, San Bartolome (near Calisaya),",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688364",NA,"Magnoliophyta","Asparagales","10520","South America","750","sheet","900",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547521","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"G. G. Hatschbach","1966","11","29","Brazil","Paraná","Morretes","Rio Ipiranga","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547521","NY00547521_01","Magnoliophyta","Asparagales","15308","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","547522","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","P. A. Ormerod",NA,NA,NA,"G. G. Hatschbach","1968","10","25","Brazil","Paraná","Paranaguá","Col. Maria Luiza","-48.5092","-25.5203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547522","NY00547522_01","Magnoliophyta","Asparagales","20142","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1075126","PreservedSpecimen","Plantae","Orchidaceae","Microchilus","arietinus","Microchilus arietinus","(Rchb.f. & Warm.) Ormerod","M. C. Pace",NA,NA,NA,"K. D. Phelps","1948","01","25","Venezuela","Bolívar",NA,"Cumbre.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075126",NA,"Magnoliophyta","Asparagales","444","South America","1800","sheet","1800",NA,NA,NA,NA,NA,NA,NA,NA
